"Date","DFXARG3M086SBEA"
1959-01-01,16.034
1959-02-01,15.973
1959-03-01,15.942
1959-04-01,15.898
1959-05-01,15.862
1959-06-01,15.916
1959-07-01,15.944
1959-08-01,15.885
1959-09-01,15.957
1959-10-01,15.962
1959-11-01,15.892
1959-12-01,15.887
1960-01-01,15.863
1960-02-01,15.844
1960-03-01,15.927
1960-04-01,16.088
1960-05-01,16.089
1960-06-01,16.061
1960-07-01,16.06
1960-08-01,16.065
1960-09-01,16.075
1960-10-01,16.165
1960-11-01,16.226
1960-12-01,16.289
1961-01-01,16.268
1961-02-01,16.282
1961-03-01,16.259
1961-04-01,16.221
1961-05-01,16.146
1961-06-01,16.084
1961-07-01,16.125
1961-08-01,16.102
1961-09-01,16.065
1961-10-01,16.067
1961-11-01,16.038
1961-12-01,16.065
1962-01-01,16.138
1962-02-01,16.224
1962-03-01,16.264
1962-04-01,16.272
1962-05-01,16.241
1962-06-01,16.224
1962-07-01,16.17
1962-08-01,16.223
1962-09-01,16.416
1962-10-01,16.364
1962-11-01,16.379
1962-12-01,16.273
1963-01-01,16.416
1963-02-01,16.442
1963-03-01,16.371
1963-04-01,16.295
1963-05-01,16.291
1963-06-01,16.447
1963-07-01,16.509
1963-08-01,16.514
1963-09-01,16.452
1963-10-01,16.432
1963-11-01,16.518
1963-12-01,16.553
1964-01-01,16.672
1964-02-01,16.676
1964-03-01,16.677
1964-04-01,16.689
1964-05-01,16.654
1964-06-01,16.732
1964-07-01,16.784
1964-08-01,16.775
1964-09-01,16.872
1964-10-01,16.885
1964-11-01,16.9
1964-12-01,16.909
1965-01-01,16.875
1965-02-01,16.829
1965-03-01,16.889
1965-04-01,16.947
1965-05-01,17.034
1965-06-01,17.329
1965-07-01,17.335
1965-08-01,17.213
1965-09-01,17.151
1965-10-01,17.171
1965-11-01,17.203
1965-12-01,17.313
1966-01-01,17.413
1966-02-01,17.661
1966-03-01,17.805
1966-04-01,17.886
1966-05-01,17.783
1966-06-01,17.786
1966-07-01,17.724
1966-08-01,17.973
1966-09-01,18.021
1966-10-01,18.019
1966-11-01,17.958
1966-12-01,17.917
1967-01-01,17.821
1967-02-01,17.792
1967-03-01,17.74
1967-04-01,17.649
1967-05-01,17.676
1967-06-01,17.804
1967-07-01,17.878
1967-08-01,17.954
1967-09-01,17.933
1967-10-01,17.964
1967-11-01,17.996
1967-12-01,18.012
1968-01-01,18.106
1968-02-01,18.178
1968-03-01,18.206
1968-04-01,18.265
1968-05-01,18.326
1968-06-01,18.319
1968-07-01,18.372
1968-08-01,18.443
1968-09-01,18.511
1968-10-01,18.639
1968-11-01,18.67
1968-12-01,18.674
1969-01-01,18.739
1969-02-01,18.708
1969-03-01,18.765
1969-04-01,18.877
1969-05-01,18.992
1969-06-01,19.217
1969-07-01,19.33
1969-08-01,19.39
1969-09-01,19.515
1969-10-01,19.51
1969-11-01,19.692
1969-12-01,19.866
1970-01-01,20.002
1970-02-01,20.098
1970-03-01,20.123
1970-04-01,20.189
1970-05-01,20.272
1970-06-01,20.267
1970-07-01,20.308
1970-08-01,20.358
1970-09-01,20.452
1970-10-01,20.501
1970-11-01,20.441
1970-12-01,20.452
1971-01-01,20.292
1971-02-01,20.328
1971-03-01,20.444
1971-04-01,20.621
1971-05-01,20.706
1971-06-01,20.842
1971-07-01,20.868
1971-08-01,20.908
1971-09-01,20.902
1971-10-01,20.935
1971-11-01,20.994
1971-12-01,21.172
1972-01-01,21.316
1972-02-01,21.585
1972-03-01,21.549
1972-04-01,21.54
1972-05-01,21.545
1972-06-01,21.574
1972-07-01,21.696
1972-08-01,21.79
1972-09-01,21.944
1972-10-01,22.015
1972-11-01,22.109
1972-12-01,22.223
1973-01-01,22.546
1973-02-01,22.872
1973-03-01,23.439
1973-04-01,23.78
1973-05-01,24.017
1973-06-01,24.236
1973-07-01,24.265
1973-08-01,25.503
1973-09-01,25.511
1973-10-01,25.615
1973-11-01,25.949
1973-12-01,26.175
1974-01-01,26.561
1974-02-01,27.222
