"Date","DFXARG3M086SBEA"
1974-03-01,27.65
1974-04-01,27.658
1974-05-01,27.837
1974-06-01,27.852
1974-07-01,27.843
1974-08-01,28.342
1974-09-01,28.933
1974-10-01,29.208
1974-11-01,29.55
1974-12-01,29.942
1975-01-01,30.083
1975-02-01,30.027
1975-03-01,29.86
1975-04-01,29.712
1975-05-01,29.736
1975-06-01,29.99
1975-07-01,30.422
1975-08-01,30.613
1975-09-01,30.589
1975-10-01,30.856
1975-11-01,31.024
1975-12-01,31.143
1976-01-01,31.122
1976-02-01,30.759
1976-03-01,30.577
1976-04-01,30.493
1976-05-01,30.61
1976-06-01,30.699
1976-07-01,30.813
1976-08-01,30.967
1976-09-01,31.073
1976-10-01,31.193
1976-11-01,31.212
1976-12-01,31.307
1977-01-01,31.388
1977-02-01,31.908
1977-03-01,32.11
1977-04-01,32.512
1977-05-01,32.695
1977-06-01,32.917
1977-07-01,32.961
1977-08-01,33.06
1977-09-01,33.087
1977-10-01,33.139
1977-11-01,33.38
1977-12-01,33.507
1978-01-01,33.82
1978-02-01,34.176
1978-03-01,34.615
1978-04-01,35.185
1978-05-01,35.733
1978-06-01,36.242
1978-07-01,36.383
1978-08-01,36.447
1978-09-01,36.578
1978-10-01,36.834
1978-11-01,37.02
1978-12-01,37.202
1979-01-01,37.939
1979-02-01,38.514
1979-03-01,38.796
1979-04-01,38.996
1979-05-01,39.267
1979-06-01,39.38
1979-07-01,39.571
1979-08-01,39.445
1979-09-01,39.716
1979-10-01,40.005
1979-11-01,40.269
1979-12-01,40.594
1980-01-01,40.8
1980-02-01,40.76
1980-03-01,41.181
1980-04-01,41.466
1980-05-01,41.78
1980-06-01,42.053
1980-07-01,42.626
1980-08-01,43.384
1980-09-01,43.946
1980-10-01,44.3
1980-11-01,44.814
1980-12-01,45.105
1981-01-01,45.169
1981-02-01,45.291
1981-03-01,45.516
1981-04-01,45.471
1981-05-01,45.365
1981-06-01,45.476
1981-07-01,45.847
1981-08-01,46.057
1981-09-01,46.204
1981-10-01,46.103
1981-11-01,46.08
1981-12-01,46.131
1982-01-01,46.426
1982-02-01,46.708
1982-03-01,46.58
1982-04-01,46.636
1982-05-01,47.023
1982-06-01,47.33
1982-07-01,47.355
1982-08-01,47.12
1982-09-01,47.076
1982-10-01,47.017
1982-11-01,46.975
1982-12-01,46.898
1983-01-01,46.814
1983-02-01,46.866
1983-03-01,47.248
1983-04-01,47.401
1983-05-01,47.584
1983-06-01,47.541
1983-07-01,47.543
1983-08-01,47.565
1983-09-01,47.702
1983-10-01,47.787
1983-11-01,47.719
1983-12-01,47.845
1984-01-01,48.477
1984-02-01,48.843
1984-03-01,48.899
1984-04-01,48.805
1984-05-01,48.586
1984-06-01,48.789
1984-07-01,48.901
1984-08-01,49.159
1984-09-01,49.032
1984-10-01,49.097
1984-11-01,49.036
1984-12-01,49.106
1985-01-01,49.242
1985-02-01,49.407
1985-03-01,49.521
1985-04-01,49.386
1985-05-01,49.257
1985-06-01,49.274
1985-07-01,49.303
1985-08-01,49.293
1985-09-01,49.293
1985-10-01,49.434
1985-11-01,49.685
1985-12-01,50.02
1986-01-01,50.08
1986-02-01,49.971
1986-03-01,49.991
1986-04-01,50.072
1986-05-01,50.201
1986-06-01,50.204
1986-07-01,50.639
1986-08-01,51.084
1986-09-01,51.059
1986-10-01,51.142
1986-11-01,51.304
1986-12-01,51.328
1987-01-01,51.649
1987-02-01,51.79
1987-03-01,51.808
1987-04-01,51.873
1987-05-01,52.176
1987-06-01,52.43
1987-07-01,52.248
1987-08-01,52.356
1987-09-01,52.431
1987-10-01,52.463
1987-11-01,52.39
1987-12-01,52.615
1988-01-01,52.825
1988-02-01,52.762
1988-03-01,52.799
1988-04-01,53.048
1988-05-01,53.204
1988-06-01,53.441
1988-07-01,54.008
1988-08-01,54.232
1988-09-01,54.535
1988-10-01,54.601
1988-11-01,54.616
1988-12-01,54.833
1989-01-01,55.084
1989-02-01,55.528
1989-03-01,55.797
1989-04-01,56.171
1989-05-01,56.521
1989-06-01,56.701
1989-07-01,56.93
1989-08-01,56.992
1989-09-01,56.992
1989-10-01,57.222
1989-11-01,57.389
1989-12-01,57.588
1990-01-01,58.368
1990-02-01,58.869
1990-03-01,58.894
1990-04-01,58.65
1990-05-01,58.735
1990-06-01,59.225
1990-07-01,59.512
1990-08-01,59.723
1990-09-01,59.867
1990-10-01,60.072
1990-11-01,60.138
1990-12-01,60.026
1991-01-01,60.702
1991-02-01,61.02
1991-03-01,61.035
1991-04-01,61.332
1991-05-01,61.489
1991-06-01,61.756
1991-07-01,61.346
1991-08-01,61.177
1991-09-01,61.107
1991-10-01,61.083
1991-11-01,61.188
1991-12-01,61.2
1992-01-01,61.149
1992-02-01,61.396
1992-03-01,61.576
1992-04-01,61.484
1992-05-01,61.369
1992-06-01,61.639
1992-07-01,61.551
1992-08-01,61.979
1992-09-01,62.113
1992-10-01,62.039
1992-11-01,61.877
1992-12-01,61.901
1993-01-01,61.946
1993-02-01,62.113
1993-03-01,62.088
1993-04-01,62.201
1993-05-01,62.654
1993-06-01,62.532
1993-07-01,62.502
1993-08-01,62.625
1993-09-01,62.593
1993-10-01,62.916
1993-11-01,63.06
1993-12-01,63.195
1994-01-01,63.214
1994-02-01,63.089
1994-03-01,63
1994-04-01,63.118
1994-05-01,63.24
1994-06-01,63.519
1994-07-01,63.836
1994-08-01,63.966
1994-09-01,64.005
1994-10-01,63.86
1994-11-01,63.924
1994-12-01,64.218
1995-01-01,64.176
1995-02-01,64.476
1995-03-01,64.454
1995-04-01,64.941
1995-05-01,64.899
1995-06-01,64.937
1995-07-01,65.002
1995-08-01,65.097
1995-09-01,65.251
1995-10-01,65.428
1995-11-01,65.376
1995-12-01,65.489
1996-01-01,65.666
1996-02-01,65.915
1996-03-01,66.217
1996-04-01,66.476
1996-05-01,66.463
1996-06-01,66.859
1996-07-01,67.12
1996-08-01,67.356
1996-09-01,67.515
1996-10-01,67.837
1996-11-01,67.936
1996-12-01,67.947
1997-01-01,67.855
1997-02-01,68.104
1997-03-01,67.951
1997-04-01,68.01
1997-05-01,68.074
1997-06-01,68.152
1997-07-01,68.223
1997-08-01,68.377
1997-09-01,68.412
1997-10-01,68.454
1997-11-01,68.514
1997-12-01,68.486
1998-01-01,68.767
1998-02-01,68.637
1998-03-01,68.74
1998-04-01,68.815
1998-05-01,68.901
1998-06-01,68.943
1998-07-01,69.04
1998-08-01,69.24
1998-09-01,69.168
1998-10-01,69.488
1998-11-01,69.589
1998-12-01,69.568
1999-01-01,69.838
1999-02-01,69.878
1999-03-01,69.79
1999-04-01,69.938
1999-05-01,70.064
1999-06-01,70.069
1999-07-01,70.147
1999-08-01,70.252
1999-09-01,70.458
1999-10-01,70.513
1999-11-01,70.71
1999-12-01,70.811
2000-01-01,70.875
2000-02-01,71.077
2000-03-01,71.274
2000-04-01,71.314
2000-05-01,71.669
2000-06-01,71.706
2000-07-01,72.08
2000-08-01,72.312
2000-09-01,72.325
2000-10-01,72.354
2000-11-01,72.407
2000-12-01,72.811
2001-01-01,72.869
2001-02-01,73.31
2001-03-01,73.432
2001-04-01,73.497
2001-05-01,73.621
2001-06-01,73.912
2001-07-01,74.141
2001-08-01,74.373
2001-09-01,74.357
2001-10-01,74.681
2001-11-01,74.638
2001-12-01,74.517
2002-01-01,74.84
2002-02-01,75.045
2002-03-01,75.157
2002-04-01,75.4
2002-05-01,74.93
2002-06-01,74.855
2002-07-01,74.959
2002-08-01,74.948
2002-09-01,75.09
2002-10-01,75.039
2002-11-01,75.236
2002-12-01,75.253
2003-01-01,75.306
2003-02-01,75.63
2003-03-01,75.815
2003-04-01,75.836
2003-05-01,75.958
2003-06-01,76.429
2003-07-01,76.343
2003-08-01,76.779
2003-09-01,76.954
2003-10-01,77.24
2003-11-01,77.543
2003-12-01,77.97
2004-01-01,77.779
2004-02-01,77.864
2004-03-01,78.129
2004-04-01,78.288
2004-05-01,78.937
2004-06-01,79.094
2004-07-01,79.164
2004-08-01,79.198
2004-09-01,79.015
2004-10-01,79.487
2004-11-01,79.777
2004-12-01,79.713
2005-01-01,79.52
2005-02-01,79.344
2005-03-01,79.596
2005-04-01,80.38
2005-05-01,80.302
2005-06-01,80.181
2005-07-01,80.335
2005-08-01,80.308
2005-09-01,80.515
2005-10-01,80.6
2005-11-01,80.91
2005-12-01,80.991
2006-01-01,81.273
2006-02-01,81.13
2006-03-01,81.271
2006-04-01,81.122
2006-05-01,81.163
2006-06-01,81.427
2006-07-01,81.568
2006-08-01,81.762
2006-09-01,81.993
2006-10-01,82.229
2006-11-01,82.202
2006-12-01,82.026
2007-01-01,82.626
2007-02-01,83.281
2007-03-01,83.795
2007-04-01,83.987
2007-05-01,84.347
2007-06-01,84.793
2007-07-01,85
2007-08-01,85.326
2007-09-01,85.602
2007-10-01,85.941
2007-11-01,86.297
2007-12-01,86.377
2008-01-01,87.011
2008-02-01,87.45
2008-03-01,87.57
2008-04-01,88.714
2008-05-01,89.017
2008-06-01,89.595
2008-07-01,90.621
2008-08-01,91.106
2008-09-01,91.684
2008-10-01,92.068
2008-11-01,92.267
2008-12-01,92.228
2009-01-01,92.166
2009-02-01,91.882
2009-03-01,91.629
2009-04-01,91.248
2009-05-01,90.927
2009-06-01,91.007
2009-07-01,90.621
2009-08-01,90.636
2009-09-01,90.375
2009-10-01,90.472
2009-11-01,90.52
2009-12-01,90.67
2010-01-01,90.787
2010-02-01,90.877
2010-03-01,91.123
2010-04-01,91.227
2010-05-01,91.25
2010-06-01,91.164
2010-07-01,91.207
2010-08-01,91.254
2010-09-01,91.49
2010-10-01,91.531
2010-11-01,91.698
2010-12-01,91.81
2011-01-01,92.437
2011-02-01,93.028
2011-03-01,93.832
2011-04-01,94.172
2011-05-01,94.604
2011-06-01,94.804
2011-07-01,95.173
2011-08-01,95.726
2011-09-01,96.253
2011-10-01,96.363
2011-11-01,96.288
2011-12-01,96.482
2012-01-01,96.881
2012-02-01,96.81
2012-03-01,97.009
2012-04-01,97.064
2012-05-01,96.983
2012-06-01,97.154
2012-07-01,97.166
2012-08-01,97.2
2012-09-01,97.163
2012-10-01,97.414
2012-11-01,97.567
2012-12-01,97.78
2013-01-01,97.911
2013-02-01,97.976
2013-03-01,98.067
2013-04-01,98.175
2013-05-01,97.926
2013-06-01,98.148
2013-07-01,98.234
2013-08-01,98.288
2013-09-01,98.233
2013-10-01,98.299
2013-11-01,98.144
2013-12-01,98.285
2014-01-01,98.429
2014-02-01,98.709
2014-03-01,99.156
2014-04-01,99.458
2014-05-01,100.012
2014-06-01,100.019
2014-07-01,100.256
2014-08-01,100.525
2014-09-01,100.712
2014-10-01,100.74
2014-11-01,100.967
2014-12-01,101.206
2015-01-01,101.183
2015-02-01,101.262
2015-03-01,100.984
2015-04-01,100.761
2015-05-01,100.752
2015-06-01,101.013
2015-07-01,101.188
2015-08-01,101.348
2015-09-01,101.426
2015-10-01,101.575
2015-11-01,101.265
2015-12-01,100.935
2016-01-01,100.984
2016-02-01,101.107
2016-03-01,100.648
2016-04-01,100.676
2016-05-01,100.239
2016-06-01,100.006
2016-07-01,99.871
2016-08-01,99.79
2016-09-01,99.698
2016-10-01,99.702
2016-11-01,99.502
2016-12-01,99.343
2017-01-01,99.541
2017-02-01,99.72
2017-03-01,99.992
2017-04-01,100.074
2017-05-01,100.032
2017-06-01,99.841
2017-07-01,100.011
2017-08-01,100.075
2017-09-01,100.133
2017-10-01,100.251
2017-11-01,100.135
2017-12-01,100.194
2018-01-01,100.479
2018-02-01,100.316
2018-03-01,100.359
2018-04-01,100.466
2018-05-01,100.197
2018-06-01,100.269
2018-07-01,100.407
2018-08-01,100.496
2018-09-01,100.706
2018-10-01,100.611
2018-11-01,100.826
2018-12-01,101.076
2019-01-01,101.326
2019-02-01,101.713
2019-03-01,101.787
2019-04-01,101.274
2019-05-01,101.455
2019-06-01,101.349
2019-07-01,101.291
2019-08-01,101.306
2019-09-01,101.523
2019-10-01,101.682
2019-11-01,101.782
2019-12-01,101.852
2020-01-01,102.214
2020-02-01,102.615
2020-03-01,103.022
2020-04-01,105.252
2020-05-01,106.021
2020-06-01,106.399
2020-07-01,105.478
2020-08-01,105.491
2020-09-01,105.335
2020-10-01,105.542
2020-11-01,105.503
2020-12-01,105.814
2021-01-01,105.857
2021-02-01,106.018
2021-03-01,106.132
2021-04-01,106.411
2021-05-01,106.741
2021-06-01,107.373
2021-07-01,107.936
2021-08-01,108.416
2021-09-01,109.561
2021-10-01,110.437
2021-11-01,111.273
2021-12-01,111.793
2022-01-01,112.73
2022-02-01,114.163
2022-03-01,115.564
2022-04-01,116.634
2022-05-01,118.01
2022-06-01,119.168
2022-07-01,120.647
2022-08-01,121.618
2022-09-01,122.438
2022-10-01,123.1
2022-11-01,123.701
2022-12-01,124.19
2023-01-01,124.698
2023-02-01,124.986
2023-03-01,124.742
2023-04-01,124.723
2023-05-01,124.919
2023-06-01,124.79
2023-07-01,125.082
2023-08-01,125.395
2023-09-01,125.77
2023-10-01,126.082
