"Date","IA001260M"
1959-01-01,9.401
1959-02-01,9.415
1959-03-01,9.428
1959-04-01,9.444
1959-05-01,9.454
1959-06-01,9.478
1959-07-01,9.518
1959-08-01,9.553
1959-09-01,9.59
1959-10-01,9.617
1959-11-01,9.654
1959-12-01,9.668
1960-01-01,9.684
1960-02-01,9.709
1960-03-01,9.722
1960-04-01,9.753
1960-05-01,9.777
1960-06-01,9.806
1960-07-01,9.83
1960-08-01,9.855
1960-09-01,9.882
1960-10-01,9.9
1960-11-01,9.915
1960-12-01,9.933
1961-01-01,9.929
1961-02-01,9.946
1961-03-01,9.95
1961-04-01,9.962
1961-05-01,9.978
1961-06-01,9.997
1961-07-01,10.016
1961-08-01,10.032
1961-09-01,10.068
1961-10-01,10.081
1961-11-01,10.102
1961-12-01,10.121
1962-01-01,10.146
1962-02-01,10.17
1962-03-01,10.191
1962-04-01,10.219
1962-05-01,10.236
1962-06-01,10.266
1962-07-01,10.275
1962-08-01,10.275
1962-09-01,10.287
1962-10-01,10.308
1962-11-01,10.332
1962-12-01,10.348
1963-01-01,10.37
1963-02-01,10.385
1963-03-01,10.394
1963-04-01,10.402
1963-05-01,10.423
1963-06-01,10.436
1963-07-01,10.454
1963-08-01,10.471
1963-09-01,10.488
1963-10-01,10.51
1963-11-01,10.532
1963-12-01,10.553
1964-01-01,10.58
1964-02-01,10.604
1964-03-01,10.631
1964-04-01,10.647
1964-05-01,10.668
1964-06-01,10.689
1964-07-01,10.708
1964-08-01,10.734
1964-09-01,10.751
1964-10-01,10.776
1964-11-01,10.794
1964-12-01,10.813
1965-01-01,10.84
1965-02-01,10.855
1965-03-01,10.872
1965-04-01,10.898
1965-05-01,10.915
1965-06-01,10.933
1965-07-01,10.956
1965-08-01,10.99
1965-09-01,11.029
1965-10-01,11.05
1965-11-01,11.077
1965-12-01,11.11
1966-01-01,11.132
1966-02-01,11.161
1966-03-01,11.187
1966-04-01,11.235
1966-05-01,11.293
1966-06-01,11.357
1966-07-01,11.399
1966-08-01,11.439
1966-09-01,11.485
1966-10-01,11.535
1966-11-01,11.579
1966-12-01,11.612
1967-01-01,11.638
1967-02-01,11.667
1967-03-01,11.693
1967-04-01,11.738
1967-05-01,11.777
1967-06-01,11.814
1967-07-01,11.85
1967-08-01,11.891
1967-09-01,11.933
1967-10-01,11.978
1967-11-01,12.03
1967-12-01,12.085
1968-01-01,12.143
1968-02-01,12.218
1968-03-01,12.289
1968-04-01,12.333
1968-05-01,12.392
1968-06-01,12.464
1968-07-01,12.512
1968-08-01,12.58
1968-09-01,12.634
1968-10-01,12.701
1968-11-01,12.762
1968-12-01,12.821
1969-01-01,12.893
1969-02-01,12.951
1969-03-01,13.028
1969-04-01,13.1
1969-05-01,13.166
1969-06-01,13.226
1969-07-01,13.29
1969-08-01,13.351
1969-09-01,13.424
1969-10-01,13.497
1969-11-01,13.555
1969-12-01,13.632
1970-01-01,13.695
1970-02-01,13.768
1970-03-01,13.837
1970-04-01,13.923
1970-05-01,13.987
1970-06-01,14.047
1970-07-01,14.113
1970-08-01,14.164
1970-09-01,14.237
1970-10-01,14.308
1970-11-01,14.388
1970-12-01,14.458
1971-01-01,14.52
1971-02-01,14.58
1971-03-01,14.646
1971-04-01,14.707
1971-05-01,14.779
1971-06-01,14.852
1971-07-01,14.935
1971-08-01,15.01
1971-09-01,15.059
1971-10-01,15.103
1971-11-01,15.152
1971-12-01,15.208
1972-01-01,15.278
1972-02-01,15.336
1972-03-01,15.372
1972-04-01,15.417
1972-05-01,15.46
1972-06-01,15.504
1972-07-01,15.564
1972-08-01,15.614
1972-09-01,15.661
1972-10-01,15.712
1972-11-01,15.762
1972-12-01,15.803
1973-01-01,15.782
1973-02-01,15.84
1973-03-01,15.919
1973-04-01,16.041
1973-05-01,16.118
1973-06-01,16.241
1973-07-01,16.347
1973-08-01,16.457
1973-09-01,16.607
1973-10-01,16.71
1973-11-01,16.814
1973-12-01,16.949
1974-01-01,17.07
1974-02-01,17.202
1974-03-01,17.382
1974-04-01,17.522
1974-05-01,17.725
1974-06-01,17.889
1974-07-01,18.021
1974-08-01,18.195
1974-09-01,18.357
1974-10-01,18.468
1974-11-01,18.613
1974-12-01,18.764
1975-01-01,18.875
1975-02-01,19.022
1975-03-01,19.126
1975-04-01,19.203
1975-05-01,19.328
1975-06-01,19.464
1975-07-01,19.619
1975-08-01,19.689
1975-09-01,19.836
1975-10-01,19.928
1975-11-01,20.111
1975-12-01,20.238
1976-01-01,20.346
1976-02-01,20.423
1976-03-01,20.501
1976-04-01,20.579
1976-05-01,20.673
1976-06-01,20.775
1976-07-01,20.904
1976-08-01,21.058
1976-09-01,21.182
1976-10-01,21.246
1976-11-01,21.355
1976-12-01,21.47
1977-01-01,21.584
1977-02-01,21.718
1977-03-01,21.864
1977-04-01,22.017
1977-05-01,22.141
1977-06-01,22.293
1977-07-01,22.449
1977-08-01,22.57
1977-09-01,22.686
1977-10-01,22.805
1977-11-01,22.919
1977-12-01,23.025
1978-01-01,23.236
1978-02-01,23.4
1978-03-01,23.55
1978-04-01,23.739
1978-05-01,23.88
1978-06-01,24.042
1978-07-01,24.221
1978-08-01,24.385
1978-09-01,24.53
1978-10-01,24.755
1978-11-01,24.893
1978-12-01,24.993
1979-01-01,25.122
1979-02-01,25.148
1979-03-01,25.325
1979-04-01,25.671
1979-05-01,25.969
1979-06-01,26.167
1979-07-01,26.314
1979-08-01,26.51
1979-09-01,26.709
1979-10-01,26.874
1979-11-01,27.06
1979-12-01,27.299
1980-01-01,27.5
1980-02-01,27.82
1980-03-01,28.107
1980-04-01,28.271
1980-05-01,28.534
1980-06-01,28.657
1980-07-01,28.949
1980-08-01,29.172
1980-09-01,29.475
1980-10-01,29.776
1980-11-01,30.065
1980-12-01,30.253
1981-01-01,30.623
1981-02-01,30.881
1981-03-01,31.096
1981-04-01,31.262
1981-05-01,31.428
1981-06-01,31.594
1981-07-01,31.827
1981-08-01,32.012
1981-09-01,32.239
1981-10-01,32.435
1981-11-01,32.68
1981-12-01,32.775
1982-01-01,33.04
1982-02-01,33.163
1982-03-01,33.315
1982-04-01,33.475
1982-05-01,33.663
1982-06-01,33.893
1982-07-01,34.139
1982-08-01,34.403
1982-09-01,34.564
1982-10-01,34.779
1982-11-01,34.952
1982-12-01,35.068
1983-01-01,35.331
1983-02-01,35.472
1983-03-01,35.504
1983-04-01,35.556
1983-05-01,35.608
1983-06-01,35.834
1983-07-01,36.159
1983-08-01,36.484
1983-09-01,36.707
1983-10-01,36.781
1983-11-01,36.82
1983-12-01,36.794
1984-01-01,36.964
1984-02-01,37.381
1984-03-01,37.584
1984-04-01,37.745
1984-05-01,37.886
1984-06-01,37.996
1984-07-01,38.162
1984-08-01,38.297
1984-09-01,38.289
1984-10-01,38.408
1984-11-01,38.496
1984-12-01,38.701
1985-01-01,39.051
1985-02-01,39.204
1985-03-01,39.387
1985-04-01,39.416
1985-05-01,39.558
1985-06-01,39.703
1985-07-01,39.886
1985-08-01,40.138
1985-09-01,40.235
1985-10-01,40.239
1985-11-01,40.276
1985-12-01,40.422
1986-01-01,40.727
1986-02-01,40.95
1986-03-01,41.094
1986-04-01,41.12
1986-05-01,41.18
1986-06-01,41.308
1986-07-01,41.317
1986-08-01,41.349
1986-09-01,41.515
1986-10-01,41.721
1986-11-01,41.803
1986-12-01,41.766
1987-01-01,41.8
1987-02-01,41.825
1987-03-01,41.904
1987-04-01,42.09
1987-05-01,42.211
1987-06-01,42.364
1987-07-01,42.519
1987-08-01,42.649
1987-09-01,42.85
1987-10-01,43.039
1987-11-01,43.138
1987-12-01,43.258
1988-01-01,43.533
1988-02-01,43.702
1988-03-01,43.914
1988-04-01,44.154
1988-05-01,44.365
1988-06-01,44.598
1988-07-01,44.803
1988-08-01,44.999
1988-09-01,45.215
1988-10-01,45.425
1988-11-01,45.554
1988-12-01,45.735
1989-01-01,45.988
1989-02-01,46.186
1989-03-01,46.401
1989-04-01,46.564
1989-05-01,46.715
1989-06-01,46.875
1989-07-01,47.019
1989-08-01,47.128
1989-09-01,47.302
1989-10-01,47.449
1989-11-01,47.587
1989-12-01,47.801
1990-01-01,48.028
1990-02-01,48.218
1990-03-01,48.471
1990-04-01,48.663
1990-05-01,48.873
1990-06-01,49.076
1990-07-01,49.169
1990-08-01,49.445
1990-09-01,49.659
1990-10-01,49.905
1990-11-01,50.037
1990-12-01,50.077
1991-01-01,50.329
1991-02-01,50.439
1991-03-01,50.564
1991-04-01,50.635
1991-05-01,50.926
1991-06-01,51.139
1991-07-01,51.304
1991-08-01,51.485
1991-09-01,51.755
1991-10-01,51.892
1991-11-01,51.935
1991-12-01,52.132
1992-01-01,52.332
1992-02-01,52.523
1992-03-01,52.7
1992-04-01,52.931
1992-05-01,52.977
1992-06-01,53.056
1992-07-01,53.325
1992-08-01,53.375
1992-09-01,53.555
1992-10-01,53.858
1992-11-01,53.963
1992-12-01,54.101
1993-01-01,54.321
1993-02-01,54.431
1993-03-01,54.617
1993-04-01,54.794
1993-05-01,55.111
1993-06-01,55.195
1993-07-01,55.348
1993-08-01,55.478
1993-09-01,55.656
1993-10-01,55.742
1993-11-01,55.876
1993-12-01,55.907
1994-01-01,55.974
1994-02-01,56.161
1994-03-01,56.382
1994-04-01,56.466
1994-05-01,56.558
1994-06-01,56.696
1994-07-01,56.835
1994-08-01,56.933
1994-09-01,57.048
1994-10-01,57.252
1994-11-01,57.373
1994-12-01,57.412
1995-01-01,57.558
1995-02-01,57.729
1995-03-01,57.909
1995-04-01,58.082
1995-05-01,58.242
1995-06-01,58.345
1995-07-01,58.436
1995-08-01,58.59
1995-09-01,58.694
1995-10-01,58.882
1995-11-01,58.934
1995-12-01,59.012
1996-01-01,59.065
1996-02-01,59.161
1996-03-01,59.306
1996-04-01,59.497
1996-05-01,59.705
1996-06-01,59.837
1996-07-01,59.999
1996-08-01,60.121
1996-09-01,60.352
1996-10-01,60.587
1996-11-01,60.714
1996-12-01,60.788
1997-01-01,60.841
1997-02-01,61.016
1997-03-01,61.225
1997-04-01,61.397
1997-05-01,61.458
1997-06-01,61.684
1997-07-01,61.755
1997-08-01,61.789
1997-09-01,61.978
1997-10-01,62.113
1997-11-01,62.155
1997-12-01,62.221
1998-01-01,62.352
1998-02-01,62.452
1998-03-01,62.608
1998-04-01,62.693
1998-05-01,62.817
1998-06-01,62.717
1998-07-01,62.928
1998-08-01,63.082
1998-09-01,63.085
1998-10-01,63.28
1998-11-01,63.318
1998-12-01,63.401
1999-01-01,63.451
1999-02-01,63.501
1999-03-01,63.627
1999-04-01,63.724
1999-05-01,63.858
1999-06-01,63.895
1999-07-01,64.055
1999-08-01,64.142
1999-09-01,64.34
1999-10-01,64.534
1999-11-01,64.667
1999-12-01,64.822
2000-01-01,65.024
2000-02-01,65.199
2000-03-01,65.3
2000-04-01,65.283
2000-05-01,65.398
2000-06-01,65.511
2000-07-01,65.72
2000-08-01,65.901
2000-09-01,66.051
2000-10-01,66.245
2000-11-01,66.344
2000-12-01,66.456
2001-01-01,66.8
2001-02-01,66.98
2001-03-01,67.107
2001-04-01,67.222
2001-05-01,67.317
2001-06-01,67.466
2001-07-01,67.635
2001-08-01,67.785
2001-09-01,67.08
2001-10-01,67.853
2001-11-01,68.002
2001-12-01,68.055
2002-01-01,68.112
2002-02-01,68.319
2002-03-01,68.463
2002-04-01,68.648
2002-05-01,68.83
2002-06-01,68.999
2002-07-01,69.236
2002-08-01,69.435
2002-09-01,69.629
2002-10-01,69.78
2002-11-01,69.926
2002-12-01,70.098
2003-01-01,70.255
2003-02-01,70.5
2003-03-01,70.765
2003-04-01,70.933
2003-05-01,71.249
2003-06-01,71.369
2003-07-01,71.589
2003-08-01,71.801
2003-09-01,71.993
2003-10-01,72.258
2003-11-01,72.452
2003-12-01,72.628
2004-01-01,72.89
2004-02-01,73.009
2004-03-01,73.137
2004-04-01,73.384
2004-05-01,73.525
2004-06-01,73.679
2004-07-01,73.876
2004-08-01,73.998
2004-09-01,74.191
2004-10-01,74.34
2004-11-01,74.573
2004-12-01,74.752
