"Date","DPCXRG3M086SBEA"
1987-01-01,53.547
1987-02-01,53.694
1987-03-01,53.91
1987-04-01,54.112
1987-05-01,54.27
1987-06-01,54.422
1987-07-01,54.564
1987-08-01,54.746
1987-09-01,54.977
1987-10-01,55.203
1987-11-01,55.341
1987-12-01,55.45
1988-01-01,55.726
1988-02-01,55.858
1988-03-01,56.112
1988-04-01,56.373
1988-05-01,56.555
1988-06-01,56.778
1988-07-01,56.981
1988-08-01,57.094
1988-09-01,57.393
1988-10-01,57.638
1988-11-01,57.801
1988-12-01,58.029
1989-01-01,58.324
1989-02-01,58.513
1989-03-01,58.7
1989-04-01,58.899
1989-05-01,59.106
1989-06-01,59.287
1989-07-01,59.483
1989-08-01,59.601
1989-09-01,59.858
1989-10-01,60.102
1989-11-01,60.292
1989-12-01,60.47
1990-01-01,60.707
1990-02-01,61.026
1990-03-01,61.389
1990-04-01,61.58
1990-05-01,61.804
1990-06-01,62.039
1990-07-01,62.28
1990-08-01,62.551
1990-09-01,62.749
1990-10-01,62.984
1990-11-01,63.093
1990-12-01,63.221
1991-01-01,63.626
1991-02-01,63.843
1991-03-01,64.042
1991-04-01,64.213
1991-05-01,64.467
1991-06-01,64.607
1991-07-01,64.832
1991-08-01,65.007
1991-09-01,65.313
1991-10-01,65.487
1991-11-01,65.616
1991-12-01,65.777
1992-01-01,65.992
1992-02-01,66.187
1992-03-01,66.373
1992-04-01,66.581
1992-05-01,66.688
1992-06-01,66.739
1992-07-01,66.996
1992-08-01,67.032
1992-09-01,67.171
1992-10-01,67.445
1992-11-01,67.61
1992-12-01,67.718
1993-01-01,67.926
1993-02-01,68.016
1993-03-01,68.15
1993-04-01,68.325
1993-05-01,68.538
1993-06-01,68.583
1993-07-01,68.731
1993-08-01,68.856
1993-09-01,68.94
1993-10-01,69.046
1993-11-01,69.213
1993-12-01,69.231
1994-01-01,69.284
1994-02-01,69.435
1994-03-01,69.658
1994-04-01,69.777
1994-05-01,69.94
1994-06-01,70.087
1994-07-01,70.219
1994-08-01,70.272
1994-09-01,70.34
1994-10-01,70.49
1994-11-01,70.583
1994-12-01,70.593
1995-01-01,70.873
1995-02-01,70.975
1995-03-01,71.136
1995-04-01,71.31
1995-05-01,71.416
1995-06-01,71.458
1995-07-01,71.579
1995-08-01,71.741
1995-09-01,71.854
1995-10-01,72.016
1995-11-01,72.033
1995-12-01,72.102
1996-01-01,72.145
1996-02-01,72.251
1996-03-01,72.398
1996-04-01,72.488
1996-05-01,72.598
1996-06-01,72.643
1996-07-01,72.741
1996-08-01,72.762
1996-09-01,72.961
1996-10-01,73.098
1996-11-01,73.163
1996-12-01,73.166
1997-01-01,73.274
1997-02-01,73.383
1997-03-01,73.573
1997-04-01,73.707
1997-05-01,73.739
1997-06-01,73.852
1997-07-01,73.873
1997-08-01,73.837
1997-09-01,73.986
1997-10-01,74.025
1997-11-01,74.026
1997-12-01,74.092
1998-01-01,74.197
1998-02-01,74.276
1998-03-01,74.354
1998-04-01,74.453
1998-05-01,74.518
1998-06-01,74.41
1998-07-01,74.629
1998-08-01,74.783
1998-09-01,74.764
1998-10-01,74.914
1998-11-01,74.923
1998-12-01,75.059
1999-01-01,75.184
1999-02-01,75.174
1999-03-01,75.211
1999-04-01,75.394
1999-05-01,75.448
1999-06-01,75.474
1999-07-01,75.562
1999-08-01,75.546
1999-09-01,75.712
1999-10-01,75.811
1999-11-01,75.882
1999-12-01,75.968
2000-01-01,76.164
2000-02-01,76.278
2000-03-01,76.412
2000-04-01,76.426
2000-05-01,76.475
2000-06-01,76.467
2000-07-01,76.688
2000-08-01,76.796
2000-09-01,76.949
2000-10-01,77.076
2000-11-01,77.192
2000-12-01,77.214
2001-01-01,77.441
2001-02-01,77.571
2001-03-01,77.668
2001-04-01,77.796
2001-05-01,77.781
2001-06-01,77.95
2001-07-01,78.127
2001-08-01,78.167
2001-09-01,78.235
2001-10-01,78.328
2001-11-01,78.523
2001-12-01,78.547
2002-01-01,78.564
2002-02-01,78.681
2002-03-01,78.73
2002-04-01,78.922
2002-05-01,78.98
2002-06-01,79.07
2002-07-01,79.203
2002-08-01,79.362
2002-09-01,79.489
2002-10-01,79.542
2002-11-01,79.629
2002-12-01,79.707
2003-01-01,79.769
2003-02-01,79.841
2003-03-01,79.916
2003-04-01,79.97
2003-05-01,80.084
2003-06-01,80.123
2003-07-01,80.315
2003-08-01,80.394
2003-09-01,80.43
2003-10-01,80.561
2003-11-01,80.624
2003-12-01,80.696
2004-01-01,80.91
2004-02-01,81.069
2004-03-01,81.228
2004-04-01,81.385
2004-05-01,81.48
2004-06-01,81.607
2004-07-01,81.708
2004-08-01,81.746
2004-09-01,81.875
2004-10-01,82.035
2004-11-01,82.186
2004-12-01,82.26
2005-01-01,82.503
2005-02-01,82.662
2005-03-01,82.836
2005-04-01,82.913
2005-05-01,83.077
2005-06-01,83.133
2005-07-01,83.219
2005-08-01,83.284
2005-09-01,83.474
2005-10-01,83.672
2005-11-01,83.892
2005-12-01,83.958
2006-01-01,84.136
2006-02-01,84.26
2006-03-01,84.489
2006-04-01,84.671
2006-05-01,84.884
2006-06-01,85.072
2006-07-01,85.175
2006-08-01,85.364
2006-09-01,85.49
2006-10-01,85.621
2006-11-01,85.658
2006-12-01,85.748
2007-01-01,86.093
2007-02-01,86.282
2007-03-01,86.347
2007-04-01,86.441
2007-05-01,86.551
2007-06-01,86.673
2007-07-01,86.762
2007-08-01,86.858
2007-09-01,87.068
2007-10-01,87.358
2007-11-01,87.525
2007-12-01,87.723
2008-01-01,87.95
2008-02-01,88.07
2008-03-01,88.244
2008-04-01,88.354
2008-05-01,88.514
2008-06-01,88.705
2008-07-01,88.895
2008-08-01,89.066
2008-09-01,89.248
2008-10-01,89.379
2008-11-01,89.438
2008-12-01,89.451
2009-01-01,89.659
2009-02-01,89.839
2009-03-01,90.04
2009-04-01,90.239
2009-05-01,90.317
2009-06-01,90.406
2009-07-01,90.432
2009-08-01,90.577
