"Date","DPCXRA3M086SBEA"
1987-01-01,40.308
1987-02-01,41.208
1987-03-01,41.235
1987-04-01,41.436
1987-05-01,41.403
1987-06-01,41.724
1987-07-01,41.982
1987-08-01,42.41
1987-09-01,42.239
1987-10-01,42.056
1987-11-01,42.207
1987-12-01,42.626
1988-01-01,42.816
1988-02-01,42.876
1988-03-01,43.237
1988-04-01,43.072
1988-05-01,43.347
1988-06-01,43.493
1988-07-01,43.551
1988-08-01,43.77
1988-09-01,43.773
1988-10-01,44.047
1988-11-01,44.25
1988-12-01,44.578
1989-01-01,44.686
1989-02-01,44.213
1989-03-01,44.368
1989-04-01,44.739
1989-05-01,44.637
1989-06-01,44.781
1989-07-01,44.949
1989-08-01,45.404
1989-09-01,45.185
1989-10-01,45.152
1989-11-01,45.131
1989-12-01,45.238
1990-01-01,46.184
1990-02-01,45.627
1990-03-01,45.727
1990-04-01,45.777
1990-05-01,45.69
1990-06-01,45.831
1990-07-01,45.934
1990-08-01,45.828
1990-09-01,45.812
1990-10-01,45.639
1990-11-01,45.576
1990-12-01,45.34
1991-01-01,44.739
1991-02-01,45.137
1991-03-01,45.594
1991-04-01,45.425
1991-05-01,45.379
1991-06-01,45.496
1991-07-01,45.693
1991-08-01,45.641
1991-09-01,45.654
1991-10-01,45.516
1991-11-01,45.695
1991-12-01,45.966
1992-01-01,46.639
1992-02-01,46.783
1992-03-01,46.627
1992-04-01,46.642
1992-05-01,46.92
1992-06-01,47.138
1992-07-01,47.229
1992-08-01,47.483
1992-09-01,47.657
1992-10-01,47.88
1992-11-01,47.802
1992-12-01,48.25
1993-01-01,48.318
1993-02-01,48.115
1993-03-01,47.968
1993-04-01,48.451
1993-05-01,48.663
1993-06-01,48.751
1993-07-01,48.997
1993-08-01,48.938
1993-09-01,49.204
1993-10-01,49.379
1993-11-01,49.474
1993-12-01,49.626
1994-01-01,49.64
1994-02-01,50.125
1994-03-01,50.327
1994-04-01,50.471
1994-05-01,50.265
1994-06-01,50.521
1994-07-01,50.68
1994-08-01,51.023
1994-09-01,51.172
1994-10-01,51.497
1994-11-01,51.691
1994-12-01,51.794
1995-01-01,51.689
1995-02-01,51.493
1995-03-01,51.927
1995-04-01,51.79
1995-05-01,52.175
1995-06-01,52.585
1995-07-01,52.517
1995-08-01,52.79
1995-09-01,53.112
1995-10-01,52.865
1995-11-01,53.251
1995-12-01,53.68
1996-01-01,53.261
1996-02-01,53.65
1996-03-01,53.993
1996-04-01,54.288
1996-05-01,54.435
1996-06-01,54.432
1996-07-01,54.567
1996-08-01,54.776
1996-09-01,54.945
1996-10-01,55.23
1996-11-01,55.405
1996-12-01,55.691
1997-01-01,55.881
1997-02-01,56.019
1997-03-01,56.25
1997-04-01,56.083
1997-05-01,56.194
1997-06-01,56.581
1997-07-01,57.109
1997-08-01,57.593
1997-09-01,57.544
1997-10-01,57.766
1997-11-01,58.098
1997-12-01,58.419
1998-01-01,58.5
1998-02-01,58.788
1998-03-01,58.933
1998-04-01,59.411
1998-05-01,59.812
1998-06-01,60.133
1998-07-01,60.15
1998-08-01,60.479
1998-09-01,60.968
1998-10-01,61.325
1998-11-01,61.531
1998-12-01,62.058
1999-01-01,61.917
1999-02-01,62.351
1999-03-01,62.556
1999-04-01,62.898
1999-05-01,63.233
1999-06-01,63.513
1999-07-01,63.57
1999-08-01,64.018
1999-09-01,64.366
1999-10-01,64.507
1999-11-01,64.981
1999-12-01,65.541
2000-01-01,65.588
2000-02-01,66.25
2000-03-01,66.621
2000-04-01,66.487
2000-05-01,66.716
2000-06-01,66.803
2000-07-01,66.879
2000-08-01,67.182
2000-09-01,67.85
2000-10-01,67.786
2000-11-01,67.816
2000-12-01,68.005
2001-01-01,68.229
2001-02-01,68.417
2001-03-01,68.247
2001-04-01,68.215
2001-05-01,68.549
2001-06-01,68.781
2001-07-01,68.79
2001-08-01,69.364
2001-09-01,68.327
2001-10-01,70.429
2001-11-01,70.107
2001-12-01,69.807
2002-01-01,70.236
2002-02-01,70.529
2002-03-01,70.436
2002-04-01,70.907
2002-05-01,70.397
2002-06-01,70.776
2002-07-01,71.268
2002-08-01,71.453
2002-09-01,71.052
2002-10-01,71.132
2002-11-01,71.353
2002-12-01,71.892
2003-01-01,71.696
2003-02-01,71.5
2003-03-01,72.154
2003-04-01,72.421
2003-05-01,72.786
2003-06-01,73.311
2003-07-01,73.583
2003-08-01,74.335
2003-09-01,74.242
2003-10-01,74.295
2003-11-01,74.803
2003-12-01,74.955
2004-01-01,75.026
2004-02-01,75.223
2004-03-01,75.783
2004-04-01,75.627
2004-05-01,76.123
2004-06-01,75.634
2004-07-01,76.415
2004-08-01,76.684
2004-09-01,77.185
2004-10-01,77.379
2004-11-01,77.527
2004-12-01,78.146
2005-01-01,77.848
2005-02-01,78.263
2005-03-01,78.301
2005-04-01,79.001
2005-05-01,78.817
2005-06-01,79.599
2005-07-01,80.288
2005-08-01,79.714
2005-09-01,79.452
2005-10-01,79.581
2005-11-01,79.843
2005-12-01,80.082
2006-01-01,80.993
2006-02-01,80.775
2006-03-01,80.913
2006-04-01,81.093
2006-05-01,81.062
2006-06-01,81.232
2006-07-01,81.51
2006-08-01,81.354
2006-09-01,82.022
2006-10-01,82.275
2006-11-01,82.415
2006-12-01,83.101
2007-01-01,83.123
2007-02-01,82.979
2007-03-01,83.426
2007-04-01,83.304
2007-05-01,83.724
2007-06-01,83.647
2007-07-01,83.837
2007-08-01,84.272
2007-09-01,84.356
2007-10-01,84.569
2007-11-01,84.667
2007-12-01,84.525
2008-01-01,84.543
2008-02-01,84.167
2008-03-01,84.232
2008-04-01,84.427
2008-05-01,84.716
2008-06-01,84.571
2008-07-01,84.233
2008-08-01,84.25
2008-09-01,83.581
2008-10-01,82.868
2008-11-01,82.457
2008-12-01,82.309
2009-01-01,82.568
2009-02-01,82.354
2009-03-01,81.756
2009-04-01,81.782
2009-05-01,82.015
2009-06-01,82.06
2009-07-01,82.512
2009-08-01,83.384
2009-09-01,82.344
2009-10-01,82.398
2009-11-01,82.466
2009-12-01,82.674
2010-01-01,82.688
2010-02-01,82.83
2010-03-01,83.629
2010-04-01,83.816
2010-05-01,83.86
2010-06-01,84.099
2010-07-01,84.265
2010-08-01,84.528
2010-09-01,84.639
2010-10-01,84.983
2010-11-01,85.121
2010-12-01,85.091
2011-01-01,85.373
2011-02-01,85.499
2011-03-01,85.78
2011-04-01,85.744
2011-05-01,85.676
2011-06-01,85.694
2011-07-01,85.682
2011-08-01,85.736
2011-09-01,85.982
2011-10-01,86.142
2011-11-01,86.098
2011-12-01,86.145
2012-01-01,86.619
2012-02-01,87.043
2012-03-01,87.061
2012-04-01,87.05
2012-05-01,86.935
2012-06-01,86.796
2012-07-01,86.891
2012-08-01,86.889
2012-09-01,87.224
2012-10-01,87.186
2012-11-01,87.775
2012-12-01,88.008
2013-01-01,88.345
2013-02-01,88.202
2013-03-01,88.162
2013-04-01,88.346
2013-05-01,88.658
2013-06-01,88.744
2013-07-01,88.929
2013-08-01,89.038
2013-09-01,89.255
2013-10-01,89.551
2013-11-01,89.771
2013-12-01,89.875
2014-01-01,89.48
2014-02-01,90.057
2014-03-01,90.586
2014-04-01,90.906
2014-05-01,91.205
2014-06-01,91.628
2014-07-01,91.89
2014-08-01,92.435
2014-09-01,92.543
2014-10-01,93.037
2014-11-01,93.236
2014-12-01,93.623
2015-01-01,93.727
2015-02-01,93.72
2015-03-01,94.225
2015-04-01,94.424
2015-05-01,94.811
2015-06-01,94.975
2015-07-01,95.294
2015-08-01,95.58
2015-09-01,95.52
2015-10-01,95.562
2015-11-01,95.771
2015-12-01,96.19
2016-01-01,96.316
2016-02-01,96.991
2016-03-01,96.841
2016-04-01,97.033
2016-05-01,97.164
2016-06-01,97.499
2016-07-01,97.503
2016-08-01,97.599
2016-09-01,97.963
2016-10-01,98.064
2016-11-01,98.308
2016-12-01,98.654
2017-01-01,98.978
2017-02-01,99.011
2017-03-01,99.236
2017-04-01,99.385
2017-05-01,99.342
2017-06-01,99.684
2017-07-01,99.907
2017-08-01,100.03
2017-09-01,100.573
2017-10-01,100.652
2017-11-01,101.342
2017-12-01,101.86
2018-01-01,101.89
2018-02-01,102.213
2018-03-01,102.075
2018-04-01,102.106
2018-05-01,102.61
2018-06-01,102.675
2018-07-01,102.998
2018-08-01,103.257
2018-09-01,102.976
2018-10-01,103.08
2018-11-01,103.557
2018-12-01,102.76
2019-01-01,103.234
2019-02-01,103.631
2019-03-01,104.35
2019-04-01,104.403
2019-05-01,105.029
2019-06-01,105.359
2019-07-01,105.778
2019-08-01,106.169
2019-09-01,106.536
2019-10-01,106.687
2019-11-01,107.323
2019-12-01,107.576
2020-01-01,107.836
2020-02-01,107.884
2020-03-01,96.683
2020-04-01,83.818
2020-05-01,93.871
2020-06-01,100.696
2020-07-01,102.381
2020-08-01,103.324
2020-09-01,104.999
2020-10-01,105.491
2020-11-01,105.377
2020-12-01,105.771
2021-01-01,107.223
2021-02-01,105.898
2021-03-01,111.228
2021-04-01,112.25
2021-05-01,112.092
2021-06-01,113.144
2021-07-01,112.882
2021-08-01,113.41
2021-09-01,113.907
2021-10-01,114.695
2021-11-01,115.023
2021-12-01,114.745
2022-01-01,114.725
2022-02-01,114.866
2022-03-01,115.398
2022-04-01,115.811
2022-05-01,115.568
