"Date","PITGCG01USM661N"
1960-01-01,16.2942423748165
1960-02-01,16.2453107160333
1960-03-01,16.4410373511662
1960-04-01,16.4410373511662
1960-05-01,16.392105692383
1960-06-01,16.392105692383
1960-07-01,16.4899690099494
1960-08-01,16.4410373511662
1960-09-01,16.4899690099494
1960-10-01,16.6367639862991
1960-11-01,16.6367639862991
1960-12-01,16.5389006687327
1961-01-01,16.5878323275159
1961-02-01,16.6367639862991
1961-03-01,16.5389006687327
1961-04-01,16.392105692383
1961-05-01,16.2942423748165
1961-06-01,16.2942423748165
1961-07-01,16.392105692383
1961-08-01,16.392105692383
1961-09-01,16.392105692383
1961-10-01,16.392105692383
1961-11-01,16.392105692383
1961-12-01,16.4410373511662
1962-01-01,16.5389006687327
1962-02-01,16.5389006687327
1962-03-01,16.4899690099494
1962-04-01,16.392105692383
1962-05-01,16.3431740335997
1962-06-01,16.3431740335997
1962-07-01,16.392105692383
1962-08-01,16.4410373511662
1962-09-01,16.6367639862991
1962-10-01,16.5389006687327
1962-11-01,16.5389006687327
1962-12-01,16.4410373511662
1963-01-01,16.4899690099494
1963-02-01,16.4410373511662
1963-03-01,16.2942423748165
1963-04-01,16.2453107160333
1963-05-01,16.3431740335997
1963-06-01,16.392105692383
1963-07-01,16.4899690099494
1963-08-01,16.392105692383
1963-09-01,16.392105692383
1963-10-01,16.4410373511662
1963-11-01,16.4410373511662
1963-12-01,16.392105692383
1964-01-01,16.5389006687327
1964-02-01,16.392105692383
1964-03-01,16.392105692383
1964-04-01,16.2942423748165
1964-05-01,16.2942423748165
1964-06-01,16.392105692383
1964-07-01,16.4899690099494
1964-08-01,16.4410373511662
1964-09-01,16.4899690099494
1964-10-01,16.4899690099494
1964-11-01,16.4410373511662
1964-12-01,16.392105692383
1965-01-01,16.4899690099494
1965-02-01,16.4899690099494
1965-03-01,16.4899690099494
1965-04-01,16.5878323275159
1965-05-01,16.6367639862991
1965-06-01,16.7835589626488
1965-07-01,16.8324906214321
1965-08-01,16.7835589626488
1965-09-01,16.8324906214321
1965-10-01,16.8814222802153
1965-11-01,16.9792855977818
1965-12-01,17.0771489153482
1966-01-01,17.1260805741315
1966-02-01,17.2728755504812
1966-03-01,17.2728755504812
1966-04-01,17.2239438916979
1966-05-01,17.1750122329147
1966-06-01,17.2239438916979
1966-07-01,17.3218072092644
1966-08-01,17.4196705268309
1966-09-01,17.5175338443973
1966-10-01,17.4686021856141
1966-11-01,17.4196705268309
1966-12-01,17.3218072092644
1967-01-01,17.3707388680476
1967-02-01,17.3218072092644
1967-03-01,17.2728755504812
1967-04-01,17.2239438916979
1967-05-01,17.3218072092644
1967-06-01,17.4686021856141
1967-07-01,17.5175338443973
1967-08-01,17.4686021856141
1967-09-01,17.5175338443973
1967-10-01,17.4686021856141
1967-11-01,17.5175338443973
1967-12-01,17.5664655031806
1968-01-01,17.6153971619638
1968-02-01,17.7132604795303
1968-03-01,17.7621921383135
1968-04-01,17.7621921383135
1968-05-01,17.8111237970967
1968-06-01,17.9089871146632
1968-07-01,18.0068504322296
1968-08-01,17.9089871146632
1968-09-01,18.0557820910129
1968-10-01,18.0068504322296
1968-11-01,18.0557820910129
1968-12-01,18.1047137497961
1969-01-01,18.2025770673626
1969-02-01,18.2025770673626
1969-03-01,18.300440384929
1969-04-01,18.300440384929
1969-05-01,18.496167020062
1969-06-01,18.6429619964117
1969-07-01,18.7408253139781
1969-08-01,18.6429619964117
1969-09-01,18.6918936551949
1969-10-01,18.7408253139781
1969-11-01,18.8876202903278
1969-12-01,18.9854836078943
1970-01-01,19.0833469254608
1970-02-01,19.0833469254608
1970-03-01,19.132278584244
1970-04-01,19.0344152666775
1970-05-01,19.0344152666775
1970-06-01,19.0833469254608
1970-07-01,19.2301419018105
1970-08-01,19.0833469254608
1970-09-01,19.2301419018105
1970-10-01,19.132278584244
1970-11-01,19.2301419018105
1970-12-01,19.2301419018105
1971-01-01,19.3769368781602
1971-02-01,19.5237318545099
1971-03-01,19.5237318545099
1971-04-01,19.5237318545099
1971-05-01,19.6215951720763
1971-06-01,19.7194584896428
1971-07-01,19.7194584896428
1971-08-01,19.768390148426
1971-09-01,19.6705268308596
1971-10-01,19.7194584896428
1971-11-01,19.7194584896428
1971-12-01,19.9151851247757
1972-01-01,19.964116783559
1972-02-01,20.1109117599087
1972-03-01,20.0619801011254
1972-04-01,20.0130484423422
1972-05-01,20.1109117599087
1972-06-01,20.2087750774751
1972-07-01,20.4045017126081
1972-08-01,20.4534333713913
1972-09-01,20.5023650301745
1972-10-01,20.4045017126081
1972-11-01,20.5512966889577
1972-12-01,20.7959549828739
1973-01-01,21.0895449355733
1973-02-01,21.3831348882727
1973-03-01,21.872451476105
1973-04-01,21.9703147936715
1973-05-01,22.1171097700212
1973-06-01,22.4106997227206
1973-07-01,22.4596313815038
1973-08-01,23.3893328983852
1973-09-01,23.1936062632523
1973-10-01,23.1446746044691
1973-11-01,23.2914695808188
1973-12-01,23.5850595335182
1974-01-01,24.3679660740499
1974-02-01,24.9551459794487
1974-03-01,25.0530092970152
1974-04-01,25.1998042733649
1974-05-01,25.444462567281
1974-06-01,25.2976675909313
1974-07-01,26.0805741314631
1974-08-01,26.4720274017289
1974-09-01,26.6677540368618
1974-10-01,27.1570706246942
1974-11-01,27.5974555537433
1974-12-01,27.6463872125265
1975-01-01,27.8421138476594
1975-02-01,27.744250530093
1975-03-01,27.5974555537433
1975-04-01,27.7931821888762
1975-05-01,28.0378404827924
1975-06-01,28.3314304354918
1975-07-01,28.7228837057576
