"Date","DDURRG3M086SBEA"
1959-01-01,63.517
1959-02-01,63.554
1959-03-01,63.634
1959-04-01,63.698
1959-05-01,63.804
1959-06-01,63.931
1959-07-01,63.962
1959-08-01,63.665
1959-09-01,63.773
1959-10-01,63.728
1959-11-01,63.779
1959-12-01,63.808
1960-01-01,63.672
1960-02-01,63.775
1960-03-01,63.589
1960-04-01,63.665
1960-05-01,63.658
1960-06-01,63.485
1960-07-01,63.491
1960-08-01,63.505
1960-09-01,63.227
1960-10-01,63.174
1960-11-01,63.588
1960-12-01,63.129
1961-01-01,63.281
1961-02-01,63.303
1961-03-01,63.34
1961-04-01,63.475
1961-05-01,63.626
1961-06-01,63.721
1961-07-01,63.77
1961-08-01,63.873
1961-09-01,64.047
1961-10-01,63.989
1961-11-01,63.689
1961-12-01,63.775
1962-01-01,63.721
1962-02-01,63.815
1962-03-01,63.944
1962-04-01,63.832
1962-05-01,63.848
1962-06-01,64.048
1962-07-01,64.096
1962-08-01,64.104
1962-09-01,64.159
1962-10-01,63.86
1962-11-01,63.883
1962-12-01,63.86
1963-01-01,63.765
1963-02-01,63.905
1963-03-01,63.993
1963-04-01,64.004
1963-05-01,64.046
1963-06-01,64.2
1963-07-01,64.151
1963-08-01,64.118
1963-09-01,64.522
1963-10-01,64.529
1963-11-01,64.428
1963-12-01,64.442
1964-01-01,64.502
1964-02-01,64.633
1964-03-01,64.543
1964-04-01,64.572
1964-05-01,64.5
1964-06-01,64.494
1964-07-01,64.531
1964-08-01,64.437
1964-09-01,64.39
1964-10-01,64.233
1964-11-01,64.342
1964-12-01,64.397
1965-01-01,64.365
1965-02-01,64.329
1965-03-01,64.309
1965-04-01,64.257
1965-05-01,64.319
1965-06-01,63.825
1965-07-01,63.777
1965-08-01,63.838
1965-09-01,63.827
1965-10-01,63.317
1965-11-01,63.332
1965-12-01,63.738
1966-01-01,63.232
1966-02-01,63.459
1966-03-01,63.443
1966-04-01,63.622
1966-05-01,63.633
1966-06-01,63.695
1966-07-01,63.885
1966-08-01,63.937
1966-09-01,63.975
1966-10-01,64.076
1966-11-01,64.136
1966-12-01,64.461
1967-01-01,64.148
1967-02-01,64.047
1967-03-01,64.077
1967-04-01,64.249
1967-05-01,64.398
1967-06-01,64.471
1967-07-01,64.839
1967-08-01,65.092
1967-09-01,65.315
1967-10-01,65.652
1967-11-01,65.852
1967-12-01,65.714
1968-01-01,66.019
1968-02-01,66.157
1968-03-01,66.321
1968-04-01,66.436
1968-05-01,66.577
1968-06-01,66.695
1968-07-01,66.891
1968-08-01,67.101
1968-09-01,67.378
1968-10-01,67.608
1968-11-01,67.872
1968-12-01,67.727
1969-01-01,67.846
1969-02-01,68.109
1969-03-01,68.44
1969-04-01,68.566
1969-05-01,68.594
1969-06-01,68.765
1969-07-01,68.882
1969-08-01,69.003
1969-09-01,69.024
1969-10-01,69.319
1969-11-01,69.439
1969-12-01,69.427
1970-01-01,69.409
1970-02-01,69.511
1970-03-01,69.622
1970-04-01,69.681
1970-05-01,69.798
1970-06-01,69.883
1970-07-01,70.091
1970-08-01,70.282
1970-09-01,70.529
1970-10-01,70.992
1970-11-01,71.511
1970-12-01,71.908
1971-01-01,72.296
1971-02-01,72.529
1971-03-01,72.622
1971-04-01,72.837
1971-05-01,72.996
1971-06-01,73.16
1971-07-01,73.33
1971-08-01,72.79
1971-09-01,72.386
1971-10-01,72.331
1971-11-01,72.396
1971-12-01,72.657
1972-01-01,73.031
1972-02-01,73.073
1972-03-01,73.154
1972-04-01,73.382
1972-05-01,73.483
1972-06-01,73.519
1972-07-01,73.662
