"Date","WPUFD49505"
2010-04-01,100
2010-05-01,100.2
2010-06-01,100.1
2010-07-01,100.3
2010-08-01,100.4
2010-09-01,100.5
2010-10-01,100.8
2010-11-01,100.7
2010-12-01,100.5
2011-01-01,100.8
2011-02-01,101.3
2011-03-01,102.1
2011-04-01,102.2
2011-05-01,102.2
2011-06-01,102.3
2011-07-01,102.4
2011-08-01,103
2011-09-01,103
2011-10-01,103
2011-11-01,103.1
2011-12-01,102.6
2012-01-01,103
2012-02-01,103.6
2012-03-01,104
2012-04-01,104.3
2012-05-01,104.5
2012-06-01,104.4
2012-07-01,104.1
2012-08-01,104
2012-09-01,104.3
2012-10-01,104.8
2012-11-01,105.1
2012-12-01,105
2013-01-01,105
2013-02-01,105.4
2013-03-01,105.9
2013-04-01,105.9
2013-05-01,105.3
2013-06-01,105.8
2013-07-01,106.2
2013-08-01,106.1
2013-09-01,106.2
2013-10-01,106.9
2013-11-01,106.7
2013-12-01,106.3
2014-01-01,106.4
2014-02-01,107
2014-03-01,107.7
2014-04-01,107.5
2014-05-01,107.7
2014-06-01,107.6
2014-07-01,108.3
2014-08-01,108.4
2014-09-01,108
2014-10-01,109.1
2014-11-01,108.6
2014-12-01,108.7
2015-01-01,108.6
2015-02-01,108.5
2015-03-01,108.9
2015-04-01,109.1
2015-05-01,108.8
2015-06-01,109.1
2015-07-01,109.6
2015-08-01,109.7
2015-09-01,109.5
2015-10-01,109.7
2015-11-01,109.3
2015-12-01,109.1
2016-01-01,109.9
2016-02-01,110
2016-03-01,110.1
2016-04-01,110.3
2016-05-01,110
2016-06-01,110.5
2016-07-01,110.7
2016-08-01,110.5
2016-09-01,110.7
2016-10-01,111.2
2016-11-01,111
2016-12-01,110.6
2017-01-01,111.3
2017-02-01,111.3
2017-03-01,111.7
2017-04-01,112.1
2017-05-01,112.2
2017-06-01,112.4
2017-07-01,112.5
2017-08-01,112.5
2017-09-01,112.5
2017-10-01,113.5
2017-11-01,113.1
2017-12-01,112.8
2018-01-01,113.5
2018-02-01,114.1
2018-03-01,114.4
2018-04-01,114.4
2018-05-01,114.5
2018-06-01,114.9
2018-07-01,115.1
2018-08-01,115.1
2018-09-01,115
2018-10-01,116.2
2018-11-01,116.1
2018-12-01,116.1
2019-01-01,116.1
2019-02-01,116.5
2019-03-01,116.8
2019-04-01,117.4
2019-05-01,117.5
2019-06-01,117.7
2019-07-01,117.8
2019-08-01,118.3
2019-09-01,118
2019-10-01,118.8
2019-11-01,117.8
2019-12-01,117.8
2020-01-01,118.5
2020-02-01,118.6
2020-03-01,119.1
2020-04-01,118.7
2020-05-01,118.7
2020-06-01,118.7
2020-07-01,119.3
2020-08-01,119.4
2020-09-01,119.7
2020-10-01,120.7
2020-11-01,120.1
2020-12-01,119.7
2021-01-01,121.2
2021-02-01,121.7
2021-03-01,122.4
2021-04-01,123.7
2021-05-01,124
2021-06-01,124.9
2021-07-01,126.044
2021-08-01,126.964
2021-09-01,127.02
2021-10-01,127.393
2021-11-01,128.22
2021-12-01,128.743
2022-01-01,129.709
2022-02-01,130.485
2022-03-01,132.339
2022-04-01,132.35
2022-05-01,132.532
2022-06-01,133.035
2022-07-01,133.42
2022-08-01,134.106
2022-09-01,134.157
2022-10-01,135.077
2022-11-01,134.813
2022-12-01,134.768
2023-01-01,135.142
2023-02-01,135.812
2023-03-01,135.985
2023-04-01,136.432
2023-05-01,136.245
2023-06-01,136.691
2023-07-01,137.33
2023-08-01,137.498
2023-09-01,137.695
2023-10-01,138.163
2023-11-01,137.708
