"Date","PCU3119203119207"
1985-01-01,99.3
1985-02-01,99.3
1985-03-01,99.3
1985-04-01,101.5
1985-05-01,101.5
1985-06-01,101.5
1985-07-01,101.5
1985-08-01,101.5
1985-09-01,100
1985-10-01,100
1985-11-01,100
1985-12-01,100
1986-01-01,NA
1986-02-01,101.4
1986-03-01,101.8
1986-04-01,101.8
1986-05-01,101.8
1986-06-01,101.8
1986-07-01,101.8
1986-08-01,101.8
1986-09-01,101.8
1986-10-01,101.8
1986-11-01,101.8
1986-12-01,101.8
1987-01-01,101.8
1987-02-01,101.8
1987-03-01,101.8
1987-04-01,101.8
1987-05-01,101.8
1987-06-01,101.8
1987-07-01,102.3
1987-08-01,102.3
1987-09-01,102.3
1987-10-01,102.3
1987-11-01,102.3
1987-12-01,102.3
1988-01-01,102.3
1988-02-01,102.3
1988-03-01,102.3
1988-04-01,103.3
1988-05-01,103.3
1988-06-01,103.3
1988-07-01,102.7
1988-08-01,102.7
1988-09-01,102.7
1988-10-01,102.7
1988-11-01,103.1
1988-12-01,103.1
1989-01-01,103.1
1989-02-01,103.1
1989-03-01,103.1
1989-04-01,103.1
1989-05-01,103.1
1989-06-01,103.1
1989-07-01,103.6
1989-08-01,103.6
1989-09-01,103.6
1989-10-01,103.6
1989-11-01,103.6
1989-12-01,103.6
1990-01-01,107.4
1990-02-01,107.4
1990-03-01,107.4
1990-04-01,107.4
1990-05-01,107.4
1990-06-01,107.4
1990-07-01,107.4
1990-08-01,107.4
1990-09-01,107.4
1990-10-01,107.4
1990-11-01,108.1
1990-12-01,108.1
1991-01-01,108.1
1991-02-01,108
1991-03-01,108
1991-04-01,108
1991-05-01,108
1991-06-01,108
1991-07-01,107.8
1991-08-01,108
1991-09-01,108.3
1991-10-01,108.3
1991-11-01,108.3
1991-12-01,108.3
1992-01-01,105.1
1992-02-01,105.1
1992-03-01,105.1
1992-04-01,105.8
1992-05-01,105.8
1992-06-01,105.7
1992-07-01,105.6
1992-08-01,105.8
1992-09-01,105.9
1992-10-01,105.9
1992-11-01,105.9
1992-12-01,106
1993-01-01,106
1993-02-01,106
1993-03-01,106
1993-04-01,106
1993-05-01,106.1
1993-06-01,106.1
1993-07-01,106.1
1993-08-01,106.1
1993-09-01,106.1
1993-10-01,106.1
1993-11-01,106.1
1993-12-01,105.3
1994-01-01,105.3
1994-02-01,105.3
1994-03-01,104.7
1994-04-01,102.3
1994-05-01,102.3
1994-06-01,100.8
1994-07-01,100.9
1994-08-01,101
1994-09-01,101.1
1994-10-01,101.1
1994-11-01,101.1
1994-12-01,101.1
1995-01-01,101.3
1995-02-01,101.1
1995-03-01,101.4
1995-04-01,101.4
1995-05-01,101.4
1995-06-01,101
1995-07-01,101
1995-08-01,101.4
1995-09-01,101.8
1995-10-01,101.8
1995-11-01,101.7
1995-12-01,101.8
1996-01-01,98.1
1996-02-01,98.2
1996-03-01,98.2
1996-04-01,98.3
1996-05-01,98.3
1996-06-01,98.2
1996-07-01,98.1
1996-08-01,98.4
1996-09-01,98.5
1996-10-01,98.5
1996-11-01,98.5
1996-12-01,98.5
1997-01-01,98.5
1997-02-01,101.4
1997-03-01,101.4
1997-04-01,102
1997-05-01,102
1997-06-01,101.9
1997-07-01,101.9
1997-08-01,102
1997-09-01,102.1
1997-10-01,102.1
1997-11-01,102.1
1997-12-01,102.1
1998-01-01,102.1
1998-02-01,102
1998-03-01,102
1998-04-01,102
1998-05-01,102
1998-06-01,102
1998-07-01,102
1998-08-01,102
1998-09-01,102
1998-10-01,102
1998-11-01,102
1998-12-01,101.9
1999-01-01,102
1999-02-01,101.9
1999-03-01,102
1999-04-01,102.1
1999-05-01,102.1
1999-06-01,102.1
1999-07-01,102.6
1999-08-01,102.6
1999-09-01,102.6
1999-10-01,102.6
1999-11-01,102.4
1999-12-01,102.4
2000-01-01,102.4
2000-02-01,102.4
2000-03-01,102.4
2000-04-01,102.4
2000-05-01,102.4
2000-06-01,102.4
2000-07-01,102.4
2000-08-01,102.4
2000-09-01,102.4
2000-10-01,102.4
2000-11-01,102.4
2000-12-01,106.5
2001-01-01,106.9
2001-02-01,106.9
2001-03-01,107
2001-04-01,107
2001-05-01,107
2001-06-01,107
2001-07-01,107
2001-08-01,107
2001-09-01,107
2001-10-01,107
2001-11-01,107
2001-12-01,107
2002-01-01,107.1
2002-02-01,107.1
2002-03-01,107.1
2002-04-01,107.1
2002-05-01,107.1
2002-06-01,123.2
2002-07-01,123.3
2002-08-01,117.7
2002-09-01,115.2
2002-10-01,110.4
2002-11-01,123.6
2002-12-01,115.2
2003-01-01,116.2
2003-02-01,116.2
2003-03-01,116.2
2003-04-01,116.3
2003-05-01,115.9
2003-06-01,114.4
2003-07-01,114.4
2003-08-01,114.4
2003-09-01,114.4
2003-10-01,113.5
2003-11-01,113.5
2003-12-01,113.5
2004-01-01,113.5
2004-02-01,116.4
2004-03-01,116.4
2004-04-01,116.5
2004-05-01,116.4
2004-06-01,116.4
2004-07-01,116.4
2004-08-01,116.5
2004-09-01,115.6
2004-10-01,116.8
2004-11-01,116.8
2004-12-01,116.8
2005-01-01,116.8
2005-02-01,117
2005-03-01,117
2005-04-01,118.1
2005-05-01,118.1
2005-06-01,118.3
2005-07-01,118.3
2005-08-01,118.7
2005-09-01,118.7
2005-10-01,118.7
2005-11-01,118.7
2005-12-01,118.7
2006-01-01,121
2006-02-01,121
2006-03-01,121
2006-04-01,121
2006-05-01,121
2006-06-01,123.6
2006-07-01,122.9
2006-08-01,122.9
2006-09-01,122.9
2006-10-01,123
2006-11-01,123
2006-12-01,123
2007-01-01,123
2007-02-01,123
2007-03-01,123
2007-04-01,123
2007-05-01,123
2007-06-01,128.3
2007-07-01,128.3
2007-08-01,128.3
2007-09-01,128.3
2007-10-01,128.3
2007-11-01,128.3
2007-12-01,128.3
2008-01-01,129
2008-02-01,129
2008-03-01,129
2008-04-01,129
2008-05-01,130.8
2008-06-01,130.8
2008-07-01,132.3
2008-08-01,132.5
2008-09-01,132.5
2008-10-01,135.3
2008-11-01,135.2
2008-12-01,135.1
2009-01-01,135.2
2009-02-01,135.7
2009-03-01,136.6
2009-04-01,135.5
2009-05-01,136.7
2009-06-01,136.7
2009-07-01,136.4
2009-08-01,136.1
2009-09-01,136.4
2009-10-01,137.4
2009-11-01,137.1
2009-12-01,136.7
2010-01-01,137.2
2010-02-01,136.9
2010-03-01,137.4
2010-04-01,137.5
2010-05-01,136.8
2010-06-01,137.5
2010-07-01,136.4
2010-08-01,136.8
2010-09-01,136.9
2010-10-01,136.9
2010-11-01,136.9
2010-12-01,136.8
2011-01-01,137.1
2011-02-01,140.5
2011-03-01,139.6
2011-04-01,139.1
2011-05-01,139.8
2011-06-01,139.9
2011-07-01,139.7
2011-08-01,139.9
2011-09-01,141.1
2011-10-01,141.4
2011-11-01,140.4
2011-12-01,140.1
2012-01-01,142
2012-02-01,142.2
2012-03-01,142.6
2012-04-01,143.5
2012-05-01,142.7
2012-06-01,144.3
2012-07-01,145.4
2012-08-01,146.8
2012-09-01,145.7
2012-10-01,146.7
2012-11-01,146.8
2012-12-01,146.8
2013-01-01,146.7
2013-02-01,147.3
2013-03-01,146.3
2013-04-01,149.1
2013-05-01,148.6
2013-06-01,148
2013-07-01,147.1
2013-08-01,147.5
2013-09-01,147.3
2013-10-01,148
2013-11-01,150.2
2013-12-01,149.7
2014-01-01,150.5
2014-02-01,150.5
2014-03-01,148.8
2014-04-01,149.5
2014-05-01,148.8
2014-06-01,150.7
2014-07-01,151.8
2014-08-01,149.6
2014-09-01,148.6
2014-10-01,147.6
2014-11-01,150
2014-12-01,149.9
2015-01-01,151
2015-02-01,149.5
2015-03-01,150.2
2015-04-01,149.5
2015-05-01,149.8
2015-06-01,150.5
2015-07-01,151.5
2015-08-01,153
2015-09-01,152.7
2015-10-01,152.5
2015-11-01,152
2015-12-01,152.8
2016-01-01,152.5
2016-02-01,153.1
2016-03-01,152.5
2016-04-01,152.5
2016-05-01,152.7
2016-06-01,153
2016-07-01,150.4
2016-08-01,152
2016-09-01,151.1
2016-10-01,151.5
2016-11-01,153
2016-12-01,151.6
2017-01-01,151.5
2017-02-01,151
2017-03-01,152.4
2017-04-01,150.6
2017-05-01,151.4
2017-06-01,151.4
2017-07-01,151.4
2017-08-01,151.6
2017-09-01,151.6
2017-10-01,151.6
2017-11-01,152.9
2017-12-01,152.9
2018-01-01,153.6
2018-02-01,150.9
2018-03-01,150.9
2018-04-01,151.2
2018-05-01,151.9
2018-06-01,152.5
2018-07-01,152.4
2018-08-01,152.1
2018-09-01,152.1
2018-10-01,152.6
2018-11-01,152.6
2018-12-01,152.6
2019-01-01,152.5
2019-02-01,152.4
2019-03-01,152.1
2019-04-01,152.2
2019-05-01,153.9
2019-06-01,153.9
2019-07-01,153.2
2019-08-01,153.4
2019-09-01,152.6
2019-10-01,152.8
2019-11-01,152.8
2019-12-01,152.8
2020-01-01,151.8
2020-02-01,150.2
2020-03-01,150.2
2020-04-01,150.4
2020-05-01,150.4
2020-06-01,150.4
2020-07-01,150.3
2020-08-01,150.1
2020-09-01,150.1
2020-10-01,150.2
2020-11-01,150.4
2020-12-01,150.4
2021-01-01,150.4
2021-02-01,150.5
2021-03-01,150.5
2021-04-01,150.4
2021-05-01,152.8
2021-06-01,152
2021-07-01,152.394
2021-08-01,153.003
2021-09-01,152.818
2021-10-01,152.818
2021-11-01,152.818
2021-12-01,152.818
2022-01-01,152.818
2022-02-01,154.391
2022-03-01,157.144
2022-04-01,160.079
2022-05-01,160.079
2022-06-01,160.58
2022-07-01,160.755
2022-08-01,160.755
2022-09-01,160.755
2022-10-01,162.755
2022-11-01,163.014
2022-12-01,162.524
2023-01-01,164.725
2023-02-01,182.589
2023-03-01,184.271
2023-04-01,182.931
2023-05-01,183.891
2023-06-01,183.708
2023-07-01,184.155
2023-08-01,185.694
2023-09-01,185.918
2023-10-01,185.358
2023-11-01,184.916
