"Date","PCU3119203119207"
1975-12-01,54.2
1976-01-01,54.6
1976-02-01,54.6
1976-03-01,54.6
1976-04-01,54.6
1976-05-01,54.6
1976-06-01,55
1976-07-01,55
1976-08-01,55
1976-09-01,56.7
1976-10-01,57.6
1976-11-01,57.6
1976-12-01,57.6
1977-01-01,57.6
1977-02-01,57.6
1977-03-01,61.6
1977-04-01,63.2
1977-05-01,66.6
1977-06-01,70.4
1977-07-01,74.2
1977-08-01,75.4
1977-09-01,75.4
1977-10-01,75.4
1977-11-01,75.4
1977-12-01,75.4
1978-01-01,75.4
1978-02-01,75.4
1978-03-01,75.4
1978-04-01,75.4
1978-05-01,75.4
1978-06-01,75.4
1978-07-01,75.4
1978-08-01,75.4
1978-09-01,75.4
1978-10-01,75.4
1978-11-01,75.4
1978-12-01,75.4
1979-01-01,75.5
1979-02-01,76.2
1979-03-01,76.8
1979-04-01,76.8
1979-05-01,76.8
1979-06-01,76.8
1979-07-01,76.8
1979-08-01,76.8
1979-09-01,76.8
1979-10-01,76.8
1979-11-01,76.8
1979-12-01,76.8
1980-01-01,76.8
1980-02-01,78.9
1980-03-01,79.4
1980-04-01,80.7
1980-05-01,80.7
1980-06-01,80.7
1980-07-01,81.6
1980-08-01,81.6
1980-09-01,81.6
1980-10-01,82.8
1980-11-01,83.9
1980-12-01,83.9
1981-01-01,84.9
1981-02-01,84.9
1981-03-01,84.9
1981-04-01,84.9
1981-05-01,85.2
1981-06-01,85.2
1981-07-01,85.9
1981-08-01,85.9
1981-09-01,85.9
1981-10-01,84.8
1981-11-01,84.8
1981-12-01,84.8
1982-01-01,84.8
1982-02-01,84.8
1982-03-01,84.8
1982-04-01,84.8
1982-05-01,84.8
1982-06-01,84.8
1982-07-01,84.8
1982-08-01,84.8
1982-09-01,84.8
1982-10-01,84.8
1982-11-01,84.8
1982-12-01,84.8
1983-01-01,87
1983-02-01,87.6
1983-03-01,87.6
1983-04-01,87.6
1983-05-01,87.6
1983-06-01,87.6
1983-07-01,87.6
1983-08-01,87.6
1983-09-01,89.2
1983-10-01,89.2
1983-11-01,89.2
1983-12-01,89.2
1984-01-01,91.9
1984-02-01,94.3
1984-03-01,94.3
1984-04-01,94.3
1984-05-01,94.3
1984-06-01,94.3
1984-07-01,97.2
1984-08-01,97.2
1984-09-01,97.2
1984-10-01,97.2
1984-11-01,97.2
1984-12-01,97.2
