"Date","DGDSRG3M086SBEA"
1959-01-01,27.809
1959-02-01,27.822
1959-03-01,27.816
1959-04-01,27.836
1959-05-01,27.825
1959-06-01,27.886
1959-07-01,27.911
1959-08-01,27.916
1959-09-01,27.982
1959-10-01,28.027
1959-11-01,27.998
1959-12-01,28.005
1960-01-01,27.956
1960-02-01,27.969
1960-03-01,27.986
1960-04-01,28.125
1960-05-01,28.115
1960-06-01,28.091
1960-07-01,28.125
1960-08-01,28.172
1960-09-01,28.152
1960-10-01,28.181
1960-11-01,28.303
1960-12-01,28.284
1961-01-01,28.295
1961-02-01,28.309
1961-03-01,28.268
1961-04-01,28.184
1961-05-01,28.182
1961-06-01,28.156
1961-07-01,28.23
1961-08-01,28.253
1961-09-01,28.255
1961-10-01,28.224
1961-11-01,28.192
1961-12-01,28.178
1962-01-01,28.206
1962-02-01,28.308
1962-03-01,28.331
1962-04-01,28.369
1962-05-01,28.342
1962-06-01,28.329
1962-07-01,28.27
1962-08-01,28.328
1962-09-01,28.576
1962-10-01,28.488
1962-11-01,28.486
1962-12-01,28.436
1963-01-01,28.499
1963-02-01,28.533
1963-03-01,28.476
1963-04-01,28.451
1963-05-01,28.483
1963-06-01,28.583
1963-07-01,28.662
1963-08-01,28.71
1963-09-01,28.665
1963-10-01,28.704
1963-11-01,28.74
1963-12-01,28.796
1964-01-01,28.873
1964-02-01,28.895
1964-03-01,28.879
1964-04-01,28.888
1964-05-01,28.846
1964-06-01,28.887
1964-07-01,28.926
1964-08-01,28.9
1964-09-01,28.957
1964-10-01,28.951
1964-11-01,28.999
1964-12-01,29.039
1965-01-01,29.058
1965-02-01,29.04
1965-03-01,29.086
1965-04-01,29.134
1965-05-01,29.209
1965-06-01,29.347
1965-07-01,29.343
1965-08-01,29.299
1965-09-01,29.264
1965-10-01,29.234
1965-11-01,29.263
1965-12-01,29.411
1966-01-01,29.421
1966-02-01,29.597
1966-03-01,29.691
1966-04-01,29.785
1966-05-01,29.766
1966-06-01,29.802
1966-07-01,29.841
1966-08-01,29.998
1966-09-01,30.076
1966-10-01,30.117
1966-11-01,30.131
1966-12-01,30.186
1967-01-01,30.127
1967-02-01,30.124
1967-03-01,30.112
1967-04-01,30.126
1967-05-01,30.179
1967-06-01,30.272
1967-07-01,30.411
1967-08-01,30.527
1967-09-01,30.604
1967-10-01,30.677
1967-11-01,30.785
1967-12-01,30.783
1968-01-01,30.939
1968-02-01,31.045
1968-03-01,31.114
1968-04-01,31.201
1968-05-01,31.311
1968-06-01,31.377
1968-07-01,31.466
1968-08-01,31.596
1968-09-01,31.693
1968-10-01,31.834
1968-11-01,31.935
1968-12-01,31.937
1969-01-01,32.042
1969-02-01,32.095
1969-03-01,32.237
1969-04-01,32.382
1969-05-01,32.475
1969-06-01,32.673
1969-07-01,32.793
1969-08-01,32.859
1969-09-01,32.974
1969-10-01,33.036
1969-11-01,33.184
1969-12-01,33.324
1970-01-01,33.419
1970-02-01,33.537
1970-03-01,33.547
1970-04-01,33.719
1970-05-01,33.786
1970-06-01,33.82
1970-07-01,33.929
1970-08-01,33.977
1970-09-01,34.125
