"Date","DNRGRG3M086SBEA"
1959-01-01,10.466
1959-02-01,10.613
1959-03-01,10.622
1959-04-01,10.678
1959-05-01,10.653
1959-06-01,10.636
1959-07-01,10.625
1959-08-01,10.758
1959-09-01,10.723
1959-10-01,10.879
1959-11-01,10.898
1959-12-01,10.919
1960-01-01,10.871
1960-02-01,10.863
1960-03-01,10.803
1960-04-01,10.866
1960-05-01,10.85
1960-06-01,10.897
1960-07-01,10.982
1960-08-01,11.068
1960-09-01,11.057
1960-10-01,11.004
1960-11-01,11.111
1960-12-01,11.059
1961-01-01,11.089
1961-02-01,11.097
1961-03-01,11.01
1961-04-01,10.837
1961-05-01,10.903
1961-06-01,10.918
1961-07-01,10.993
1961-08-01,11.045
1961-09-01,11.057
1961-10-01,11
1961-11-01,11.043
1961-12-01,10.935
1962-01-01,10.965
1962-02-01,11.044
1962-03-01,10.904
1962-04-01,11.047
1962-05-01,11.035
1962-06-01,10.947
1962-07-01,10.852
1962-08-01,10.97
1962-09-01,11.176
1962-10-01,11.109
1962-11-01,11.116
1962-12-01,11.191
1963-01-01,11.112
1963-02-01,11.1
1963-03-01,11.025
1963-04-01,11.001
1963-05-01,11.044
1963-06-01,10.926
1963-07-01,11.028
1963-08-01,11.128
1963-09-01,10.979
1963-10-01,11.053
1963-11-01,11.021
1963-12-01,11.037
1964-01-01,11
1964-02-01,10.994
1964-03-01,10.973
1964-04-01,10.967
1964-05-01,10.933
1964-06-01,10.943
1964-07-01,10.942
1964-08-01,10.924
1964-09-01,10.956
1964-10-01,10.99
1964-11-01,11.011
1964-12-01,11.055
1965-01-01,11.12
1965-02-01,11.114
1965-03-01,11.157
1965-04-01,11.17
1965-05-01,11.169
1965-06-01,11.204
1965-07-01,11.191
1965-08-01,11.19
1965-09-01,11.213
1965-10-01,11.285
1965-11-01,11.273
1965-12-01,11.314
1966-01-01,11.307
1966-02-01,11.285
1966-03-01,11.296
1966-04-01,11.296
1966-05-01,11.33
1966-06-01,11.328
1966-07-01,11.372
1966-08-01,11.385
1966-09-01,11.451
1966-10-01,11.472
1966-11-01,11.495
1966-12-01,11.515
1967-01-01,11.556
1967-02-01,11.566
1967-03-01,11.543
1967-04-01,11.608
1967-05-01,11.599
1967-06-01,11.615
1967-07-01,11.625
1967-08-01,11.642
1967-09-01,11.727
1967-10-01,11.662
1967-11-01,11.76
1967-12-01,11.683
1968-01-01,11.748
1968-02-01,11.77
1968-03-01,11.757
1968-04-01,11.715
1968-05-01,11.757
1968-06-01,11.796
1968-07-01,11.798
1968-08-01,11.881
1968-09-01,11.837
1968-10-01,11.86
1968-11-01,11.897
1968-12-01,11.839
1969-01-01,11.915
1969-02-01,11.938
1969-03-01,12.047
1969-04-01,12.132
1969-05-01,12.127
1969-06-01,12.182
1969-07-01,12.153
1969-08-01,12.171
1969-09-01,12.174
1969-10-01,12.199
1969-11-01,12.17
1969-12-01,12.226
1970-01-01,12.21
1970-02-01,12.257
1970-03-01,12.142
1970-04-01,12.421
1970-05-01,12.384
1970-06-01,12.348
1970-07-01,12.42
1970-08-01,12.331
1970-09-01,12.426
1970-10-01,12.571
1970-11-01,12.651
1970-12-01,12.737
1971-01-01,12.793
1971-02-01,12.724
1971-03-01,12.71
1971-04-01,12.641
1971-05-01,12.664
1971-06-01,12.727
1971-07-01,12.693
1971-08-01,12.999
1971-09-01,13.047
1971-10-01,13.063
1971-11-01,13.035
1971-12-01,13.076
1972-01-01,13.016
1972-02-01,13.007
1972-03-01,13.031
1972-04-01,12.984
1972-05-01,13.048
1972-06-01,12.995
1972-07-01,13.089
1972-08-01,13.221
1972-09-01,13.385
1972-10-01,13.424
1972-11-01,13.479
1972-12-01,13.487
1973-01-01,13.569
1973-02-01,13.708
1973-03-01,13.759
1973-04-01,13.918
1973-05-01,13.998
1973-06-01,14.214
1973-07-01,14.233
1973-08-01,14.278
1973-09-01,14.277
1973-10-01,14.718
1973-11-01,15.27
1973-12-01,15.863
1974-01-01,16.706
1974-02-01,17.413
1974-03-01,18.22
1974-04-01,18.521
1974-05-01,18.878
1974-06-01,18.987
1974-07-01,19.132
1974-08-01,19.203
1974-09-01,19.265
1974-10-01,19.18
1974-11-01,19.196
1974-12-01,19.304
1975-01-01,19.562
1975-02-01,19.634
1975-03-01,19.691
1975-04-01,19.802
1975-05-01,19.957
1975-06-01,20.275
1975-07-01,20.717
1975-08-01,20.91
1975-09-01,21.161
1975-10-01,21.346
1975-11-01,21.481
1975-12-01,21.551
1976-01-01,21.536
1976-02-01,21.515
1976-03-01,21.455
1976-04-01,21.354
1976-05-01,21.508
1976-06-01,21.738
1976-07-01,21.802
1976-08-01,21.89
1976-09-01,22.056
1976-10-01,22.311
1976-11-01,22.576
1976-12-01,22.852
1977-01-01,23.048
1977-02-01,23.25
1977-03-01,23.496
1977-04-01,23.549
1977-05-01,23.637
1977-06-01,23.621
1977-07-01,23.673
1977-08-01,23.796
1977-09-01,23.902
1977-10-01,24.097
1977-11-01,24.318
