"Date","WPSFD4121"
1974-01-01,20
1974-02-01,22
1974-03-01,24
1974-04-01,25.3
1974-05-01,25.9
1974-06-01,26.9
1974-07-01,27.6
1974-08-01,27.9
1974-09-01,28.3
1974-10-01,28.8
1974-11-01,28.3
1974-12-01,28.6
1975-01-01,29.3
1975-02-01,29.3
1975-03-01,29.3
1975-04-01,29.6
1975-05-01,30.1
1975-06-01,30.5
1975-07-01,31.1
1975-08-01,32.3
1975-09-01,33
1975-10-01,33.5
1975-11-01,34
1975-12-01,34
1976-01-01,33.1
1976-02-01,33
1976-03-01,32.8
1976-04-01,32.8
1976-05-01,32.7
1976-06-01,33.3
1976-07-01,33.9
1976-08-01,34.5
1976-09-01,34.8
1976-10-01,36.2
1976-11-01,37.5
1976-12-01,37
1977-01-01,36.7
1977-02-01,38.1
1977-03-01,39
1977-04-01,39.5
1977-05-01,40.1
1977-06-01,40.1
1977-07-01,40.2
1977-08-01,40.2
1977-09-01,40.3
1977-10-01,40.4
1977-11-01,41
1977-12-01,41.4
1978-01-01,41.4
1978-02-01,41.2
1978-03-01,41.1
1978-04-01,41.2
1978-05-01,41.3
1978-06-01,41.7
1978-07-01,42
1978-08-01,42.3
1978-09-01,42.8
1978-10-01,43.3
1978-11-01,44
1978-12-01,45
1979-01-01,45.9
1979-02-01,46.5
1979-03-01,47.4
1979-04-01,49.2
1979-05-01,51.8
1979-06-01,54.3
1979-07-01,57.4
1979-08-01,60.6
1979-09-01,64.4
1979-10-01,67.3
1979-11-01,69.3
1979-12-01,71.1
1980-01-01,73.8
1980-02-01,78.6
1980-03-01,82.1
1980-04-01,86.2
1980-05-01,86.6
1980-06-01,86.5
1980-07-01,86.8
1980-08-01,87
1980-09-01,87.4
1980-10-01,87.7
1980-11-01,89.1
1980-12-01,90.6
1981-01-01,93
1981-02-01,96.8
1981-03-01,101.5
1981-04-01,105.6
1981-05-01,104.2
1981-06-01,104
1981-07-01,102.7
1981-08-01,101.1
1981-09-01,101.9
1981-10-01,101.6
1981-11-01,102.2
1981-12-01,103.2
1982-01-01,103.2
1982-02-01,102.1
1982-03-01,98.5
1982-04-01,96.2
1982-05-01,92.8
1982-06-01,95.9
1982-07-01,100.6
1982-08-01,101.4
1982-09-01,101.5
1982-10-01,101.2
1982-11-01,103.1
1982-12-01,102.8
1983-01-01,99
1983-02-01,96.6
1983-03-01,93.9
1983-04-01,93.5
1983-05-01,94.7
1983-06-01,96.5
1983-07-01,96
1983-08-01,96
1983-09-01,95.8
1983-10-01,94.6
1983-11-01,93.2
1983-12-01,92.7
1984-01-01,92
1984-02-01,92.9
1984-03-01,92.1
1984-04-01,94
1984-05-01,94.1
1984-06-01,93.3
1984-07-01,91.3
1984-08-01,89.3
1984-09-01,88.2
1984-10-01,89.1
1984-11-01,89.5
1984-12-01,88.7
1985-01-01,86.9
1985-02-01,84.8
1985-03-01,84.2
1985-04-01,89.4
1985-05-01,91.9
1985-06-01,88.5
1985-07-01,87
1985-08-01,86.4
1985-09-01,86.3
1985-10-01,87.1
1985-11-01,87.9
1985-12-01,90
1986-01-01,86.3
1986-02-01,77.9
1986-03-01,68.2
1986-04-01,62.7
1986-05-01,63.9
1986-06-01,64.5
1986-07-01,55.5
1986-08-01,55
1986-09-01,57.2
1986-10-01,55.2
1986-11-01,55
1986-12-01,55.6
1987-01-01,59.2
1987-02-01,60.7
1987-03-01,61.4
1987-04-01,61.7
1987-05-01,60.7
1987-06-01,61.9
1987-07-01,62.7
1987-08-01,64
1987-09-01,63.1
1987-10-01,62.8
1987-11-01,61.8
1987-12-01,61.6
1988-01-01,60.1
1988-02-01,59.8
1988-03-01,59.7
1988-04-01,61.4
1988-05-01,60.8
1988-06-01,59.8
1988-07-01,60.7
1988-08-01,60.1
1988-09-01,58.2
1988-10-01,58.6
1988-11-01,59.4
1988-12-01,59.2
1989-01-01,61.8
1989-02-01,63.4
1989-03-01,64.2
1989-04-01,69.2
1989-05-01,71
1989-06-01,69.5
1989-07-01,67.7
1989-08-01,62.4
1989-09-01,64.8
1989-10-01,64.9
1989-11-01,63.6
1989-12-01,65.1
1990-01-01,73.8
1990-02-01,71
1990-03-01,69.2
1990-04-01,69.4
1990-05-01,67.6
1990-06-01,67.4
1990-07-01,67
1990-08-01,73.1
1990-09-01,80.3
1990-10-01,86.3
1990-11-01,87.4
1990-12-01,84.5
1991-01-01,84.8
1991-02-01,80.6
1991-03-01,77.8
1991-04-01,77.2
1991-05-01,77.6
