"Date","PCU22121022121011"
1990-12-01,100
1991-01-01,101.2
1991-02-01,99.4
1991-03-01,97.6
1991-04-01,97.1
1991-05-01,95.9
1991-06-01,95
1991-07-01,94.7
1991-08-01,94.5
1991-09-01,94.9
1991-10-01,96
1991-11-01,98.6
1991-12-01,99.7
1992-01-01,100.1
1992-02-01,98
1992-03-01,96.8
1992-04-01,95.9
1992-05-01,95.4
1992-06-01,95.9
1992-07-01,96
1992-08-01,96.8
1992-09-01,98.2
1992-10-01,101.1
1992-11-01,103.6
1992-12-01,104.2
1993-01-01,103.9
1993-02-01,102.7
1993-03-01,102.2
1993-04-01,101.8
1993-05-01,103.8
1993-06-01,103.3
1993-07-01,103.1
1993-08-01,103.9
1993-09-01,104.9
1993-10-01,104.8
1993-11-01,106.3
1993-12-01,107.5
1994-01-01,107.5
1994-02-01,107.5
1994-03-01,108
1994-04-01,106.6
1994-05-01,105.4
1994-06-01,102.8
1994-07-01,102
1994-08-01,102
1994-09-01,101.7
1994-10-01,100.9
1994-11-01,103
1994-12-01,103.6
1995-01-01,103.9
1995-02-01,102.4
1995-03-01,101
1995-04-01,99.8
1995-05-01,97.3
1995-06-01,97.4
1995-07-01,96.8
1995-08-01,96
1995-09-01,95.9
1995-10-01,95.6
1995-11-01,97.5
1995-12-01,100.4
1996-01-01,102.4
1996-02-01,103.5
1996-03-01,104.8
1996-04-01,104.2
1996-05-01,103.8
1996-06-01,104
1996-07-01,104.4
1996-08-01,105.4
1996-09-01,103.4
1996-10-01,102.8
1996-11-01,108.3
1996-12-01,114.2
1997-01-01,121.9
1997-02-01,119.9
1997-03-01,111.7
1997-04-01,105.7
1997-05-01,105.3
1997-06-01,106.5
1997-07-01,107.3
1997-08-01,106.9
1997-09-01,108.3
1997-10-01,112.7
1997-11-01,119.3
1997-12-01,117
1998-01-01,113.1
1998-02-01,109.7
1998-03-01,109.3
1998-04-01,107.8
1998-05-01,107.8
1998-06-01,105.3
1998-07-01,105.9
1998-08-01,106.1
