"Date","DDURRA3M086SBEA"
1959-01-01,4.703
1959-02-01,4.913
1959-03-01,4.933
1959-04-01,4.997
1959-05-01,5.021
1959-06-01,5.079
1959-07-01,5.014
1959-08-01,5.124
1959-09-01,5.251
1959-10-01,4.964
1959-11-01,4.951
1959-12-01,4.738
1960-01-01,4.795
1960-02-01,5.066
1960-03-01,5.263
1960-04-01,5.449
1960-05-01,5.074
1960-06-01,4.946
1960-07-01,4.989
1960-08-01,5.089
1960-09-01,5.266
1960-10-01,5.219
1960-11-01,5.005
1960-12-01,4.736
1961-01-01,4.644
1961-02-01,4.677
1961-03-01,4.817
1961-04-01,4.755
1961-05-01,4.824
1961-06-01,4.852
1961-07-01,4.89
1961-08-01,4.932
1961-09-01,4.962
1961-10-01,5.036
1961-11-01,5.179
1961-12-01,5.286
1962-01-01,5.268
1962-02-01,5.244
1962-03-01,5.324
1962-04-01,5.358
1962-05-01,5.483
1962-06-01,5.419
1962-07-01,5.417
1962-08-01,5.399
1962-09-01,5.563
1962-10-01,5.422
1962-11-01,5.758
1962-12-01,5.919
1963-01-01,5.877
1963-02-01,5.792
1963-03-01,5.772
1963-04-01,5.872
1963-05-01,5.895
1963-06-01,6.049
1963-07-01,6.106
1963-08-01,5.956
1963-09-01,5.975
1963-10-01,5.929
1963-11-01,6.097
1963-12-01,6.295
1964-01-01,6.344
1964-02-01,6.386
1964-03-01,6.304
1964-04-01,6.361
1964-05-01,6.533
1964-06-01,6.638
1964-07-01,6.746
1964-08-01,6.811
1964-09-01,6.619
1964-10-01,6.733
1964-11-01,6.466
1964-12-01,6.357
1965-01-01,6.694
1965-02-01,7.176
1965-03-01,7.506
1965-04-01,7.4
1965-05-01,7.153
1965-06-01,6.858
1965-07-01,7.031
1965-08-01,7.301
1965-09-01,7.811
1965-10-01,7.749
1965-11-01,7.703
1965-12-01,7.623
1966-01-01,7.842
1966-02-01,8.045
1966-03-01,8.286
1966-04-01,8.044
1966-05-01,7.624
1966-06-01,7.54
1966-07-01,7.691
1966-08-01,7.983
1966-09-01,8.295
1966-10-01,8.088
1966-11-01,7.957
1966-12-01,7.915
1967-01-01,7.978
1967-02-01,7.703
1967-03-01,7.826
1967-04-01,8.17
1967-05-01,8.112
1967-06-01,8.235
1967-07-01,8.108
1967-08-01,7.992
1967-09-01,8.222
1967-10-01,7.974
1967-11-01,8.058
1967-12-01,8.351
1968-01-01,8.531
1968-02-01,8.486
1968-03-01,8.881
1968-04-01,8.659
1968-05-01,8.915
1968-06-01,8.877
1968-07-01,9.181
1968-08-01,9.226
1968-09-01,9.234
1968-10-01,9.208
1968-11-01,9.103
1968-12-01,9.166
1969-01-01,9.383
1969-02-01,9.413
1969-03-01,9.199
1969-04-01,9.312
1969-05-01,9.315
1969-06-01,9.292
1969-07-01,9.088
1969-08-01,9.279
1969-09-01,9.473
1969-10-01,9.315
1969-11-01,9.22
1969-12-01,9.198
1970-01-01,9.085
1970-02-01,9.242
1970-03-01,8.98
1970-04-01,9.117
1970-05-01,9.221
1970-06-01,9.284
1970-07-01,9.204
1970-08-01,9.275
1970-09-01,9.245
1970-10-01,8.923
1970-11-01,8.407
1970-12-01,8.553
1971-01-01,9.517
1971-02-01,9.461
1971-03-01,9.681
1971-04-01,9.725
1971-05-01,9.641
1971-06-01,9.945
1971-07-01,9.733
1971-08-01,9.918
1971-09-01,10.441
1971-10-01,10.469
1971-11-01,10.467
1971-12-01,10.441
1972-01-01,10.689
1972-02-01,10.563
1972-03-01,10.842
1972-04-01,10.863
1972-05-01,11.008
1972-06-01,11.031
1972-07-01,11.183
1972-08-01,11.314
1972-09-01,11.25
1972-10-01,11.726
1972-11-01,11.849
1972-12-01,11.959
1973-01-01,12.388
1973-02-01,12.597
1973-03-01,12.812
1973-04-01,12.588
1973-05-01,12.634
1973-06-01,12.129
1973-07-01,12.288
1973-08-01,12.132
1973-09-01,12.599
1973-10-01,12.183
1973-11-01,12.127
1973-12-01,11.844
1974-01-01,11.835
1974-02-01,11.606
1974-03-01,11.866
1974-04-01,11.833
1974-05-01,11.976
1974-06-01,11.687
1974-07-01,11.765
1974-08-01,12.313
1974-09-01,11.624
1974-10-01,11.162
1974-11-01,10.618
1974-12-01,10.524
1975-01-01,10.895
1975-02-01,11.256
1975-03-01,10.843
1975-04-01,10.837
1975-05-01,11.337
1975-06-01,11.461
1975-07-01,11.82
1975-08-01,11.804
1975-09-01,12.112
1975-10-01,11.897
1975-11-01,12.265
1975-12-01,12.613
1976-01-01,12.734
1976-02-01,12.93
1976-03-01,12.95
1976-04-01,13.114
1976-05-01,12.627
1976-06-01,13.046
1976-07-01,13.115
1976-08-01,13.015
1976-09-01,13.099
1976-10-01,12.969
1976-11-01,13.123
1976-12-01,13.758
1977-01-01,13.329
1977-02-01,13.803
1977-03-01,14.221
1977-04-01,14.127
1977-05-01,14.06
1977-06-01,14.145
1977-07-01,14.189
1977-08-01,14.326
1977-09-01,14.441
1977-10-01,14.438
1977-11-01,14.647
1977-12-01,14.774
1978-01-01,13.783
1978-02-01,14.272
1978-03-01,14.641
1978-04-01,15.191
1978-05-01,15.349
1978-06-01,15.338
1978-07-01,15.067
1978-08-01,15.438
1978-09-01,14.755
1978-10-01,15.155
1978-11-01,15.203
1978-12-01,15.259
1979-01-01,14.956
1979-02-01,15.059
1979-03-01,15.063
1979-04-01,14.769
1979-05-01,14.834
1979-06-01,14.457
