"Date","PCETRIM1M158SFRBDAL"
1977-02-01,7.01
1977-03-01,6.45
1977-04-01,4.75
1977-05-01,5.76
1977-06-01,6.23
1977-07-01,5.69
1977-08-01,6.19
1977-09-01,4.92
1977-10-01,4.65
1977-11-01,6.58
1977-12-01,5.53
1978-01-01,4.71
1978-02-01,5.44
1978-03-01,6.12
1978-04-01,6.73
1978-05-01,7.98
1978-06-01,6.44
1978-07-01,6.61
1978-08-01,6.72
1978-09-01,7.09
1978-10-01,8.6
1978-11-01,7.85
1978-12-01,6.26
1979-01-01,8.49
1979-02-01,7.67
1979-03-01,6.56
1979-04-01,6.77
1979-05-01,9.12
1979-06-01,6.98
1979-07-01,7.88
1979-08-01,8.96
1979-09-01,8.47
1979-10-01,9.74
1979-11-01,7.77
1979-12-01,8.11
1980-01-01,9.82
1980-02-01,10.11
1980-03-01,9.47
1980-04-01,6.28
1980-05-01,9.13
1980-06-01,8.9
1980-07-01,6.52
1980-08-01,8.53
1980-09-01,9.66
1980-10-01,8.6
1980-11-01,8.62
1980-12-01,8.14
1981-01-01,9.19
1981-02-01,10.16
1981-03-01,7.25
1981-04-01,7.4
1981-05-01,6.95
1981-06-01,5.92
1981-07-01,6.82
1981-08-01,7.48
1981-09-01,7.35
1981-10-01,6.2
1981-11-01,6.08
1981-12-01,5.01
1982-01-01,5.38
1982-02-01,4.7
1982-03-01,5.1
1982-04-01,3.33
1982-05-01,5.92
1982-06-01,5.52
1982-07-01,7.12
1982-08-01,4.22
1982-09-01,3.09
1982-10-01,5.34
1982-11-01,2.72
1982-12-01,2.97
1983-01-01,5.7
1983-02-01,3.89
1983-03-01,2.29
1983-04-01,4.96
1983-05-01,3.15
1983-06-01,3.39
1983-07-01,3.8
1983-08-01,3.15
1983-09-01,4.2
1983-10-01,2.57
1983-11-01,4.09
1983-12-01,2.45
1984-01-01,5.14
1984-02-01,4.55
1984-03-01,4.06
1984-04-01,4.84
1984-05-01,2.19
1984-06-01,3.47
1984-07-01,4.9
