"Date","PCETRIM1M158SFRBDAL"
1984-08-01,4.13
1984-09-01,4.02
1984-10-01,3.46
1984-11-01,2.07
1984-12-01,3.76
1985-01-01,3.35
1985-02-01,5.68
1985-03-01,4.03
1985-04-01,2.39
1985-05-01,3.15
1985-06-01,4.2
1985-07-01,2.44
1985-08-01,3.98
1985-09-01,3.55
1985-10-01,2.97
1985-11-01,3.92
1985-12-01,3.86
1986-01-01,4.51
1986-02-01,2.7
1986-03-01,1.73
1986-04-01,3.02
1986-05-01,2.33
1986-06-01,3.97
1986-07-01,2.79
1986-08-01,2.94
1986-09-01,3.75
1986-10-01,3.77
1986-11-01,3.02
1986-12-01,3.07
1987-01-01,4.9
1987-02-01,3.37
1987-03-01,3.99
1987-04-01,5.01
1987-05-01,3.34
1987-06-01,3.25
1987-07-01,2.72
1987-08-01,4.7
1987-09-01,3.43
1987-10-01,3.97
1987-11-01,2.95
1987-12-01,1.91
1988-01-01,4.81
1988-02-01,2.84
1988-03-01,3.8
1988-04-01,4.41
1988-05-01,3.1
1988-06-01,4.51
1988-07-01,4.9
1988-08-01,3.98
1988-09-01,5.33
1988-10-01,3.39
1988-11-01,3.47
1988-12-01,3.63
1989-01-01,5.3
1989-02-01,3.98
1989-03-01,3.92
1989-04-01,4.38
1989-05-01,4.1
1989-06-01,3.14
1989-07-01,3.85
1989-08-01,2.96
1989-09-01,3.44
1989-10-01,5.1
1989-11-01,3.28
1989-12-01,3.86
1990-01-01,4.21
1990-02-01,3.58
1990-03-01,5.47
1990-04-01,3.85
1990-05-01,2.91
1990-06-01,4.81
1990-07-01,4.05
1990-08-01,5.13
1990-09-01,3.34
1990-10-01,3.7
1990-11-01,1.74
1990-12-01,3.37
1991-01-01,3.96
1991-02-01,2.46
1991-03-01,1.96
1991-04-01,2.83
1991-05-01,4.17
1991-06-01,2.13
1991-07-01,2.49
1991-08-01,2.8
1991-09-01,3.17
1991-10-01,2.89
1991-11-01,3.46
1991-12-01,3.72
1992-01-01,2.54
1992-02-01,2.65
1992-03-01,3
1992-04-01,2.27
1992-05-01,2.49
1992-06-01,2.15
1992-07-01,2.67
1992-08-01,2.02
1992-09-01,1.49
1992-10-01,3.25
1992-11-01,3.07
1992-12-01,2.46
1993-01-01,2.51
1993-02-01,2.81
1993-03-01,2.26
1993-04-01,3.07
1993-05-01,3.13
1993-06-01,1.72
1993-07-01,2.28
1993-08-01,1.85
1993-09-01,2.04
1993-10-01,2.67
1993-11-01,2.35
1993-12-01,2.13
1994-01-01,2.04
1994-02-01,2.7
1994-03-01,2.94
1994-04-01,1.82
1994-05-01,2.69
1994-06-01,2.53
1994-07-01,2.4
1994-08-01,1.81
1994-09-01,1.74
1994-10-01,2.02
1994-11-01,2.6
1994-12-01,1.72
1995-01-01,3.3
1995-02-01,1.94
1995-03-01,2.45
1995-04-01,2.5
1995-05-01,2.23
1995-06-01,1.59
1995-07-01,2.07
1995-08-01,2.4
1995-09-01,1.9
1995-10-01,3.09
1995-11-01,2.1
1995-12-01,2.19
1996-01-01,2.59
1996-02-01,1.92
1996-03-01,2.54
1996-04-01,2.09
1996-05-01,2.51
1996-06-01,2.05
1996-07-01,2.48
1996-08-01,2.22
1996-09-01,2.6
1996-10-01,2.81
1996-11-01,2.74
1996-12-01,2.06
1997-01-01,2.2
1997-02-01,2.02
1997-03-01,1.91
1997-04-01,2.12
1997-05-01,1.5
1997-06-01,1.98
1997-07-01,1.43
1997-08-01,1.4
1997-09-01,2.44
1997-10-01,1.03
1997-11-01,1.56
1997-12-01,1.13
1998-01-01,1.39
1998-02-01,1.41
1998-03-01,2.4
1998-04-01,1.91
1998-05-01,2.42
1998-06-01,1.19
1998-07-01,1.99
1998-08-01,2.13
1998-09-01,1.81
1998-10-01,1.88
1998-11-01,1.74
1998-12-01,1.49
1999-01-01,1.77
1999-02-01,0.83
1999-03-01,1.52
1999-04-01,2.53
1999-05-01,1.85
1999-06-01,1.53
1999-07-01,2.43
1999-08-01,1.63
1999-09-01,2.37
1999-10-01,2
1999-11-01,2.18
1999-12-01,1.9
2000-01-01,3.2
2000-02-01,2.36
2000-03-01,2.86
2000-04-01,1.82
2000-05-01,2.35
2000-06-01,2.17
2000-07-01,2.76
2000-08-01,1.93
2000-09-01,3.13
2000-10-01,2.41
2000-11-01,2.58
2000-12-01,2.42
2001-01-01,3.48
2001-02-01,2.55
2001-03-01,2.38
2001-04-01,2.91
2001-05-01,2.37
2001-06-01,3.2
2001-07-01,2.25
2001-08-01,2.17
2001-09-01,1.72
2001-10-01,2.01
2001-11-01,2.16
2001-12-01,1.25
2002-01-01,1.89
2002-02-01,2.44
2002-03-01,2.28
2002-04-01,2.32
2002-05-01,1.65
2002-06-01,1.99
2002-07-01,2.44
2002-08-01,1.91
2002-09-01,2.51
2002-10-01,2.17
2002-11-01,1.91
2002-12-01,1.67
2003-01-01,1.65
2003-02-01,1.6
2003-03-01,2.07
2003-04-01,0.56
2003-05-01,1.42
2003-06-01,1
2003-07-01,2.78
2003-08-01,2.24
2003-09-01,1.94
2003-10-01,1.99
2003-11-01,1.98
2003-12-01,1.65
2004-01-01,2.51
2004-02-01,2.46
2004-03-01,2.09
2004-04-01,3.34
2004-05-01,2.52
2004-06-01,2.42
2004-07-01,1.97
2004-08-01,1.52
2004-09-01,1.86
2004-10-01,2.24
2004-11-01,2.42
2004-12-01,1.94
2005-01-01,3.61
2005-02-01,2.68
2005-03-01,2.22
2005-04-01,2.06
2005-05-01,2.07
2005-06-01,1.61
2005-07-01,2.81
2005-08-01,1.92
2005-09-01,3.18
2005-10-01,2.88
2005-11-01,2.6
2005-12-01,1.63
2006-01-01,3
2006-02-01,2.08
2006-03-01,2.76
2006-04-01,3.18
2006-05-01,3.68
2006-06-01,3.68
2006-07-01,2.95
2006-08-01,2.75
2006-09-01,2.13
2006-10-01,2.05
2006-11-01,0.94
2006-12-01,2.91
2007-01-01,3.48
2007-02-01,3.37
2007-03-01,2.11
2007-04-01,1.96
2007-05-01,1.86
2007-06-01,2.49
2007-07-01,2.15
2007-08-01,2.17
2007-09-01,3.11
2007-10-01,3.08
2007-11-01,3.27
2007-12-01,2.56
2008-01-01,2.66
2008-02-01,1.89
2008-03-01,2.58
2008-04-01,2.27
2008-05-01,2.4
2008-06-01,3.05
2008-07-01,3.25
2008-08-01,1.54
2008-09-01,2.28
2008-10-01,1.51
2008-11-01,2.17
2008-12-01,0.93
2009-01-01,2.83
2009-02-01,1.83
2009-03-01,1.59
2009-04-01,1.6
2009-05-01,1.37
2009-06-01,1.42
2009-07-01,0.34
2009-08-01,1.4
2009-09-01,0.77
2009-10-01,1.83
2009-11-01,0.73
2009-12-01,0.66
2010-01-01,0.89
2010-02-01,0.44
2010-03-01,0.58
2010-04-01,0.74
2010-05-01,0.72
2010-06-01,0.65
2010-07-01,0.82
2010-08-01,1.33
2010-09-01,1.19
2010-10-01,0.82
2010-11-01,1.38
2010-12-01,1.18
2011-01-01,2.17
2011-02-01,2.36
2011-03-01,2.15
2011-04-01,2.28
2011-05-01,2.44
2011-06-01,1.33
2011-07-01,1.78
2011-08-01,2.43
2011-09-01,1.75
2011-10-01,1.87
2011-11-01,2.15
2011-12-01,1.96
2012-01-01,2.59
2012-02-01,1.53
2012-03-01,2.13
2012-04-01,1.91
2012-05-01,1.59
2012-06-01,1.12
2012-07-01,1.15
2012-08-01,1.74
2012-09-01,1.81
2012-10-01,1.67
2012-11-01,1.19
2012-12-01,1.04
2013-01-01,1.98
2013-02-01,2.04
2013-03-01,1.47
2013-04-01,0.3
2013-05-01,1.32
2013-06-01,2.32
2013-07-01,1.75
2013-08-01,1.57
2013-09-01,1.64
2013-10-01,1.69
2013-11-01,2.02
2013-12-01,1.72
2014-01-01,1.76
2014-02-01,1.35
2014-03-01,1.66
2014-04-01,1.9
2014-05-01,1.91
2014-06-01,1.68
2014-07-01,1.89
2014-08-01,1.03
2014-09-01,1.79
2014-10-01,1.45
2014-11-01,1.57
2014-12-01,1.22
2015-01-01,0.41
2015-02-01,2.14
2015-03-01,1.64
2015-04-01,2.15
2015-05-01,1.63
2015-06-01,1.9
2015-07-01,1.66
2015-08-01,1.27
2015-09-01,1.68
2015-10-01,1.03
2015-11-01,1.23
2015-12-01,1.03
2016-01-01,1.84
2016-02-01,2.02
2016-03-01,1.96
2016-04-01,2.44
2016-05-01,2.13
2016-06-01,1.65
2016-07-01,1.77
2016-08-01,1.75
2016-09-01,2.02
2016-10-01,2.04
2016-11-01,1.54
2016-12-01,1.76
2017-01-01,2.3
2017-02-01,1.54
2017-03-01,1.14
2017-04-01,1.71
2017-05-01,1
2017-06-01,1.64
2017-07-01,1.21
2017-08-01,1.85
2017-09-01,1.86
2017-10-01,2.04
2017-11-01,1.8
2017-12-01,1.89
2018-01-01,3.04
2018-02-01,1.84
2018-03-01,1.68
2018-04-01,1.29
2018-05-01,2.19
2018-06-01,2.1
2018-07-01,1.64
2018-08-01,1.78
2018-09-01,2.05
2018-10-01,2.28
2018-11-01,2.54
2018-12-01,1.79
2019-01-01,1.88
2019-02-01,2.28
2019-03-01,2.23
2019-04-01,2.69
2019-05-01,1.02
2019-06-01,1.8
2019-07-01,2.14
2019-08-01,1.79
2019-09-01,1.69
2019-10-01,2.34
2019-11-01,1.5
2019-12-01,1.83
2020-01-01,2.5
2020-02-01,2.2
2020-03-01,1.04
2020-04-01,1.07
2020-05-01,2
2020-06-01,1.49
2020-07-01,2.74
2020-08-01,2.03
2020-09-01,1.63
2020-10-01,1.44
2020-11-01,0.72
2020-12-01,1.68
2021-01-01,2.33
2021-02-01,2.34
2021-03-01,2.22
2021-04-01,2.67
2021-05-01,2.86
2021-06-01,2.27
2021-07-01,3.38
2021-08-01,3.18
2021-09-01,4.42
2021-10-01,4.96
2021-11-01,4.52
2021-12-01,4.82
2022-01-01,6.94
2022-02-01,4.73
2022-03-01,3.22
2022-04-01,3.19
2022-05-01,5.38
2022-06-01,6.92
2022-07-01,4.39
2022-08-01,6.03
2022-09-01,4.68
2022-10-01,5.07
2022-11-01,3.82
2022-12-01,4.05
2023-01-01,5.96
2023-02-01,4.38
2023-03-01,4
2023-04-01,3.99
2023-05-01,3.16
2023-06-01,2.49
2023-07-01,2.48
2023-08-01,2.64
2023-09-01,4.11
2023-10-01,2.72
