"Date","RNUSBIS"
1964-01-01,115.96
1964-02-01,115.58
1964-03-01,115.41
1964-04-01,114.78
1964-05-01,118
1964-06-01,118.73
1964-07-01,118.97
1964-08-01,118.04
1964-09-01,117.42
1964-10-01,116.58
1964-11-01,116.8
1964-12-01,116.39
1965-01-01,115.55
1965-02-01,115.51
1965-03-01,115.79
1965-04-01,115.21
1965-05-01,115.09
1965-06-01,115.53
1965-07-01,115.73
1965-08-01,115.28
1965-09-01,114.65
1965-10-01,114.61
1965-11-01,114.41
1965-12-01,114.24
1966-01-01,113.64
1966-02-01,113.92
1966-03-01,113.99
1966-04-01,113.93
1966-05-01,113.73
1966-06-01,113.7
1966-07-01,113.78
1966-08-01,114.4
1966-09-01,113.76
1966-10-01,114.13
1966-11-01,114.37
1966-12-01,113.86
1967-01-01,113.17
1967-02-01,112.83
1967-03-01,112.86
1967-04-01,112.69
1967-05-01,112.97
1967-06-01,113.07
1967-07-01,113.08
1967-08-01,112.77
1967-09-01,112.35
1967-10-01,112.48
1967-11-01,113.18
1967-12-01,114.03
1968-01-01,114.12
1968-02-01,114.32
1968-03-01,114.38
1968-04-01,114.13
1968-05-01,114.34
1968-06-01,114.82
1968-07-01,114.92
1968-08-01,114.6
1968-09-01,114.28
1968-10-01,114.57
1968-11-01,114.47
1968-12-01,114.96
1969-01-01,114.72
1969-02-01,115.17
1969-03-01,115.64
1969-04-01,115.49
1969-05-01,115.75
1969-06-01,116.16
1969-07-01,116.15
1969-08-01,116.39
1969-09-01,116.18
1969-10-01,115.25
1969-11-01,116.04
1969-12-01,116.03
1970-01-01,115.18
1970-02-01,115.42
1970-03-01,115.34
1970-04-01,115.49
1970-05-01,115.82
1970-06-01,115.65
1970-07-01,115.58
1970-08-01,114.84
1970-09-01,114.51
1970-10-01,114.5
1970-11-01,114.95
1970-12-01,115.12
1971-01-01,113.72
1971-02-01,113.48
1971-03-01,113.35
1971-04-01,112.93
1971-05-01,113.04
1971-06-01,113.77
1971-07-01,114.1
1971-08-01,112.96
1971-09-01,110.35
1971-10-01,109.28
1971-11-01,109.08
1971-12-01,107.6
1972-01-01,106
1972-02-01,104.77
1972-03-01,103.92
1972-04-01,103.75
1972-05-01,103.52
1972-06-01,103.23
1972-07-01,103.65
1972-08-01,102.87
1972-09-01,102.64
1972-10-01,103.28
1972-11-01,103.75
1972-12-01,103.58
1973-01-01,103.17
1973-02-01,98.95
1973-03-01,95.95
1973-04-01,95.97
1973-05-01,94.96
1973-06-01,93.49
1973-07-01,91.36
1973-08-01,93.21
1973-09-01,92.31
1973-10-01,91.7
1973-11-01,93.75
1973-12-01,94.04
1974-01-01,95.34
1974-02-01,92.47
1974-03-01,90.93
1974-04-01,89.09
1974-05-01,88.87
1974-06-01,89.88
1974-07-01,90.22
1974-08-01,91.68
1974-09-01,91.87
1974-10-01,91.17
1974-11-01,90.42
1974-12-01,90.71
1975-01-01,89.54
1975-02-01,88.55
1975-03-01,87.76
1975-04-01,88.12
1975-05-01,87.71
1975-06-01,87.79
1975-07-01,90.04
1975-08-01,91.17
1975-09-01,91.18
1975-10-01,90.89
1975-11-01,91.08
1975-12-01,91.68
1976-01-01,90.6
1976-02-01,89.79
1976-03-01,89.89
1976-04-01,89.57
1976-05-01,89.78
1976-06-01,90.16
1976-07-01,89.73
1976-08-01,89.76
1976-09-01,91.4
1976-10-01,91.59
1976-11-01,92.64
1976-12-01,91.38
1977-01-01,90.34
1977-02-01,90.88
1977-03-01,90.76
1977-04-01,90.12
1977-05-01,89.86
1977-06-01,89.71
1977-07-01,88.65
1977-08-01,88.73
1977-09-01,88.48
1977-10-01,87.29
1977-11-01,86.56
1977-12-01,85.22
1978-01-01,84.37
1978-02-01,84.08
1978-03-01,83.4
1978-04-01,82.92
1978-05-01,83.81
1978-06-01,82.95
1978-07-01,80.79
1978-08-01,79.27
1978-09-01,79.49
1978-10-01,78.12
1978-11-01,79.9
1978-12-01,80.31
1979-01-01,80.21
1979-02-01,81.05
1979-03-01,81.29
1979-04-01,82.13
1979-05-01,82.92
1979-06-01,83.26
1979-07-01,81.82
1979-08-01,82.57
1979-09-01,82.57
1979-10-01,83.54
1979-11-01,85.26
1979-12-01,84.18
1980-01-01,83.87
1980-02-01,84.68
1980-03-01,87.31
1980-04-01,87.72
1980-05-01,84.42
1980-06-01,82.93
1980-07-01,82.23
1980-08-01,83.09
1980-09-01,81.94
1980-10-01,82.16
1980-11-01,83.78
1980-12-01,84.68
1981-01-01,83.36
1981-02-01,85.73
1981-03-01,85.9
1981-04-01,87.01
1981-05-01,89.39
1981-06-01,91
1981-07-01,93.41
1981-08-01,95.03
1981-09-01,93.12
1981-10-01,92.04
1981-11-01,90.37
1981-12-01,90.14
1982-01-01,90.84
1982-02-01,94.15
1982-03-01,96.97
1982-04-01,97.39
1982-05-01,95.74
1982-06-01,100.2
1982-07-01,101.32
1982-08-01,104.19
1982-09-01,102.9
1982-10-01,103.88
1982-11-01,103.46
1982-12-01,101.61
1983-01-01,101.98
1983-02-01,102.45
1983-03-01,102.26
1983-04-01,102.47
1983-05-01,102.16
1983-06-01,103.58
1983-07-01,103.96
1983-08-01,105.27
1983-09-01,104.94
1983-10-01,102.95
1983-11-01,103.86
1983-12-01,104.91
1984-01-01,105.49
1984-02-01,104.14
1984-03-01,102.3
1984-04-01,103.02
1984-05-01,105
1984-06-01,105.64
1984-07-01,108.6
1984-08-01,108.93
1984-09-01,110.86
1984-10-01,111.64
1984-11-01,110.22
1984-12-01,111.9
1985-01-01,113.13
1985-02-01,115.94
1985-03-01,116.36
1985-04-01,112.47
1985-05-01,113.11
1985-06-01,112.14
1985-07-01,110.83
1985-08-01,109.81
1985-09-01,111.02
1985-10-01,106.39
1985-11-01,106.23
1985-12-01,104.99
1986-01-01,103.2
1986-02-01,99.5
1986-03-01,97.22
1986-04-01,96.09
1986-05-01,94.5
1986-06-01,96.05
1986-07-01,93.73
1986-08-01,92.49
1986-09-01,92.55
1986-10-01,92.6
1986-11-01,93.84
1986-12-01,93.04
1987-01-01,90.13
1987-02-01,89.18
1987-03-01,88.53
1987-04-01,86.47
1987-05-01,85.68
1987-06-01,86.72
1987-07-01,87.72
1987-08-01,87.5
1987-09-01,85.98
1987-10-01,85.62
1987-11-01,83.2
1987-12-01,81.22
1988-01-01,80.43
1988-02-01,80.69
1988-03-01,79.39
1988-04-01,78.53
1988-05-01,78.58
1988-06-01,79.73
1988-07-01,81.81
1988-08-01,82.6
1988-09-01,82.93
1988-10-01,80.93
1988-11-01,78.85
1988-12-01,78.46
1989-01-01,79.9
1989-02-01,80.29
1989-03-01,81.24
1989-04-01,81.28
1989-05-01,83.18
1989-06-01,84.75
1989-07-01,82.99
1989-08-01,83.32
1989-09-01,84.12
1989-10-01,82.67
1989-11-01,82.99
1989-12-01,81.82
1990-01-01,81.41
1990-02-01,81.52
1990-03-01,83.02
1990-04-01,82.81
1990-05-01,81.69
1990-06-01,82.15
1990-07-01,80.5
1990-08-01,79.21
1990-09-01,78.29
1990-10-01,76.32
1990-11-01,75.83
1990-12-01,76.59
1991-01-01,76.22
1991-02-01,75.12
1991-03-01,77.96
1991-04-01,78.92
1991-05-01,79.11
1991-06-01,80.44
1991-07-01,80.17
1991-08-01,79.35
1991-09-01,78.44
1991-10-01,77.5
1991-11-01,76.27
1991-12-01,75.56
1992-01-01,75.21
1992-02-01,76.51
1992-03-01,78.19
1992-04-01,77.61
1992-05-01,76.76
1992-06-01,75.66
1992-07-01,74.46
1992-08-01,74.16
1992-09-01,74.3
1992-10-01,75.99
1992-11-01,78.58
1992-12-01,78.59
1993-01-01,79.4
1993-02-01,79.33
1993-03-01,78.6
1993-04-01,76.96
1993-05-01,76.86
1993-06-01,77.08
1993-07-01,77.97
1993-08-01,77.82
1993-09-01,77.43
1993-10-01,78.18
1993-11-01,78.95
1993-12-01,79.23
1994-01-01,79.44
1994-02-01,78.99
1994-03-01,79.15
1994-04-01,79.13
1994-05-01,78.52
1994-06-01,78.33
1994-07-01,77.11
1994-08-01,77.12
1994-09-01,76.38
1994-10-01,75.76
1994-11-01,76.18
1994-12-01,78.36
1995-01-01,80.69
1995-02-01,79.9
1995-03-01,78.49
1995-04-01,74.97
1995-05-01,74.69
1995-06-01,74.85
1995-07-01,74.85
1995-08-01,77.09
1995-09-01,78.23
1995-10-01,78.22
1995-11-01,79.31
1995-12-01,79.53
1996-01-01,80.12
1996-02-01,80.16
1996-03-01,80.19
1996-04-01,80.12
1996-05-01,80.22
1996-06-01,80.53
1996-07-01,80.54
1996-08-01,79.9
1996-09-01,80.33
1996-10-01,80.86
1996-11-01,80.39
1996-12-01,80.98
1997-01-01,81.88
1997-02-01,83.61
1997-03-01,84.51
1997-04-01,84.82
1997-05-01,83.32
1997-06-01,82.95
1997-07-01,83.52
1997-08-01,84.9
1997-09-01,84.65
1997-10-01,84.66
1997-11-01,86.29
1997-12-01,88.79
1998-01-01,90.29
1998-02-01,89.42
1998-03-01,89.19
1998-04-01,89.25
1998-05-01,89.79
1998-06-01,91.57
1998-07-01,91.83
1998-08-01,93.82
1998-09-01,92.06
1998-10-01,88.96
1998-11-01,88.87
1998-12-01,87.82
1999-01-01,87.49
1999-02-01,88.18
1999-03-01,89.38
1999-04-01,89.05
1999-05-01,88.8
1999-06-01,89.34
1999-07-01,89.62
1999-08-01,88.12
1999-09-01,87.27
1999-10-01,86.86
1999-11-01,87.14
1999-12-01,87.14
2000-01-01,87.17
2000-02-01,88.71
2000-03-01,89.13
2000-04-01,89.53
2000-05-01,91.81
2000-06-01,90.79
2000-07-01,90.86
2000-08-01,91.52
2000-09-01,92.61
2000-10-01,94.15
2000-11-01,94.69
2000-12-01,93.52
2001-01-01,94.07
2001-02-01,94.94
2001-03-01,96.51
2001-04-01,97.03
2001-05-01,96.7
2001-06-01,97.39
2001-07-01,97.67
2001-08-01,95.75
2001-09-01,96.07
2001-10-01,96.31
2001-11-01,97.13
2001-12-01,96.92
2002-01-01,98.32
2002-02-01,98.94
2002-03-01,98.38
2002-04-01,98.04
2002-05-01,96.13
2002-06-01,94.42
2002-07-01,92.58
2002-08-01,93.76
2002-09-01,94.3
2002-10-01,94.89
2002-11-01,93.71
2002-12-01,92.82
2003-01-01,91.53
2003-02-01,91.84
2003-03-01,91.57
2003-04-01,90.85
2003-05-01,86.89
2003-06-01,86.79
2003-07-01,87.98
2003-08-01,89.4
2003-09-01,88.32
2003-10-01,85.94
2003-11-01,85.37
2003-12-01,83.67
2004-01-01,82.33
2004-02-01,82.93
2004-03-01,84.26
2004-04-01,85.15
2004-05-01,86.93
2004-06-01,85.99
2004-07-01,85.18
2004-08-01,85.29
2004-09-01,84.84
2004-10-01,83.46
2004-11-01,80.67
2004-12-01,79.29
2005-01-01,80.34
2005-02-01,80.89
2005-03-01,80.33
2005-04-01,81.7
2005-05-01,82.1
2005-06-01,83.22
2005-07-01,84.08
2005-08-01,83.14
2005-09-01,83.65
2005-10-01,85.04
2005-11-01,85.32
2005-12-01,84.11
2006-01-01,83.3
2006-02-01,83.82
2006-03-01,84.28
2006-04-01,83.98
2006-05-01,81.72
2006-06-01,83.07
2006-07-01,83.08
2006-08-01,82.43
2006-09-01,82.35
2006-10-01,82.45
2006-11-01,81.51
2006-12-01,80.68
2007-01-01,82.4
2007-02-01,82.47
2007-03-01,82.32
2007-04-01,81.32
2007-05-01,81.08
2007-06-01,81.08
2007-07-01,79.91
2007-08-01,79.9
2007-09-01,78.61
2007-10-01,76.7
2007-11-01,75.47
2007-12-01,76.39
2008-01-01,76.45
2008-02-01,75.83
2008-03-01,74.11
2008-04-01,74.06
2008-05-01,74.63
2008-06-01,75.32
2008-07-01,74.93
2008-08-01,76.98
2008-09-01,78.93
2008-10-01,84.78
2008-11-01,86.09
2008-12-01,84.08
2009-01-01,85.44
2009-02-01,88.28
2009-03-01,88.79
2009-04-01,86.06
2009-05-01,82.92
2009-06-01,82.31
2009-07-01,82
2009-08-01,80.53
2009-09-01,79.8
2009-10-01,78.44
2009-11-01,77.83
2009-12-01,77.98
2010-01-01,78.54
2010-02-01,79.77
2010-03-01,79.06
2010-04-01,78.69
2010-05-01,81.82
2010-06-01,82.5
2010-07-01,80.87
2010-08-01,79.94
2010-09-01,79.07
2010-10-01,76.07
2010-11-01,76.23
2010-12-01,77.01
2011-01-01,76.23
2011-02-01,75.58
2011-03-01,74.89
2011-04-01,73.71
2011-05-01,73.88
2011-06-01,74.06
2011-07-01,73.54
2011-08-01,74.18
2011-09-01,76.79
2011-10-01,77.49
2011-11-01,77.93
2011-12-01,78.4
2012-01-01,78.47
2012-02-01,76.97
2012-03-01,77.59
2012-04-01,77.9
2012-05-01,79.51
2012-06-01,80.68
2012-07-01,80.01
2012-08-01,79.25
2012-09-01,77.72
2012-10-01,77.38
2012-11-01,77.86
2012-12-01,76.91
2013-01-01,77.5
2013-02-01,78.6
2013-03-01,79.51
2013-04-01,79.14
2013-05-01,79.9
2013-06-01,80.38
2013-07-01,80.96
2013-08-01,80.39
2013-09-01,80.04
2013-10-01,78.91
2013-11-01,79.39
2013-12-01,79.36
2014-01-01,80.67
2014-02-01,80.69
2014-03-01,80.47
2014-04-01,79.98
2014-05-01,79.84
2014-06-01,80.15
2014-07-01,80.12
2014-08-01,80.97
2014-09-01,82.43
2014-10-01,83.55
2014-11-01,84.93
2014-12-01,86.71
2015-01-01,89.18
2015-02-01,90.84
2015-03-01,93.01
2015-04-01,92.56
2015-05-01,91.65
2015-06-01,92.64
2015-07-01,94.89
2015-08-01,95.81
2015-09-01,95.79
2015-10-01,94.7
2015-11-01,96.65
2015-12-01,97.07
2016-01-01,99.7
2016-02-01,98.5
2016-03-01,96.24
2016-04-01,94.61
2016-05-01,95.94
2016-06-01,96.5
2016-07-01,97.08
2016-08-01,96.01
2016-09-01,96.9
2016-10-01,97.73
2016-11-01,100.47
2016-12-01,102.35
2017-01-01,102.96
2017-02-01,100.95
2017-03-01,99.83
2017-04-01,98.76
2017-05-01,98.19
2017-06-01,96.54
2017-07-01,94.74
2017-08-01,93.59
2017-09-01,93.08
2017-10-01,95.06
2017-11-01,95.11
2017-12-01,94.64
2018-01-01,93.13
2018-02-01,92.36
2018-03-01,92.53
2018-04-01,92.6
2018-05-01,95.89
2018-06-01,97.57
2018-07-01,96.53
2018-08-01,96.4
2018-09-01,96.21
2018-10-01,96.9
2018-11-01,98.43
2018-12-01,98.12
2019-01-01,96.99
2019-02-01,97.25
2019-03-01,97.79
2019-04-01,97.97
2019-05-01,98.73
2019-06-01,98.18
2019-07-01,98.06
2019-08-01,99.35
2019-09-01,99.47
2019-10-01,98.88
2019-11-01,98.66
2019-12-01,97.78
2020-01-01,97.74
2020-02-01,99.03
2020-03-01,103.21
2020-04-01,105.44
2020-05-01,104.25
2020-06-01,101.42
2020-07-01,101.07
2020-08-01,99.44
2020-09-01,98.99
2020-10-01,98.21
2020-11-01,96.63
2020-12-01,94.59
2021-01-01,94.29
2021-02-01,95.13
2021-03-01,96.69
2021-04-01,96.1
2021-05-01,95.41
2021-06-01,96.53
2021-07-01,98.01
2021-08-01,98.28
2021-09-01,98.3
2021-10-01,99.41
2021-11-01,100.63
2021-12-01,101.45
2022-01-01,101.2
2022-02-01,101.4
2022-03-01,102.94
2022-04-01,103.83
2022-05-01,106.08
2022-06-01,107.35
2022-07-01,109.58
2022-08-01,108.63
2022-09-01,111.13
2022-10-01,112.19
2022-11-01,108.37
2022-12-01,105.86
2023-01-01,104.25
2023-02-01,104.48
2023-03-01,104.69
2023-04-01,103.17
2023-05-01,103.55
2023-06-01,103.09
2023-07-01,101.65
2023-08-01,103.17
2023-09-01,104.76
2023-10-01,106.71
