"Date","WPSFD41112"
1973-01-01,50.1
1973-02-01,51.5
1973-03-01,53.8
1973-04-01,54
1973-05-01,54.2
1973-06-01,54.9
1973-07-01,54.5
1973-08-01,60.5
1973-09-01,59.8
1973-10-01,58.5
1973-11-01,58.7
1973-12-01,59.1
1974-01-01,61.2
1974-02-01,62.4
1974-03-01,62
1974-04-01,61.2
1974-05-01,61
1974-06-01,59.7
1974-07-01,62.9
1974-08-01,65
1974-09-01,65.5
1974-10-01,66.9
1974-11-01,69.6
1974-12-01,68.9
1975-01-01,69.1
1975-02-01,68.3
1975-03-01,67.6
1975-04-01,68.8
1975-05-01,69.5
1975-06-01,70
1975-07-01,70.9
1975-08-01,71.8
1975-09-01,72
1975-10-01,72.7
1975-11-01,72.4
1975-12-01,71.3
1976-01-01,70.3
1976-02-01,69.1
1976-03-01,69
1976-04-01,70.3
1976-05-01,70.2
1976-06-01,69.7
1976-07-01,69.2
1976-08-01,68.2
1976-09-01,67.6
1976-10-01,67.4
1976-11-01,67.7
1976-12-01,69.2
1977-01-01,69.2
1977-02-01,70.3
1977-03-01,71.4
1977-04-01,72.1
1977-05-01,73.1
1977-06-01,73.1
1977-07-01,73.4
1977-08-01,73.8
1977-09-01,73.4
1977-10-01,73.6
1977-11-01,74.1
1977-12-01,74.9
1978-01-01,75.5
1978-02-01,76.8
1978-03-01,77.4
1978-04-01,78.6
1978-05-01,78.9
1978-06-01,80
1978-07-01,79.5
1978-08-01,79.3
1978-09-01,80.4
1978-10-01,81.7
1978-11-01,81.9
1978-12-01,82.8
1979-01-01,84.4
1979-02-01,85.5
1979-03-01,86.5
1979-04-01,87.1
1979-05-01,86.5
1979-06-01,85.4
1979-07-01,85.7
1979-08-01,86
1979-09-01,87.9
1979-10-01,87.7
1979-11-01,89.3
1979-12-01,89.9
1980-01-01,89.6
1980-02-01,89.6
1980-03-01,90
1980-04-01,88.9
1980-05-01,89.1
1980-06-01,89.9
1980-07-01,92.5
1980-08-01,94.9
1980-09-01,94.3
1980-10-01,95.9
1980-11-01,96.2
1980-12-01,96.2
1981-01-01,96.5
1981-02-01,96.2
1981-03-01,96.3
1981-04-01,96.3
1981-05-01,96.9
1981-06-01,97.4
1981-07-01,98.4
1981-08-01,98.5
1981-09-01,98.2
1981-10-01,97.9
1981-11-01,97.5
1981-12-01,97
1982-01-01,98
1982-02-01,98.5
1982-03-01,98.8
1982-04-01,100.1
1982-05-01,100.8
1982-06-01,101.6
1982-07-01,100.3
1982-08-01,100.5
1982-09-01,100.7
1982-10-01,100.3
1982-11-01,100.5
1982-12-01,100.2
1983-01-01,100.4
1983-02-01,101.1
1983-03-01,101
1983-04-01,101.2
1983-05-01,100.8
1983-06-01,100.7
1983-07-01,100.2
1983-08-01,100.2
1983-09-01,100.9
1983-10-01,101.1
1983-11-01,101
1983-12-01,102.1
1984-01-01,103.6
1984-02-01,104.2
1984-03-01,104.7
1984-04-01,104.7
1984-05-01,104.5
1984-06-01,104.5
1984-07-01,105.4
1984-08-01,105.3
1984-09-01,105
1984-10-01,104.8
1984-11-01,105.9
1984-12-01,106
1985-01-01,105.8
1985-02-01,105.8
1985-03-01,105.3
1985-04-01,104.6
1985-05-01,104.2
1985-06-01,104.4
1985-07-01,104.1
1985-08-01,103.8
1985-09-01,102.8
1985-10-01,104.4
1985-11-01,105.6
1985-12-01,106
1986-01-01,105.9
1986-02-01,105.5
1986-03-01,105.3
1986-04-01,105.1
1986-05-01,105.9
1986-06-01,106.4
1986-07-01,107.8
1986-08-01,109.5
1986-09-01,109
1986-10-01,109.5
1986-11-01,109.3
1986-12-01,109.2
1987-01-01,108.4
1987-02-01,108.7
1987-03-01,108.3
1987-04-01,109.9
1987-05-01,110.8
1987-06-01,110.5
1987-07-01,110.2
1987-08-01,110
1987-09-01,110.4
1987-10-01,110.2
1987-11-01,109.3
1987-12-01,109.1
1988-01-01,110.5
1988-02-01,110.5
1988-03-01,110.8
1988-04-01,111.1
1988-05-01,111.5
1988-06-01,112.4
1988-07-01,113
1988-08-01,113.3
1988-09-01,114.5
1988-10-01,114.5
1988-11-01,115
1988-12-01,115.5
1989-01-01,116.9
1989-02-01,117.2
1989-03-01,117.6
1989-04-01,117.6
1989-05-01,117.7
1989-06-01,117.9
1989-07-01,118.3
1989-08-01,118.6
1989-09-01,119
1989-10-01,119.6
1989-11-01,121
1989-12-01,121.8
1990-01-01,122.3
1990-02-01,122.8
1990-03-01,123.4
1990-04-01,123.6
1990-05-01,124.6
1990-06-01,124.7
1990-07-01,125.2
1990-08-01,125.5
1990-09-01,125.3
1990-10-01,125.2
1990-11-01,125.3
1990-12-01,125.1
1991-01-01,125.1
1991-02-01,125.1
1991-03-01,125
1991-04-01,124.9
1991-05-01,124.3
1991-06-01,124.3
1991-07-01,124.4
1991-08-01,123.8
1991-09-01,123.8
1991-10-01,124.5
1991-11-01,124
1991-12-01,124.1
1992-01-01,123.8
1992-02-01,123.9
1992-03-01,123.6
1992-04-01,123.9
1992-05-01,124.3
1992-06-01,124.8
1992-07-01,124.5
1992-08-01,124.6
1992-09-01,124.8
1992-10-01,124.7
1992-11-01,124.7
1992-12-01,125.2
1993-01-01,125.4
1993-02-01,125.4
1993-03-01,125.4
1993-04-01,126.5
1993-05-01,126.6
1993-06-01,127
1993-07-01,126.7
1993-08-01,126.4
1993-09-01,126.9
1993-10-01,126.8
1993-11-01,127
1993-12-01,127.3
1994-01-01,127.5
1994-02-01,128.1
1994-03-01,128.4
1994-04-01,128.8
1994-05-01,128.1
1994-06-01,127.6
1994-07-01,127.7
1994-08-01,127.9
1994-09-01,127.7
1994-10-01,127.6
1994-11-01,127.8
1994-12-01,127.7
1995-01-01,128.7
1995-02-01,129.2
1995-03-01,129.4
1995-04-01,128.6
1995-05-01,128.1
1995-06-01,128.5
1995-07-01,129.8
1995-08-01,129.9
1995-09-01,130.5
1995-10-01,131.1
1995-11-01,131.6
1995-12-01,131.7
1996-01-01,131.5
1996-02-01,131.5
1996-03-01,131.2
1996-04-01,131.4
1996-05-01,132.4
1996-06-01,133.8
1996-07-01,134.3
1996-08-01,135.5
1996-09-01,135.8
1996-10-01,136.5
1996-11-01,136.3
1996-12-01,135.8
1997-01-01,135.1
1997-02-01,134.4
1997-03-01,135.4
1997-04-01,135.7
1997-05-01,135.8
1997-06-01,135.1
1997-07-01,134.8
1997-08-01,135.2
1997-09-01,134.8
1997-10-01,135
1997-11-01,135
1997-12-01,134.7
1998-01-01,134.3
1998-02-01,134.6
1998-03-01,134.3
1998-04-01,134.5
1998-05-01,134.6
1998-06-01,134.8
1998-07-01,134.6
1998-08-01,135.3
1998-09-01,135.1
1998-10-01,135.1
1998-11-01,135.5
1998-12-01,135.2
1999-01-01,136.4
1999-02-01,135.6
1999-03-01,135.5
1999-04-01,134.3
1999-05-01,135.1
1999-06-01,135.5
1999-07-01,135
1999-08-01,135.9
1999-09-01,136.7
1999-10-01,136.8
1999-11-01,136.9
1999-12-01,136.7
2000-01-01,137
2000-02-01,137.4
2000-03-01,137.8
2000-04-01,138.4
2000-05-01,138.9
2000-06-01,138.9
2000-07-01,138.6
2000-08-01,138
2000-09-01,137.8
2000-10-01,138.1
2000-11-01,138.8
2000-12-01,139.6
2001-01-01,139.7
2001-02-01,140.6
2001-03-01,141.6
2001-04-01,142.3
2001-05-01,142.9
2001-06-01,143
2001-07-01,143.1
2001-08-01,143.8
2001-09-01,143.8
2001-10-01,143.7
2001-11-01,142.5
2001-12-01,141.8
2002-01-01,141.6
2002-02-01,142.1
2002-03-01,142
2002-04-01,141.2
2002-05-01,140.4
2002-06-01,140.6
2002-07-01,140.5
2002-08-01,140.1
2002-09-01,140.2
2002-10-01,140.4
2002-11-01,140.8
2002-12-01,142.2
2003-01-01,144
2003-02-01,144.5
2003-03-01,144.5
2003-04-01,144.9
2003-05-01,145.2
2003-06-01,146.9
2003-07-01,146.4
2003-08-01,147.4
2003-09-01,148.8
2003-10-01,152.2
2003-11-01,151.4
2003-12-01,150.6
2004-01-01,149.1
2004-02-01,149.6
2004-03-01,151
2004-04-01,154.7
2004-05-01,157
2004-06-01,157.5
2004-07-01,154.5
2004-08-01,153.7
2004-09-01,153.4
2004-10-01,154.2
2004-11-01,154.6
2004-12-01,156
2005-01-01,156.6
2005-02-01,156.6
2005-03-01,157.2
2005-04-01,157.3
2005-05-01,157.6
2005-06-01,156.6
2005-07-01,155.9
2005-08-01,155.8
2005-09-01,156.6
2005-10-01,157.4
2005-11-01,157.4
2005-12-01,157.5
2006-01-01,157.4
2006-02-01,155.8
2006-03-01,155.7
2006-04-01,154.7
2006-05-01,155
2006-06-01,156.6
2006-07-01,157.2
2006-08-01,157.4
2006-09-01,158.2
2006-10-01,158.2
2006-11-01,159.3
2006-12-01,159.6
2007-01-01,161.3
2007-02-01,162.8
2007-03-01,164.1
2007-04-01,165.2
2007-05-01,166
2007-06-01,167.2
2007-07-01,167
2007-08-01,167.8
2007-09-01,168.4
2007-10-01,168.8
2007-11-01,169.6
2007-12-01,170.5
2008-01-01,172.9
2008-02-01,173.8
2008-03-01,174.5
2008-04-01,175.5
2008-05-01,177.3
2008-06-01,178.6
2008-07-01,181.9
2008-08-01,182.8
2008-09-01,181.9
2008-10-01,181.7
2008-11-01,181.1
2008-12-01,180.3
2009-01-01,179
2009-02-01,177.6
2009-03-01,176.1
2009-04-01,177
2009-05-01,177.8
2009-06-01,177.4
2009-07-01,176.7
2009-08-01,176.6
2009-09-01,176.6
2009-10-01,176.7
2009-11-01,177.4
