"Date","WPUFD49203"
2010-01-01,100
2010-02-01,100.1
2010-03-01,100
2010-04-01,100.3
2010-05-01,100.5
2010-06-01,100.4
2010-07-01,100.5
2010-08-01,100.5
2010-09-01,100.7
2010-10-01,101
2010-11-01,100.9
2010-12-01,100.8
2011-01-01,101.2
2011-02-01,101.6
2011-03-01,102.3
2011-04-01,102.4
2011-05-01,102.4
2011-06-01,102.6
2011-07-01,102.8
2011-08-01,103.2
2011-09-01,103.3
2011-10-01,103.4
2011-11-01,103.5
2011-12-01,103.3
2012-01-01,103.8
2012-02-01,104.3
2012-03-01,104.6
2012-04-01,104.9
2012-05-01,104.9
2012-06-01,104.9
2012-07-01,104.8
2012-08-01,104.6
2012-09-01,104.9
2012-10-01,105.4
2012-11-01,105.6
2012-12-01,105.5
2013-01-01,105.7
2013-02-01,106
2013-03-01,106.3
2013-04-01,106.4
2013-05-01,106
2013-06-01,106.4
2013-07-01,106.8
2013-08-01,106.7
2013-09-01,106.7
2013-10-01,107.4
2013-11-01,107.3
2013-12-01,107
2014-01-01,107.3
2014-02-01,107.7
2014-03-01,108.3
2014-04-01,108.1
2014-05-01,108.3
2014-06-01,108.2
2014-07-01,108.8
2014-08-01,108.9
2014-09-01,108.5
2014-10-01,109.5
2014-11-01,109.2
2014-12-01,109.3
2015-01-01,109.4
2015-02-01,109.3
2015-03-01,109.5
2015-04-01,109.6
2015-05-01,109.4
2015-06-01,109.8
2015-07-01,110.1
2015-08-01,110.1
2015-09-01,109.9
2015-10-01,110.2
2015-11-01,110
2015-12-01,110
2016-01-01,110.8
2016-02-01,111
2016-03-01,111
2016-04-01,111.1
2016-05-01,111
2016-06-01,111.4
2016-07-01,111.4
2016-08-01,111.2
2016-09-01,111.4
2016-10-01,111.9
2016-11-01,111.8
2016-12-01,111.7
2017-01-01,112.2
2017-02-01,112.2
2017-03-01,112.5
2017-04-01,113
2017-05-01,113.1
2017-06-01,113.2
2017-07-01,113.4
2017-08-01,113.5
2017-09-01,113.5
2017-10-01,114.4
2017-11-01,114.2
2017-12-01,114
2018-01-01,114.6
2018-02-01,115
2018-03-01,115.4
2018-04-01,115.6
2018-05-01,115.7
2018-06-01,116.1
2018-07-01,116.4
2018-08-01,116.3
2018-09-01,116.3
2018-10-01,117.5
2018-11-01,117.3
2018-12-01,117.3
2019-01-01,117.5
2019-02-01,117.9
2019-03-01,118.2
2019-04-01,118.7
2019-05-01,118.8
2019-06-01,118.9
2019-07-01,119
2019-08-01,119.3
2019-09-01,119
2019-10-01,119.6
2019-11-01,119
2019-12-01,119
2020-01-01,119.6
2020-02-01,119.5
2020-03-01,119.8
2020-04-01,119.6
2020-05-01,119.5
2020-06-01,119.6
2020-07-01,120.2
2020-08-01,120.2
2020-09-01,120.4
2020-10-01,121.3
2020-11-01,120.9
2020-12-01,120.6
2021-01-01,121.8
2021-02-01,122.4
2021-03-01,122.9
2021-04-01,124.2
2021-05-01,124.8
2021-06-01,125.5
2021-07-01,126.718
2021-08-01,127.589
2021-09-01,127.823
2021-10-01,128.595
2021-11-01,129.479
2021-12-01,130.169
2022-01-01,131.508
2022-02-01,132.5
2022-03-01,134.213
2022-04-01,134.611
2022-05-01,134.973
2022-06-01,135.533
2022-07-01,136.109
2022-08-01,136.733
2022-09-01,136.912
2022-10-01,137.671
2022-11-01,137.75
2022-12-01,137.78
2023-01-01,138.131
2023-02-01,138.662
2023-03-01,138.88
2023-04-01,139.201
2023-05-01,139.238
2023-06-01,139.471
2023-07-01,140.187
2023-08-01,140.431
2023-09-01,140.652
2023-10-01,140.954
2023-11-01,140.631
