"Date","PCU3331123331127"
2003-06-01,100
2003-07-01,99.5
2003-08-01,99.5
2003-09-01,99.5
2003-10-01,100
2003-11-01,100
2003-12-01,100
2004-01-01,99.4
2004-02-01,99.5
2004-03-01,99.8
2004-04-01,99.9
2004-05-01,100.1
2004-06-01,100.7
2004-07-01,100.8
2004-08-01,101.2
2004-09-01,101.8
2004-10-01,102
2004-11-01,102
2004-12-01,102.3
2005-01-01,102.8
2005-02-01,103.1
2005-03-01,103.4
2005-04-01,102.5
2005-05-01,102.7
2005-06-01,102.6
2005-07-01,102.4
2005-08-01,102.4
2005-09-01,102.4
2005-10-01,102.4
2005-11-01,102.5
2005-12-01,102.5
2006-01-01,102.4
2006-02-01,102.6
2006-03-01,102.6
2006-04-01,101.4
2006-05-01,101.4
2006-06-01,101.5
2006-07-01,104
2006-08-01,104.7
2006-09-01,104.5
2006-10-01,105.1
2006-11-01,105.6
2006-12-01,106
2007-01-01,107.5
2007-02-01,107.5
2007-03-01,107.5
2007-04-01,107.2
2007-05-01,107.1
2007-06-01,107.1
2007-07-01,106.9
2007-08-01,106.9
2007-09-01,106.9
2007-10-01,106.8
2007-11-01,108.1
2007-12-01,108.1
2008-01-01,108.2
2008-02-01,107.8
2008-03-01,107.8
2008-04-01,108.7
2008-05-01,108.7
2008-06-01,109.2
2008-07-01,109.8
2008-08-01,109.8
2008-09-01,111
2008-10-01,109.5
2008-11-01,109.4
2008-12-01,109.9
2009-01-01,110
2009-02-01,109.8
2009-03-01,110.2
2009-04-01,110.2
2009-05-01,109.7
2009-06-01,108.9
2009-07-01,108.6
2009-08-01,108.6
2009-09-01,108.7
2009-10-01,108.7
2009-11-01,109.2
2009-12-01,109.2
2010-01-01,109.7
2010-02-01,109.7
2010-03-01,109.7
2010-04-01,108.8
2010-05-01,108.9
2010-06-01,108.9
2010-07-01,109.2
2010-08-01,109.2
2010-09-01,109.2
2010-10-01,109
2010-11-01,109
2010-12-01,109
2011-01-01,109.1
2011-02-01,108.3
2011-03-01,108.3
2011-04-01,105.9
2011-05-01,106.2
2011-06-01,106.2
2011-07-01,106.2
2011-08-01,106.3
2011-09-01,106.3
2011-10-01,109.5
2011-11-01,109.8
2011-12-01,109.8
2012-01-01,110.5
2012-02-01,110.5
2012-03-01,110.5
2012-04-01,111
2012-05-01,111
2012-06-01,111.9
2012-07-01,111.9
2012-08-01,111.9
2012-09-01,111.9
2012-10-01,113.5
2012-11-01,113.5
2012-12-01,113.5
2013-01-01,113.3
2013-02-01,113.3
2013-03-01,113.3
2013-04-01,113.3
2013-05-01,113
2013-06-01,113
2013-07-01,111.9
2013-08-01,111.9
2013-09-01,111.9
2013-10-01,111.7
2013-11-01,111.7
2013-12-01,111.7
2014-01-01,111.6
2014-02-01,112.3
2014-03-01,112.5
2014-04-01,112.4
2014-05-01,112.3
2014-06-01,112.3
2014-07-01,111.8
2014-08-01,111.8
2014-09-01,111.8
2014-10-01,111.9
2014-11-01,111.9
2014-12-01,111.9
2015-01-01,113.5
2015-02-01,113.4
2015-03-01,113.4
2015-04-01,113.2
2015-05-01,113
2015-06-01,113
2015-07-01,113.7
2015-08-01,113.7
2015-09-01,113.7
2015-10-01,113.7
2015-11-01,113.7
2015-12-01,113.8
2016-01-01,112.5
2016-02-01,112.5
2016-03-01,112.5
2016-04-01,113.2
2016-05-01,113.2
2016-06-01,113.2
2016-07-01,113.3
2016-08-01,113.4
2016-09-01,113.4
2016-10-01,113.5
2016-11-01,114.2
2016-12-01,114.2
2017-01-01,114.5
2017-02-01,114.4
2017-03-01,114.4
2017-04-01,114.4
2017-05-01,114.7
2017-06-01,114.7
2017-07-01,114.7
2017-08-01,114.7
2017-09-01,114.7
2017-10-01,115.4
2017-11-01,115.4
2017-12-01,115.4
2018-01-01,116.6
2018-02-01,116.7
2018-03-01,116.7
2018-04-01,116.7
2018-05-01,116.8
2018-06-01,116.8
2018-07-01,118
2018-08-01,118.5
2018-09-01,119.2
2018-10-01,119.8
2018-11-01,120.3
2018-12-01,120.9
2019-01-01,120.8
2019-02-01,120.5
2019-03-01,120.5
2019-04-01,121.5
2019-05-01,121.4
2019-06-01,121.4
2019-07-01,121.3
2019-08-01,121.3
2019-09-01,121.2
2019-10-01,121.3
2019-11-01,121.3
2019-12-01,121.3
2020-01-01,120.3
2020-02-01,120.9
2020-03-01,120.9
2020-04-01,121.1
2020-05-01,121.1
2020-06-01,121.5
2020-07-01,121.4
2020-08-01,121.3
2020-09-01,121.3
2020-10-01,121.3
2020-11-01,122
2020-12-01,122
2021-01-01,122.3
2021-02-01,122.4
2021-03-01,122.7
2021-04-01,124.5
2021-05-01,125.8
2021-06-01,126.3
2021-07-01,129.457
2021-08-01,130.761
2021-09-01,131.562
2021-10-01,132.559
2021-11-01,134.041
2021-12-01,136.589
2022-01-01,139.213
2022-02-01,142.447
2022-03-01,142.83
2022-04-01,142.671
2022-05-01,151.333
2022-06-01,151.333
2022-07-01,151.678
2022-08-01,151.785
2022-09-01,154.827
2022-10-01,160.922
2022-11-01,159.822
2022-12-01,160.709
2023-01-01,161.048
2023-02-01,161.991
2023-03-01,159.77
2023-04-01,159.942
2023-05-01,157.634
2023-06-01,157.634
2023-07-01,158.41
2023-08-01,158.869
2023-09-01,158.869
2023-10-01,160.882
2023-11-01,159.855
