"Date","WPUFD42111"
2009-11-01,100
2009-12-01,99.8
2010-01-01,100.8
2010-02-01,100.7
2010-03-01,100.2
2010-04-01,100.5
2010-05-01,100.7
2010-06-01,100.8
2010-07-01,101.1
2010-08-01,101.3
2010-09-01,101.1
2010-10-01,101.5
2010-11-01,101.5
2010-12-01,101.1
2011-01-01,101.9
2011-02-01,101.8
2011-03-01,102
2011-04-01,102.2
2011-05-01,102
2011-06-01,102.3
2011-07-01,102.8
2011-08-01,103
2011-09-01,102.8
2011-10-01,103
2011-11-01,103.2
2011-12-01,103
2012-01-01,103.6
2012-02-01,103.6
2012-03-01,103.6
2012-04-01,104
2012-05-01,103.7
2012-06-01,103.9
2012-07-01,104
2012-08-01,104.2
2012-09-01,104.4
2012-10-01,104.4
2012-11-01,104.5
2012-12-01,104.5
2013-01-01,105
2013-02-01,105.4
2013-03-01,105.5
2013-04-01,105.5
2013-05-01,105.5
2013-06-01,105.9
2013-07-01,106.1
2013-08-01,106.3
2013-09-01,106.3
2013-10-01,106.7
2013-11-01,106.7
2013-12-01,106.7
2014-01-01,107.2
2014-02-01,107.4
2014-03-01,107.7
2014-04-01,107.6
2014-05-01,107.5
2014-06-01,107.8
2014-07-01,108
2014-08-01,108.3
2014-09-01,108.2
2014-10-01,108.3
2014-11-01,108.3
2014-12-01,108.3
2015-01-01,108.5
2015-02-01,108.6
2015-03-01,108.9
2015-04-01,109.2
2015-05-01,109
2015-06-01,109.3
2015-07-01,109.6
2015-08-01,109.7
2015-09-01,109.4
2015-10-01,109.4
2015-11-01,109.3
2015-12-01,109.3
2016-01-01,110.3
2016-02-01,110.5
2016-03-01,110.7
2016-04-01,110.8
2016-05-01,110.6
2016-06-01,111
2016-07-01,111.5
2016-08-01,111.6
2016-09-01,111.6
2016-10-01,111.8
2016-11-01,111.6
2016-12-01,111.5
2017-01-01,112
2017-02-01,112.2
2017-03-01,112.3
2017-04-01,112.9
2017-05-01,113
2017-06-01,113.3
2017-07-01,113.6
2017-08-01,113.6
2017-09-01,113.5
2017-10-01,113.9
2017-11-01,113.9
2017-12-01,113.8
2018-01-01,114.7
2018-02-01,115.1
2018-03-01,115.5
2018-04-01,115.5
2018-05-01,115.7
2018-06-01,116
2018-07-01,116.6
2018-08-01,116.7
2018-09-01,116.6
2018-10-01,117.1
2018-11-01,116.8
2018-12-01,116.7
2019-01-01,117
2019-02-01,117.7
2019-03-01,118
2019-04-01,118.3
2019-05-01,118.6
2019-06-01,118.8
2019-07-01,119.1
2019-08-01,119.3
2019-09-01,119
2019-10-01,119.2
2019-11-01,119
2019-12-01,118.8
2020-01-01,119.9
2020-02-01,119.7
2020-03-01,120
2020-04-01,118.9
2020-05-01,119.1
2020-06-01,119.4
2020-07-01,120.1
2020-08-01,120.5
2020-09-01,120.7
2020-10-01,121
2020-11-01,120.9
2020-12-01,121.1
2021-01-01,122.7
2021-02-01,123.2
2021-03-01,123.7
2021-04-01,124
2021-05-01,124.2
2021-06-01,124.6
2021-07-01,125.466
2021-08-01,125.625
2021-09-01,125.665
2021-10-01,125.677
2021-11-01,126.264
2021-12-01,126.426
2022-01-01,127.466
2022-02-01,127.376
2022-03-01,127.904
2022-04-01,127.445
2022-05-01,127.384
2022-06-01,127.744
2022-07-01,127.992
2022-08-01,128.243
2022-09-01,128.502
2022-10-01,129.001
2022-11-01,129.377
2022-12-01,129.47
2023-01-01,130.325
2023-02-01,131.137
2023-03-01,131.623
2023-04-01,132.117
2023-05-01,131.919
2023-06-01,132.767
2023-07-01,133.393
2023-08-01,133.586
2023-09-01,133.818
2023-10-01,134.06
2023-11-01,134.026
