"Date","WPSFD41311"
1974-01-01,52
1974-02-01,52.3
1974-03-01,52.7
1974-04-01,53.4
1974-05-01,54.3
1974-06-01,55.1
1974-07-01,56
1974-08-01,56.7
1974-09-01,57.3
1974-10-01,58.2
1974-11-01,58.8
1974-12-01,59.2
1975-01-01,59.6
1975-02-01,59.8
1975-03-01,60
1975-04-01,60.1
1975-05-01,60.2
1975-06-01,60.4
1975-07-01,60.6
1975-08-01,60.7
1975-09-01,61
1975-10-01,61.3
1975-11-01,61.7
1975-12-01,62.1
1976-01-01,62.4
1976-02-01,62.6
1976-03-01,62.8
1976-04-01,62.8
1976-05-01,62.9
1976-06-01,63.4
1976-07-01,63.6
1976-08-01,64
1976-09-01,64.4
1976-10-01,64.6
1976-11-01,65.2
1976-12-01,65.3
1977-01-01,65.7
1977-02-01,66
1977-03-01,66.2
1977-04-01,66.5
1977-05-01,66.6
1977-06-01,67
1977-07-01,67.1
1977-08-01,67.6
1977-09-01,68.3
1977-10-01,68.6
1977-11-01,69.1
1977-12-01,69.2
1978-01-01,69.4
1978-02-01,69.6
1978-03-01,70
1978-04-01,70.9
1978-05-01,71.4
1978-06-01,72
1978-07-01,72.8
1978-08-01,73.2
1978-09-01,73.8
1978-10-01,73.7
1978-11-01,74.4
1978-12-01,75.1
1979-01-01,75.7
1979-02-01,76.3
1979-03-01,76.8
1979-04-01,77.3
1979-05-01,77.7
1979-06-01,78.4
1979-07-01,78.8
1979-08-01,79.3
1979-09-01,80.3
1979-10-01,81
1979-11-01,81.6
1979-12-01,82.3
1980-01-01,84.2
1980-02-01,85.2
1980-03-01,85.5
1980-04-01,86.1
1980-05-01,86.3
1980-06-01,87.4
1980-07-01,88.6
1980-08-01,89.2
1980-09-01,89.6
1980-10-01,90.1
1980-11-01,90.5
1980-12-01,90.8
1981-01-01,91.7
1981-02-01,92.2
1981-03-01,92.8
1981-04-01,93.6
1981-05-01,94.2
1981-06-01,94.6
1981-07-01,94.7
1981-08-01,95.2
1981-09-01,95.9
1981-10-01,96.4
1981-11-01,96.9
1981-12-01,97.3
1982-01-01,97.9
1982-02-01,98
1982-03-01,98.7
1982-04-01,99
1982-05-01,99.5
1982-06-01,99.9
1982-07-01,100
1982-08-01,100.5
1982-09-01,100.8
1982-10-01,101.4
1982-11-01,101.7
1982-12-01,102.3
1983-01-01,101.9
1983-02-01,102.3
1983-03-01,102.6
1983-04-01,102.5
1983-05-01,102.7
1983-06-01,103
1983-07-01,103.3
1983-08-01,103.7
1983-09-01,103.7
1983-10-01,103.7
1983-11-01,103.9
1983-12-01,104.3
1984-01-01,104.7
1984-02-01,104.8
1984-03-01,105.4
1984-04-01,105.2
1984-05-01,105.5
1984-06-01,105.6
1984-07-01,105.8
1984-08-01,106.1
1984-09-01,106.3
1984-10-01,106
1984-11-01,106.3
1984-12-01,106.6
1985-01-01,107.2
1985-02-01,107.5
1985-03-01,107.9
1985-04-01,107.7
1985-05-01,108
1985-06-01,108.5
1985-07-01,108.7
1985-08-01,108.8
1985-09-01,108.3
1985-10-01,109.1
1985-11-01,109.4
1985-12-01,109.4
1986-01-01,109.6
1986-02-01,109.8
1986-03-01,110
1986-04-01,110.5
1986-05-01,110.7
1986-06-01,111
1986-07-01,111.2
1986-08-01,111.3
1986-09-01,111.2
1986-10-01,112.5
1986-11-01,112.6
1986-12-01,112.8
1987-01-01,113.1
1987-02-01,112.9
1987-03-01,113.1
1987-04-01,113.6
1987-05-01,113.7
1987-06-01,113.9
1987-07-01,114.2
1987-08-01,114.6
1987-09-01,115
1987-10-01,115.1
1987-11-01,115.4
1987-12-01,115.6
1988-01-01,116.3
1988-02-01,116.7
1988-03-01,117
1988-04-01,117.2
1988-05-01,117.6
1988-06-01,118
1988-07-01,118.7
1988-08-01,119.4
1988-09-01,119.7
1988-10-01,120.1
1988-11-01,120.5
1988-12-01,121
1989-01-01,121.6
1989-02-01,122.3
1989-03-01,122.5
1989-04-01,122.7
1989-05-01,123.6
1989-06-01,124.1
1989-07-01,123.9
1989-08-01,124.7
1989-09-01,125.2
1989-10-01,125.6
1989-11-01,126.1
1989-12-01,126.3
1990-01-01,126.6
1990-02-01,127
1990-03-01,127.3
1990-04-01,127.6
1990-05-01,128.3
1990-06-01,128.8
1990-07-01,128.9
1990-08-01,129.3
1990-09-01,130.1
1990-10-01,130.3
1990-11-01,130.8
1990-12-01,130.9
1991-01-01,131.8
1991-02-01,132.3
1991-03-01,132.6
1991-04-01,133
1991-05-01,133.2
1991-06-01,133.2
1991-07-01,133.6
1991-08-01,134
1991-09-01,134.6
1991-10-01,135.2
1991-11-01,135.3
1991-12-01,135.4
1992-01-01,135.9
1992-02-01,136
1992-03-01,136.4
1992-04-01,136.8
1992-05-01,137.6
1992-06-01,137.3
1992-07-01,137.4
1992-08-01,137.3
1992-09-01,137.8
1992-10-01,138.1
1992-11-01,138.3
1992-12-01,138.3
1993-01-01,138.8
1993-02-01,139.1
1993-03-01,139.3
1993-04-01,139.9
1993-05-01,140
1993-06-01,139.7
1993-07-01,139.8
1993-08-01,137.1
1993-09-01,137
