"Date","PCU3115143115145"
1967-01-01,31.9
1967-02-01,31.9
1967-03-01,31.8
1967-04-01,31.8
1967-05-01,31.8
1967-06-01,31.6
1967-07-01,31.6
1967-08-01,31.6
1967-09-01,31.6
1967-10-01,31.6
1967-11-01,31.6
1967-12-01,31.8
1968-01-01,31.8
1968-02-01,31.7
1968-03-01,31.8
1968-04-01,33.2
1968-05-01,33.2
1968-06-01,33.2
1968-07-01,33.2
1968-08-01,33.2
1968-09-01,33.1
1968-10-01,33.1
1968-11-01,33.1
1968-12-01,33.1
1969-01-01,33.1
1969-02-01,33.4
1969-03-01,32.9
1969-04-01,32.6
1969-05-01,32.6
1969-06-01,32.6
1969-07-01,33.2
1969-08-01,33.3
1969-09-01,32.8
1969-10-01,33.5
1969-11-01,34.4
1969-12-01,34.4
1970-01-01,34.3
1970-02-01,34.3
1970-03-01,34.4
1970-04-01,34.6
1970-05-01,35.4
1970-06-01,35.1
1970-07-01,35.1
1970-08-01,35.1
1970-09-01,35.3
1970-10-01,35.5
1970-11-01,36.1
1970-12-01,36.1
1971-01-01,36.1
1971-02-01,36.1
1971-03-01,36.1
1971-04-01,36.1
1971-05-01,38
1971-06-01,37.8
1971-07-01,37.8
1971-08-01,37.8
1971-09-01,37.8
1971-10-01,37.8
1971-11-01,37.8
1971-12-01,37.8
1972-01-01,37.8
1972-02-01,38
1972-03-01,37.8
1972-04-01,37.8
1972-05-01,38.1
1972-06-01,38.1
1972-07-01,38.1
1972-08-01,38.1
1972-09-01,39.9
1972-10-01,39.9
1972-11-01,39.9
1972-12-01,39.9
1973-01-01,39.9
1973-02-01,40.8
1973-03-01,42.6
1973-04-01,42.6
1973-05-01,42.6
1973-06-01,43.3
1973-07-01,43.3
1973-08-01,44.4
1973-09-01,46.9
1973-10-01,49.2
1973-11-01,48.5
1973-12-01,50
1974-01-01,51.7
1974-02-01,52
1974-03-01,53.4
1974-04-01,53.9
1974-05-01,53.9
1974-06-01,54.8
1974-07-01,54.8
1974-08-01,54.8
1974-09-01,55.7
1974-10-01,55.7
1974-11-01,55.7
1974-12-01,55.7
1975-01-01,55.7
1975-02-01,55.7
1975-03-01,55.7
1975-04-01,55.7
1975-05-01,55.7
1975-06-01,55.7
1975-07-01,55.7
1975-08-01,57.5
1975-09-01,57.5
1975-10-01,61.1
1975-11-01,61.1
1975-12-01,63.1
1976-01-01,63
1976-02-01,63
1976-03-01,63
1976-04-01,63
1976-05-01,63
1976-06-01,63
1976-07-01,63
1976-08-01,63
1976-09-01,64.8
1976-10-01,64.8
1976-11-01,64.8
1976-12-01,64.8
1977-01-01,64.8
1977-02-01,64.8
1977-03-01,64.8
1977-04-01,66.7
1977-05-01,68.6
1977-06-01,68.6
1977-07-01,68.6
1977-08-01,68.6
1977-09-01,68.6
1977-10-01,68.6
1977-11-01,68.6
1977-12-01,68.6
1978-01-01,69.5
1978-02-01,69.5
1978-03-01,69.5
1978-04-01,73.3
1978-05-01,73.3
1978-06-01,73.1
1978-07-01,73.1
1978-08-01,73.1
1978-09-01,73.1
1978-10-01,73.6
1978-11-01,76.5
1978-12-01,76.5
1979-01-01,76.5
1979-02-01,78.6
1979-03-01,78.6
1979-04-01,78.6
1979-05-01,79.6
1979-06-01,80.5
1979-07-01,80.5
1979-08-01,80.5
1979-09-01,82.3
1979-10-01,82.3
1979-11-01,84.2
1979-12-01,84.2
1980-01-01,86.2
1980-02-01,86.2
1980-03-01,86.2
1980-04-01,89.2
1980-05-01,89.2
1980-06-01,89.2
1980-07-01,89.2
1980-08-01,89.2
1980-09-01,89.9
1980-10-01,91.5
1980-11-01,93
1980-12-01,93.2
1981-01-01,95.5
1981-02-01,98.2
1981-03-01,97.7
1981-04-01,97.7
1981-05-01,97.7
1981-06-01,97.7
1981-07-01,97.7
