"Date","WPUFD41311"
1973-01-01,49.5
1973-02-01,49.7
1973-03-01,49.9
1973-04-01,50.1
1973-05-01,50.3
1973-06-01,50.4
1973-07-01,50.4
1973-08-01,50.5
1973-09-01,50.5
1973-10-01,51
1973-11-01,51.2
1973-12-01,51.5
1974-01-01,52.1
1974-02-01,52.4
1974-03-01,52.8
1974-04-01,53.5
1974-05-01,54.4
1974-06-01,55.1
1974-07-01,55.9
1974-08-01,56.5
1974-09-01,56.9
1974-10-01,58.2
1974-11-01,58.8
1974-12-01,59.2
1975-01-01,59.8
1975-02-01,59.9
1975-03-01,60.1
1975-04-01,60.2
1975-05-01,60.2
1975-06-01,60.3
1975-07-01,60.4
1975-08-01,60.4
1975-09-01,60.5
1975-10-01,61.4
1975-11-01,61.8
1975-12-01,62.1
1976-01-01,62.6
1976-02-01,62.7
1976-03-01,62.9
1976-04-01,63
1976-05-01,63
1976-06-01,63.4
1976-07-01,63.5
1976-08-01,63.7
1976-09-01,64
1976-10-01,64.9
1976-11-01,65.2
1976-12-01,65.3
1977-01-01,66
1977-02-01,66.1
1977-03-01,66.3
1977-04-01,66.7
1977-05-01,66.8
1977-06-01,67
1977-07-01,67.1
1977-08-01,67.3
1977-09-01,67.7
1977-10-01,68.8
1977-11-01,68.9
1977-12-01,69.1
1978-01-01,69.6
1978-02-01,69.8
1978-03-01,70.1
1978-04-01,71.1
1978-05-01,71.6
1978-06-01,72
1978-07-01,72.7
1978-08-01,73
1978-09-01,73.2
1978-10-01,74.1
1978-11-01,74.3
1978-12-01,75
1979-01-01,75.9
1979-02-01,76.4
1979-03-01,76.8
1979-04-01,77.5
1979-05-01,77.9
1979-06-01,78.3
1979-07-01,78.7
1979-08-01,79
1979-09-01,79.5
1979-10-01,81.3
1979-11-01,81.7
1979-12-01,82.2
1980-01-01,84.5
1980-02-01,85.5
1980-03-01,85.5
1980-04-01,86.3
1980-05-01,86.5
1980-06-01,87.3
1980-07-01,88.4
1980-08-01,88.8
1980-09-01,88.5
1980-10-01,90.5
1980-11-01,90.6
1980-12-01,90.8
1981-01-01,92.1
1981-02-01,92.6
1981-03-01,92.7
1981-04-01,93.8
1981-05-01,94.3
1981-06-01,94.5
1981-07-01,94.7
1981-08-01,95
1981-09-01,94.9
1981-10-01,96.7
1981-11-01,97
1981-12-01,97.2
1982-01-01,98.3
1982-02-01,98.4
1982-03-01,98.6
1982-04-01,99.1
1982-05-01,99.5
1982-06-01,99.8
1982-07-01,100
1982-08-01,100.3
1982-09-01,99.7
1982-10-01,101.8
1982-11-01,102
1982-12-01,102.4
1983-01-01,102.1
1983-02-01,102.5
1983-03-01,102.4
1983-04-01,102.6
1983-05-01,102.8
1983-06-01,103
1983-07-01,103.4
1983-08-01,103.6
1983-09-01,102.7
1983-10-01,104.1
1983-11-01,104.3
1983-12-01,104.3
1984-01-01,104.8
1984-02-01,105
1984-03-01,105.2
1984-04-01,105.4
1984-05-01,105.6
1984-06-01,105.5
1984-07-01,105.9
1984-08-01,105.9
1984-09-01,105.3
1984-10-01,106.4
1984-11-01,106.6
1984-12-01,106.6
1985-01-01,107.3
1985-02-01,107.7
1985-03-01,107.7
1985-04-01,107.9
1985-05-01,108.1
1985-06-01,108.3
1985-07-01,108.7
1985-08-01,108.7
1985-09-01,107.3
1985-10-01,109.6
1985-11-01,109.6
1985-12-01,109.4
1986-01-01,109.8
1986-02-01,110
1986-03-01,110
1986-04-01,110.6
1986-05-01,110.7
1986-06-01,110.8
1986-07-01,111.2
1986-08-01,111.1
1986-09-01,110.3
1986-10-01,112.9
1986-11-01,112.9
1986-12-01,112.7
1987-01-01,113.2
1987-02-01,113
1987-03-01,113.2
1987-04-01,113.7
1987-05-01,113.7
1987-06-01,113.7
1987-07-01,114.2
1987-08-01,114.3
1987-09-01,114.1
1987-10-01,115.6
1987-11-01,115.6
1987-12-01,115.7
1988-01-01,116.5
1988-02-01,116.8
1988-03-01,117.1
1988-04-01,117.3
1988-05-01,117.6
1988-06-01,117.9
1988-07-01,118.8
1988-08-01,119.1
1988-09-01,118.9
1988-10-01,120.5
1988-11-01,120.6
1988-12-01,121.2
1989-01-01,121.9
1989-02-01,122.6
1989-03-01,122.6
1989-04-01,122.7
1989-05-01,123.3
1989-06-01,124.1
1989-07-01,124.1
1989-08-01,124.5
1989-09-01,124.2
1989-10-01,126
1989-11-01,125.9
1989-12-01,126.5
1990-01-01,127
1990-02-01,127.4
1990-03-01,127.5
1990-04-01,127.7
1990-05-01,128.1
