"Date","DNDGRA3M086SBEA"
2010-05-01,85.16
2010-06-01,85.512
2010-07-01,85.321
2010-08-01,85.721
2010-09-01,86.095
2010-10-01,86.077
2010-11-01,86.58
2010-12-01,86.396
2011-01-01,86.763
2011-02-01,86.535
2011-03-01,86.617
2011-04-01,86.612
2011-05-01,85.953
2011-06-01,86.8
2011-07-01,86.289
2011-08-01,86.053
2011-09-01,86.138
2011-10-01,86.186
2011-11-01,86.163
2011-12-01,86.069
2012-01-01,86.488
2012-02-01,87.118
2012-03-01,86.702
2012-04-01,86.635
2012-05-01,86.872
2012-06-01,86.504
2012-07-01,86.589
2012-08-01,86.986
2012-09-01,86.565
2012-10-01,86.587
2012-11-01,86.786
2012-12-01,86.773
2013-01-01,88.235
2013-02-01,87.952
2013-03-01,87.895
2013-04-01,87.677
2013-05-01,88.435
2013-06-01,88.206
2013-07-01,88.748
2013-08-01,88.478
2013-09-01,89.124
2013-10-01,89.355
2013-11-01,89.714
2013-12-01,89.86
2014-01-01,89.436
2014-02-01,90.181
2014-03-01,90.173
2014-04-01,90.888
2014-05-01,90.681
2014-06-01,90.97
2014-07-01,91.369
2014-08-01,91.971
2014-09-01,91.504
2014-10-01,92.363
2014-11-01,92.735
2014-12-01,93.025
2015-01-01,93.354
2015-02-01,93.611
2015-03-01,93.924
2015-04-01,93.875
2015-05-01,94.357
2015-06-01,94.353
2015-07-01,94.987
2015-08-01,95.119
2015-09-01,95.441
2015-10-01,95.086
2015-11-01,95.565
2015-12-01,95.977
2016-01-01,96.027
2016-02-01,96.783
2016-03-01,96.499
2016-04-01,96.776
2016-05-01,97.231
2016-06-01,97.847
2016-07-01,97.516
2016-08-01,97.634
2016-09-01,97.637
2016-10-01,97.449
2016-11-01,97.519
2016-12-01,98.3
2017-01-01,98.357
2017-02-01,98.625
2017-03-01,99.066
2017-04-01,99.458
2017-05-01,99.37
2017-06-01,100.045
2017-07-01,99.721
2017-08-01,100.092
2017-09-01,100.779
2017-10-01,100.524
2017-11-01,101.349
2017-12-01,102.614
2018-01-01,102.418
2018-02-01,102.123
2018-03-01,102.17
2018-04-01,101.979
2018-05-01,102.855
2018-06-01,102.082
2018-07-01,102.593
2018-08-01,102.711
2018-09-01,102.599
2018-10-01,103.115
2018-11-01,104.44
2018-12-01,102.469
2019-01-01,103.979
2019-02-01,103.728
2019-03-01,104.585
2019-04-01,104.848
2019-05-01,105.177
2019-06-01,106.048
2019-07-01,106.434
2019-08-01,106.688
2019-09-01,106.074
2019-10-01,106.24
2019-11-01,106.445
2019-12-01,106.47
2020-01-01,106.34
2020-02-01,106.638
2020-03-01,110.914
2020-04-01,97.558
2020-05-01,105.705
2020-06-01,109.991
2020-07-01,111.283
2020-08-01,110.727
2020-09-01,113.018
2020-10-01,112.3
2020-11-01,111.805
2020-12-01,112.409
2021-01-01,114.298
2021-02-01,111.929
2021-03-01,118.466
2021-04-01,118.805
2021-05-01,117.949
2021-06-01,120.065
2021-07-01,118.384
2021-08-01,119.737
2021-09-01,119.677
2021-10-01,120.162
2021-11-01,120.215
2021-12-01,119.7
2022-01-01,119.469
2022-02-01,118.94
2022-03-01,119.213
2022-04-01,119.338
2022-05-01,119.291
2022-06-01,118.99
2022-07-01,118.073
2022-08-01,118.646
2022-09-01,119.434
2022-10-01,119.295
2022-11-01,118.72
2022-12-01,118.568
2023-01-01,119.042
2023-02-01,119.393
2023-03-01,118.586
2023-04-01,119.169
2023-05-01,119.171
2023-06-01,119.501
2023-07-01,120.283
2023-08-01,120.247
2023-09-01,120.433
2023-10-01,120.79
