"Date","IB001176M"
1959-01-01,11.278
1959-02-01,11.491
1959-03-01,11.714
1959-04-01,11.659
1959-05-01,11.778
1959-06-01,11.825
1959-07-01,11.767
1959-08-01,11.866
1959-09-01,12.046
1959-10-01,11.878
1959-11-01,11.857
1959-12-01,11.808
1960-01-01,11.89
1960-02-01,11.981
1960-03-01,12.111
1960-04-01,12.407
1960-05-01,12.061
1960-06-01,12.028
1960-07-01,12.047
1960-08-01,12.069
1960-09-01,12.148
1960-10-01,12.222
1960-11-01,12.079
1960-12-01,11.891
1961-01-01,11.893
1961-02-01,11.961
1961-03-01,12.176
1961-04-01,12.107
1961-05-01,12.228
1961-06-01,12.246
1961-07-01,12.256
1961-08-01,12.279
1961-09-01,12.346
1961-10-01,12.481
1961-11-01,12.644
1961-12-01,12.739
1962-01-01,12.76
1962-02-01,12.717
1962-03-01,12.847
1962-04-01,12.942
1962-05-01,13.068
1962-06-01,12.946
1962-07-01,12.984
1962-08-01,13.018
1962-09-01,13.239
1962-10-01,13.107
1962-11-01,13.366
1962-12-01,13.462
1963-01-01,13.421
1963-02-01,13.357
1963-03-01,13.448
1963-04-01,13.541
1963-05-01,13.518
1963-06-01,13.741
1963-07-01,13.812
1963-08-01,13.825
1963-09-01,13.809
1963-10-01,13.795
1963-11-01,13.922
1963-12-01,14.137
1964-01-01,14.2
1964-02-01,14.344
1964-03-01,14.363
1964-04-01,14.376
1964-05-01,14.637
1964-06-01,14.729
1964-07-01,14.846
1964-08-01,14.933
1964-09-01,14.846
1964-10-01,14.945
1964-11-01,14.789
1964-12-01,14.865
1965-01-01,15.095
1965-02-01,15.387
1965-03-01,15.491
1965-04-01,15.58
1965-05-01,15.533
1965-06-01,15.313
1965-07-01,15.533
1965-08-01,15.674
1965-09-01,16.09
1965-10-01,16.196
1965-11-01,16.248
1965-12-01,16.232
1966-01-01,16.419
1966-02-01,16.59
1966-03-01,16.77
1966-04-01,16.733
1966-05-01,16.473
1966-06-01,16.513
1966-07-01,16.65
1966-08-01,16.759
1966-09-01,16.973
1966-10-01,16.883
1966-11-01,16.869
1966-12-01,16.867
1967-01-01,16.969
1967-02-01,16.816
1967-03-01,16.95
1967-04-01,17.16
1967-05-01,17.108
1967-06-01,17.263
1967-07-01,17.205
1967-08-01,17.256
1967-09-01,17.425
1967-10-01,17.156
1967-11-01,17.266
1967-12-01,17.502
1968-01-01,17.71
1968-02-01,17.726
1968-03-01,18.056
1968-04-01,18.002
1968-05-01,18.167
1968-06-01,18.298
1968-07-01,18.513
1968-08-01,18.541
1968-09-01,18.521
1968-10-01,18.564
1968-11-01,18.593
1968-12-01,18.56
1969-01-01,18.716
1969-02-01,18.821
1969-03-01,18.681
1969-04-01,18.82
1969-05-01,18.941
1969-06-01,18.899
1969-07-01,18.812
1969-08-01,18.991
1969-09-01,19.064
1969-10-01,19.085
1969-11-01,19.053
1969-12-01,19.036
1970-01-01,19.078
1970-02-01,19.268
1970-03-01,19.049
1970-04-01,19.128
1970-05-01,19.28
1970-06-01,19.331
1970-07-01,19.321
1970-08-01,19.406
1970-09-01,19.467
1970-10-01,19.345
1970-11-01,19.07
1970-12-01,19.233
1971-01-01,19.655
1971-02-01,19.689
1971-03-01,19.737
1971-04-01,19.847
1971-05-01,19.845
1971-06-01,20.052
1971-07-01,19.946
1971-08-01,20.145
1971-09-01,20.388
1971-10-01,20.423
1971-11-01,20.551
1971-12-01,20.743
1972-01-01,20.841
1972-02-01,20.82
1972-03-01,21.195
1972-04-01,21.219
1972-05-01,21.324
1972-06-01,21.414
1972-07-01,21.624
1972-08-01,21.758
1972-09-01,21.79
1972-10-01,22.192
1972-11-01,22.305
1972-12-01,22.405
1973-01-01,22.778
1973-02-01,22.987
1973-03-01,23.122
1973-04-01,23.002
1973-05-01,23.042
1973-06-01,22.95
1973-07-01,23.001
1973-08-01,22.858
1973-09-01,23.235
1973-10-01,23.015
1973-11-01,23.064
1973-12-01,22.872
1974-01-01,22.894
1974-02-01,22.741
1974-03-01,22.852
1974-04-01,22.874
1974-05-01,22.916
1974-06-01,22.733
1974-07-01,22.723
1974-08-01,22.955
1974-09-01,22.623
1974-10-01,22.433
1974-11-01,22.143
1974-12-01,22.108
1975-01-01,22.456
1975-02-01,22.708
1975-03-01,22.489
1975-04-01,22.44
1975-05-01,23.074
1975-06-01,23.149
1975-07-01,23.263
1975-08-01,23.31
1975-09-01,23.437
1975-10-01,23.501
