"Date","DFXARA3M086SBEA"
1971-02-01,51.519
1971-03-01,51.017
1971-04-01,51.278
1971-05-01,51.138
1971-06-01,51.221
1971-07-01,50.875
1971-08-01,50.645
1971-09-01,50.711
1971-10-01,50.931
1971-11-01,50.957
1971-12-01,51.187
1972-01-01,49.703
1972-02-01,50.421
1972-03-01,51.538
1972-04-01,51.955
1972-05-01,52.452
1972-06-01,52.449
1972-07-01,52.448
1972-08-01,52.46
1972-09-01,52.72
1972-10-01,53.281
1972-11-01,53.025
1972-12-01,52.863
1973-01-01,52.718
1973-02-01,52.421
1973-03-01,51.501
1973-04-01,51.177
1973-05-01,50.956
1973-06-01,51.143
1973-07-01,53.059
1973-08-01,49.849
1973-09-01,50.419
1973-10-01,50.274
1973-11-01,50.209
1973-12-01,50.697
1974-01-01,50.652
1974-02-01,50.236
1974-03-01,49.608
1974-04-01,49.627
1974-05-01,49.581
1974-06-01,50.014
1974-07-01,50.761
1974-08-01,51.265
1974-09-01,50.516
1974-10-01,50.306
1974-11-01,50.431
1974-12-01,49.031
1975-01-01,49.515
1975-02-01,49.811
1975-03-01,50.634
1975-04-01,50.496
1975-05-01,51.949
1975-06-01,51.737
1975-07-01,51.85
1975-08-01,51.724
1975-09-01,51.749
1975-10-01,51.186
1975-11-01,51.232
1975-12-01,51.006
1976-01-01,52.14
1976-02-01,52.285
1976-03-01,52.935
1976-04-01,53.407
1976-05-01,53.398
1976-06-01,54.1
1976-07-01,53.684
1976-08-01,54.054
1976-09-01,53.946
1976-10-01,54.365
1976-11-01,53.978
1976-12-01,54.649
1977-01-01,55.353
1977-02-01,54.321
1977-03-01,53.747
1977-04-01,53.628
1977-05-01,54.514
1977-06-01,54.246
1977-07-01,54.401
1977-08-01,53.829
1977-09-01,53.794
1977-10-01,54.56
1977-11-01,55.604
1977-12-01,54.454
1978-01-01,54.251
1978-02-01,54.744
1978-03-01,54.727
1978-04-01,53.808
1978-05-01,53.581
1978-06-01,53.667
1978-07-01,53.343
1978-08-01,53.735
1978-09-01,54.494
1978-10-01,53.832
1978-11-01,54.517
1978-12-01,54.906
1979-01-01,54.733
1979-02-01,54.082
1979-03-01,54.229
1979-04-01,53.385
1979-05-01,54.131
1979-06-01,55.836
1979-07-01,54.177
1979-08-01,55.216
1979-09-01,55.733
1979-10-01,55.293
1979-11-01,56.119
1979-12-01,55.708
1980-01-01,56.151
1980-02-01,56.395
1980-03-01,56.335
1980-04-01,56.026
1980-05-01,56.014
1980-06-01,55.616
1980-07-01,55.228
1980-08-01,55.376
1980-09-01,54.685
1980-10-01,54.764
1980-11-01,54.402
1980-12-01,54.432
1981-01-01,54.863
1981-02-01,54.772
1981-03-01,54.5
1981-04-01,55.125
1981-05-01,55.414
1981-06-01,55.426
1981-07-01,55.244
1981-08-01,55.447
1981-09-01,54.882
1981-10-01,55.681
1981-11-01,55.577
1981-12-01,56.236
1982-01-01,55.709
1982-02-01,55.807
1982-03-01,55.687
1982-04-01,56.208
1982-05-01,56.066
1982-06-01,55.695
1982-07-01,56.337
1982-08-01,56.142
1982-09-01,56.525
1982-10-01,57.334
1982-11-01,56.763
1982-12-01,57.763
1983-01-01,56.702
1983-02-01,57.321
1983-03-01,57.208
1983-04-01,57.397
1983-05-01,57.174
1983-06-01,57.748
1983-07-01,58.221
1983-08-01,58.098
1983-09-01,58.192
1983-10-01,58.091
1983-11-01,58.577
1983-12-01,58.387
1984-01-01,58.024
1984-02-01,57.668
1984-03-01,58.192
1984-04-01,58.608
1984-05-01,58.98
1984-06-01,59.49
1984-07-01,59.088
1984-08-01,59.013
1984-09-01,59.637
1984-10-01,59.251
1984-11-01,59.751
1984-12-01,59.358
1985-01-01,59.769
1985-02-01,59.743
1985-03-01,59.524
1985-04-01,60.348
1985-05-01,60.351
1985-06-01,60.28
1985-07-01,60.413
1985-08-01,60.813
1985-09-01,61.733
1985-10-01,61.27
1985-11-01,61.748
1985-12-01,61.932
1986-01-01,62.157
1986-02-01,62.088
1986-03-01,62.459
1986-04-01,61.73
1986-05-01,61.966
1986-06-01,62.231
1986-07-01,61.948
1986-08-01,60.86
1986-09-01,61.57
1986-10-01,62.012
1986-11-01,61.788
1986-12-01,61.978
1987-01-01,61.358
1987-02-01,61.782
1987-03-01,61.534
1987-04-01,61.797
1987-05-01,61.321
1987-06-01,61.301
1987-07-01,61.347
1987-08-01,61.713
1987-09-01,61.415
1987-10-01,61.466
1987-11-01,61.506
1987-12-01,61.502
1988-01-01,61.656
1988-02-01,62.154
1988-03-01,63.459
1988-04-01,63.032
1988-05-01,63.432
1988-06-01,63.125
1988-07-01,63.187
1988-08-01,63.665
1988-09-01,63.091
1988-10-01,63.413
1988-11-01,63.848
1988-12-01,63.475
1989-01-01,64.125
1989-02-01,63.771
1989-03-01,63.612
1989-04-01,63.278
1989-05-01,63.616
1989-06-01,63.458
1989-07-01,63.543
1989-08-01,63.74
1989-09-01,64.411
1989-10-01,64.041
1989-11-01,64.414
1989-12-01,64.98
1990-01-01,64.15
1990-02-01,64.337
1990-03-01,65.198
1990-04-01,65.417
1990-05-01,65.478
1990-06-01,65.801
1990-07-01,65.279
1990-08-01,65.436
1990-09-01,66.105
1990-10-01,64.939
1990-11-01,65.61
1990-12-01,65.129
1991-01-01,64.91
1991-02-01,64.529
1991-03-01,65.785
1991-04-01,65.016
1991-05-01,65.826
1991-06-01,65.221
1991-07-01,65.536
1991-08-01,65.652
1991-09-01,65.291
1991-10-01,65.04
1991-11-01,65.098
1991-12-01,63.995
1992-01-01,65.582
1992-02-01,64.89
1992-03-01,64.348
1992-04-01,64.868
1992-05-01,64.856
1992-06-01,64.477
1992-07-01,64.984
1992-08-01,64.751
1992-09-01,64.509
1992-10-01,65.219
1992-11-01,65.209
1992-12-01,65.161
1993-01-01,64.823
1993-02-01,65.375
1993-03-01,65.167
1993-04-01,65.151
1993-05-01,65.27
1993-06-01,65.14
1993-07-01,65.526
1993-08-01,65.206
1993-09-01,65.915
1993-10-01,65.697
1993-11-01,65.897
1993-12-01,66.049
1994-01-01,65.957
1994-02-01,66.58
1994-03-01,66.944
1994-04-01,67.231
1994-05-01,67.084
1994-06-01,67.475
1994-07-01,66.883
1994-08-01,67.465
1994-09-01,67.772
1994-10-01,67.94
1994-11-01,67.943
1994-12-01,67.822
1995-01-01,68.358
1995-02-01,67.393
1995-03-01,67.575
1995-04-01,67.089
1995-05-01,67.634
1995-06-01,67.609
1995-07-01,67.415
1995-08-01,67.443
1995-09-01,67.499
1995-10-01,67.355
1995-11-01,67.555
1995-12-01,68.328
1996-01-01,68.094
1996-02-01,67.949
1996-03-01,68.117
1996-04-01,68.402
1996-05-01,68.316
1996-06-01,68.402
1996-07-01,68.358
1996-08-01,68.207
1996-09-01,68.169
1996-10-01,68.366
1996-11-01,68.414
1996-12-01,68.607
1997-01-01,68.806
1997-02-01,68.797
1997-03-01,69.231
1997-04-01,68.817
1997-05-01,68.433
1997-06-01,68.503
1997-07-01,69.06
1997-08-01,68.894
1997-09-01,69.021
1997-10-01,69.011
1997-11-01,69.21
1997-12-01,68.756
1998-01-01,68.749
1998-02-01,68.993
1998-03-01,69.193
1998-04-01,69.342
1998-05-01,69.533
1998-06-01,69.929
1998-07-01,70.042
1998-08-01,69.969
1998-09-01,70.357
1998-10-01,70.226
1998-11-01,70.491
1998-12-01,71.224
1999-01-01,71.181
1999-02-01,71.567
1999-03-01,71.759
1999-04-01,72.171
1999-05-01,72.385
1999-06-01,72.168
1999-07-01,72.471
1999-08-01,72.821
1999-09-01,73.387
1999-10-01,72.856
1999-11-01,73.254
1999-12-01,76.05
2000-01-01,72.436
2000-02-01,73.323
2000-03-01,74.308
2000-04-01,74.395
2000-05-01,74.108
2000-06-01,74.937
2000-07-01,74.546
2000-08-01,74.492
2000-09-01,74.817
2000-10-01,75.354
2000-11-01,75.263
2000-12-01,75.528
2001-01-01,75.624
2001-02-01,75.05
2001-03-01,74.778
2001-04-01,75.675
2001-05-01,75.94
2001-06-01,75.447
2001-07-01,75.301
2001-08-01,75.357
2001-09-01,75.736
2001-10-01,75.478
2001-11-01,75.392
2001-12-01,76.033
2002-01-01,75.268
2002-02-01,75.318
2002-03-01,75.548
2002-04-01,74.996
2002-05-01,75.728
2002-06-01,75.885
2002-07-01,76.133
2002-08-01,75.822
2002-09-01,75.592
2002-10-01,76.115
2002-11-01,76.699
2002-12-01,76.712
2003-01-01,77.117
2003-02-01,77.128
2003-03-01,77.09
2003-04-01,77.229
2003-05-01,76.644
2003-06-01,77.136
2003-07-01,77.91
2003-08-01,78.324
2003-09-01,78.304
2003-10-01,78.148
2003-11-01,78.25
2003-12-01,77.716
2004-01-01,79.009
2004-02-01,78.436
2004-03-01,78.976
2004-04-01,79.065
2004-05-01,78.819
2004-06-01,78.736
2004-07-01,78.953
2004-08-01,79.32
2004-09-01,80.21
2004-10-01,80.07
2004-11-01,80.218
2004-12-01,80.736
2005-01-01,81.311
2005-02-01,81.754
2005-03-01,81.668
2005-04-01,81.776
2005-05-01,81.586
2005-06-01,82.293
2005-07-01,82.091
2005-08-01,82.665
2005-09-01,83.03
2005-10-01,83.62
2005-11-01,83.457
2005-12-01,83.642
2006-01-01,83.407
2006-02-01,84.401
2006-03-01,83.992
2006-04-01,84.526
2006-05-01,85.011
2006-06-01,84.696
2006-07-01,84.901
2006-08-01,85.141
2006-09-01,84.75
2006-10-01,85.753
2006-11-01,85.769
2006-12-01,86.839
2007-01-01,86.555
2007-02-01,86.231
2007-03-01,86.041
2007-04-01,85.725
2007-05-01,85.851
2007-06-01,85.932
2007-07-01,86.297
2007-08-01,85.624
2007-09-01,85.802
2007-10-01,85.803
2007-11-01,86.237
2007-12-01,86.743
2008-01-01,86.085
2008-02-01,85.514
2008-03-01,85.775
2008-04-01,85.622
2008-05-01,85.71
2008-06-01,85.383
2008-07-01,84.727
2008-08-01,84.367
2008-09-01,83.392
2008-10-01,83.08
2008-11-01,83.113
2008-12-01,82.71
2009-01-01,83.668
2009-02-01,83.002
2009-03-01,83.141
2009-04-01,83.562
2009-05-01,84.074
2009-06-01,83.764
2009-07-01,84.073
2009-08-01,84.081
2009-09-01,84.765
2009-10-01,84.807
2009-11-01,84.461
2009-12-01,85.175
2010-01-01,84.732
2010-02-01,86.211
2010-03-01,85.21
2010-04-01,85.237
2010-05-01,84.994
2010-06-01,84.753
2010-07-01,84.737
2010-08-01,85.185
2010-09-01,85.417
2010-10-01,85.311
2010-11-01,86.083
2010-12-01,85.826
2011-01-01,86.001
2011-02-01,85.937
2011-03-01,85.348
2011-04-01,86.026
2011-05-01,85.099
2011-06-01,85.643
2011-07-01,85.489
2011-08-01,85.364
2011-09-01,84.925
2011-10-01,85.223
2011-11-01,85.419
2011-12-01,84.791
2012-01-01,85.469
2012-02-01,85.655
2012-03-01,85.982
2012-04-01,86.166
2012-05-01,86.284
2012-06-01,86.133
2012-07-01,86.38
2012-08-01,86.12
2012-09-01,86.396
2012-10-01,86.673
2012-11-01,86.449
2012-12-01,86.367
2013-01-01,86.621
2013-02-01,87.443
2013-03-01,87.066
2013-04-01,86.587
2013-05-01,87.467
2013-06-01,87.341
2013-07-01,87.866
2013-08-01,87.944
2013-09-01,88.386
2013-10-01,88.377
2013-11-01,88.829
2013-12-01,89.508
2014-01-01,89.617
2014-02-01,89.622
2014-03-01,89.388
2014-04-01,89.537
2014-05-01,89.455
2014-06-01,90.155
2014-07-01,90.143
2014-08-01,90.299
2014-09-01,90.314
2014-10-01,90.797
2014-11-01,90.797
2014-12-01,90.917
2015-01-01,91.285
2015-02-01,91.441
2015-03-01,91.916
2015-04-01,91.814
2015-05-01,91.96
2015-06-01,92.112
2015-07-01,92.422
2015-08-01,92.267
2015-09-01,92.683
2015-10-01,91.885
2015-11-01,92.856
2015-12-01,93.462
2016-01-01,93.439
2016-02-01,94.139
2016-03-01,93.883
2016-04-01,94.834
2016-05-01,95.577
2016-06-01,96.304
2016-07-01,96.058
2016-08-01,96.416
2016-09-01,96.632
2016-10-01,97.339
2016-11-01,97.426
2016-12-01,97.945
2017-01-01,98.388
2017-02-01,98.517
2017-03-01,98.892
2017-04-01,99.216
2017-05-01,99.051
2017-06-01,99.886
2017-07-01,99.696
2017-08-01,100.253
2017-09-01,101.081
2017-10-01,100.973
2017-11-01,101.396
2017-12-01,102.651
2018-01-01,102.591
2018-02-01,102.751
2018-03-01,102.817
2018-04-01,102.209
2018-05-01,103.258
2018-06-01,102.267
2018-07-01,102.663
2018-08-01,102.514
2018-09-01,102.741
2018-10-01,103.304
2018-11-01,104.164
2018-12-01,102.643
2019-01-01,104.365
2019-02-01,102.49
2019-03-01,103.929
2019-04-01,104.774
2019-05-01,104.879
2019-06-01,105.803
2019-07-01,107.05
2019-08-01,107.024
2019-09-01,106.16
2019-10-01,106.132
2019-11-01,106.396
2019-12-01,106.608
2020-01-01,106.003
2020-02-01,106.07
2020-03-01,126.537
2020-04-01,110.79
2020-05-01,113.678
2020-06-01,112.51
2020-07-01,114.267
2020-08-01,112.652
2020-09-01,113.239
2020-10-01,112.559
2020-11-01,113.398
2020-12-01,113.034
2021-01-01,116.506
2021-02-01,114.925
2021-03-01,117.988
2021-04-01,118.666
2021-05-01,117.892
2021-06-01,118.255
2021-07-01,117.034
2021-08-01,119.256
2021-09-01,118.293
2021-10-01,118.646
2021-11-01,118.263
2021-12-01,118.114
2022-01-01,118.562
2022-02-01,117.007
2022-03-01,116.512
2022-04-01,116.263
2022-05-01,115.84
2022-06-01,115.703
2022-07-01,114.645
2022-08-01,114.583
2022-09-01,114.815
2022-10-01,114.786
2022-11-01,114.47
2022-12-01,113.659
2023-01-01,113.547
2023-02-01,113.679
2023-03-01,112.953
2023-04-01,113.443
2023-05-01,113.707
2023-06-01,113.852
2023-07-01,114.313
2023-08-01,114.105
2023-09-01,114.241
2023-10-01,114.282
