"Date","DFXARA3M086SBEA"
1959-01-01,38.193
1959-02-01,38.029
1959-03-01,37.534
1959-04-01,37.566
1959-05-01,38.409
1959-06-01,38.473
1959-07-01,38.226
1959-08-01,38.405
1959-09-01,38.502
1959-10-01,38.531
1959-11-01,38.297
1959-12-01,39.065
1960-01-01,38.452
1960-02-01,38.165
1960-03-01,38.878
1960-04-01,39.01
1960-05-01,38.602
1960-06-01,38.601
1960-07-01,38.937
1960-08-01,38.385
1960-09-01,38.196
1960-10-01,38.298
1960-11-01,38.931
1960-12-01,38.058
1961-01-01,38.623
1961-02-01,38.749
1961-03-01,38.877
1961-04-01,39.123
1961-05-01,39.11
1961-06-01,39.294
1961-07-01,38.64
1961-08-01,39.216
1961-09-01,39.445
1961-10-01,39.196
1961-11-01,39.156
1961-12-01,39.525
1962-01-01,39.156
1962-02-01,39.343
1962-03-01,39.281
1962-04-01,39.025
1962-05-01,39.37
1962-06-01,39.24
1962-07-01,39.362
1962-08-01,39.573
1962-09-01,39.677
1962-10-01,39.363
1962-11-01,39.319
1962-12-01,39.363
1963-01-01,39.45
1963-02-01,39.154
1963-03-01,39.441
1963-04-01,39.438
1963-05-01,39.672
1963-06-01,39.594
1963-07-01,39.879
1963-08-01,40.118
1963-09-01,39.454
1963-10-01,39.847
1963-11-01,40.054
1963-12-01,39.832
1964-01-01,39.985
1964-02-01,40.022
1964-03-01,40.445
1964-04-01,40.454
1964-05-01,41.075
1964-06-01,41.018
1964-07-01,41.389
1964-08-01,41.633
1964-09-01,41.321
1964-10-01,41.339
1964-11-01,41.038
1964-12-01,42.425
1965-01-01,41.875
1965-02-01,42.42
1965-03-01,41.878
1965-04-01,42.412
1965-05-01,42.494
1965-06-01,42.213
1965-07-01,42.762
1965-08-01,43.172
1965-09-01,42.936
1965-10-01,45.143
1965-11-01,44.409
1965-12-01,45.061
1966-01-01,44.648
1966-02-01,44.686
1966-03-01,44.654
1966-04-01,44.872
1966-05-01,44.713
1966-06-01,44.699
1966-07-01,45.49
1966-08-01,44.485
1966-09-01,44.688
1966-10-01,44.263
1966-11-01,44.878
1966-12-01,44.872
1967-01-01,45.415
1967-02-01,45.501
1967-03-01,45.756
1967-04-01,46.042
1967-05-01,45.636
1967-06-01,45.741
1967-07-01,45.081
1967-08-01,45.611
1967-09-01,45.979
1967-10-01,45.704
1967-11-01,45.869
1967-12-01,46.895
1968-01-01,46.302
1968-02-01,46.293
1968-03-01,47.525
1968-04-01,47.037
1968-05-01,47.408
1968-06-01,48.195
1968-07-01,48.44
1968-08-01,48.59
1968-09-01,48.135
1968-10-01,48.111
1968-11-01,49.134
1968-12-01,48.412
1969-01-01,49.003
1969-02-01,49.382
1969-03-01,49.091
1969-04-01,48.835
1969-05-01,49.528
1969-06-01,48.484
1969-07-01,48.757
1969-08-01,49.299
1969-09-01,48.665
1969-10-01,49.732
1969-11-01,49.403
1969-12-01,49.213
1970-01-01,50.249
1970-02-01,49.86
1970-03-01,50.225
1970-04-01,49.851
1970-05-01,50.197
1970-06-01,50.443
1970-07-01,50.191
1970-08-01,50.491
1970-09-01,50.973
1970-10-01,50.332
1970-11-01,51.077
1970-12-01,51.984
1971-01-01,51.602
