"Date","IR4"
1982-06-01,73.2
1982-07-01,NA
1982-08-01,NA
1982-09-01,72.2
1982-10-01,NA
1982-11-01,NA
1982-12-01,71.7
1983-01-01,NA
1983-02-01,NA
1983-03-01,72.2
1983-04-01,NA
1983-05-01,NA
1983-06-01,71.9
1983-07-01,NA
1983-08-01,NA
1983-09-01,71.7
1983-10-01,NA
1983-11-01,NA
1983-12-01,72
1984-01-01,NA
1984-02-01,NA
1984-03-01,72.4
1984-04-01,NA
1984-05-01,NA
1984-06-01,73.1
1984-07-01,NA
1984-08-01,NA
1984-09-01,72.2
1984-10-01,NA
1984-11-01,NA
1984-12-01,72.5
1985-01-01,NA
1985-02-01,NA
1985-03-01,70.8
1985-04-01,NA
1985-05-01,NA
1985-06-01,71.1
1985-07-01,NA
1985-08-01,NA
1985-09-01,71.7
1985-10-01,NA
1985-11-01,NA
1985-12-01,73.1
1986-01-01,NA
1986-02-01,NA
1986-03-01,75.2
1986-04-01,NA
1986-05-01,NA
1986-06-01,76.7
1986-07-01,NA
1986-08-01,NA
1986-09-01,78.9
1986-10-01,NA
1986-11-01,NA
1986-12-01,79.2
1987-01-01,NA
1987-02-01,NA
1987-03-01,81.8
1987-04-01,NA
1987-05-01,NA
1987-06-01,83.8
1987-07-01,NA
1987-08-01,NA
1987-09-01,84.7
1987-10-01,NA
1987-11-01,NA
1987-12-01,87
1988-01-01,NA
1988-02-01,NA
1988-03-01,89
1988-04-01,NA
1988-05-01,NA
1988-06-01,90.5
1988-07-01,NA
1988-08-01,NA
1988-09-01,89.6
1988-10-01,NA
1988-11-01,NA
1988-12-01,91.3
1989-01-01,92.1
1989-02-01,92.2
1989-03-01,92.3
1989-04-01,92.5
1989-05-01,92.7
1989-06-01,92.5
1989-07-01,92.1
1989-08-01,92.7
1989-09-01,92.8
1989-10-01,93.2
1989-11-01,94
1989-12-01,93.8
1990-01-01,94.3
1990-02-01,94.8
1990-03-01,95.3
1990-04-01,95.8
1990-05-01,96.2
1990-06-01,95.5
1990-07-01,95.4
1990-08-01,95.7
1990-09-01,96.2
1990-10-01,96.4
1990-11-01,96.9
1990-12-01,97.1
1991-01-01,97.5
1991-02-01,97.5
1991-03-01,97.2
1991-04-01,96.4
1991-05-01,96.1
1991-06-01,96.4
1991-07-01,95.9
1991-08-01,95.9
1991-09-01,96.7
1991-10-01,96.8
1991-11-01,97.4
1991-12-01,98
1992-01-01,98.6
1992-02-01,99
1992-03-01,99
1992-04-01,98.6
1992-05-01,98.9
1992-06-01,99.3
1992-07-01,100
1992-08-01,100.1
1992-09-01,100.5
1992-10-01,101.5
1992-11-01,101.2
1992-12-01,100.2
1993-01-01,100.2
1993-02-01,100.1
1993-03-01,100.1
1993-04-01,100.4
1993-05-01,100.9
1993-06-01,100.9
1993-07-01,101
1993-08-01,100.9
1993-09-01,101.1
1993-10-01,101.4
1993-11-01,101.2
1993-12-01,101.1
1994-01-01,101.1
1994-02-01,101.2
1994-03-01,101.1
1994-04-01,101.4
1994-05-01,101.5
1994-06-01,101.5
1994-07-01,101.6
1994-08-01,101.7
1994-09-01,101.8
1994-10-01,102
1994-11-01,102.2
1994-12-01,102.2
1995-01-01,102.1
1995-02-01,102.5
1995-03-01,102.6
1995-04-01,102.9
1995-05-01,103.5
1995-06-01,103.5
1995-07-01,103.6
1995-08-01,103.7
1995-09-01,103.5
1995-10-01,103.3
1995-11-01,103.5
1995-12-01,104
1996-01-01,104
1996-02-01,104
1996-03-01,103.8
1996-04-01,103.8
1996-05-01,103.8
1996-06-01,103.6
1996-07-01,103.4
1996-08-01,103.4
1996-09-01,103.6
1996-10-01,103.5
1996-11-01,103.3
1996-12-01,103.3
1997-01-01,103.3
1997-02-01,103.5
1997-03-01,102.8
1997-04-01,102.8
1997-05-01,102.9
1997-06-01,102.8
1997-07-01,102.8
1997-08-01,102.6
1997-09-01,102.4
1997-10-01,102.6
1997-11-01,102.3
1997-12-01,102.4
1998-01-01,102.2
1998-02-01,102.4
1998-03-01,101.8
1998-04-01,101.5
1998-05-01,101.5
1998-06-01,101.4
1998-07-01,101.2
1998-08-01,101
1998-09-01,101
1998-10-01,101.3
1998-11-01,101.4
1998-12-01,101.1
1999-01-01,101.3
1999-02-01,101.5
1999-03-01,101.2
1999-04-01,100.9
1999-05-01,100.8
1999-06-01,100.6
1999-07-01,100.5
1999-08-01,100.5
1999-09-01,100.9
1999-10-01,100.6
1999-11-01,100.8
1999-12-01,100.7
2000-01-01,100.7
2000-02-01,100.6
2000-03-01,100.3
2000-04-01,100.2
2000-05-01,100.1
2000-06-01,99.6
2000-07-01,100
2000-08-01,99.9
2000-09-01,99.8
2000-10-01,99.7
2000-11-01,99.7
2000-12-01,99.5
2001-01-01,99.7
2001-02-01,99.7
2001-03-01,99.8
2001-04-01,99.5
2001-05-01,99.5
2001-06-01,99.3
2001-07-01,99.2
2001-08-01,99.2
2001-09-01,99.1
2001-10-01,98.9
2001-11-01,98.8
2001-12-01,98.7
2002-01-01,98.7
2002-02-01,98.4
2002-03-01,98.2
2002-04-01,98.1
2002-05-01,98.2
2002-06-01,98.1
2002-07-01,98.2
2002-08-01,98.2
2002-09-01,98.1
2002-10-01,98.1
2002-11-01,97.9
2002-12-01,98
2003-01-01,98
2003-02-01,97.9
2003-03-01,97.9
2003-04-01,97.9
2003-05-01,97.9
2003-06-01,98.1
2003-07-01,98.1
2003-08-01,97.9
2003-09-01,97.9
2003-10-01,97.9
2003-11-01,98.1
2003-12-01,98.1
2004-01-01,98.6
2004-02-01,98.7
2004-03-01,98.7
2004-04-01,98.6
2004-05-01,98.5
2004-06-01,98.5
2004-07-01,98.5
2004-08-01,98.4
2004-09-01,98.4
2004-10-01,98.5
2004-11-01,98.7
2004-12-01,99
2005-01-01,99.6
2005-02-01,100.1
2005-03-01,99.9
2005-04-01,99.8
2005-05-01,99.9
2005-06-01,99.9
2005-07-01,99.7
2005-08-01,99.5
2005-09-01,99.7
2005-10-01,99.6
2005-11-01,99.5
2005-12-01,99.6
2006-01-01,99.8
2006-02-01,99.9
2006-03-01,99.6
2006-04-01,99.5
2006-05-01,99.7
2006-06-01,99.8
2006-07-01,100.3
2006-08-01,100.4
2006-09-01,100.5
2006-10-01,100.6
2006-11-01,100.7
2006-12-01,101
2007-01-01,101.2
2007-02-01,101.2
2007-03-01,101.3
2007-04-01,101.3
2007-05-01,101.3
2007-06-01,101.4
2007-07-01,101.7
2007-08-01,102
2007-09-01,102.1
2007-10-01,102.2
2007-11-01,102.4
2007-12-01,102.6
2008-01-01,103.1
2008-02-01,103.5
2008-03-01,104
2008-04-01,104.6
2008-05-01,104.8
2008-06-01,104.9
2008-07-01,105.1
2008-08-01,105.2
2008-09-01,105.1
2008-10-01,105.1
2008-11-01,104.6
2008-12-01,104.4
2009-01-01,104.4
2009-02-01,104.4
2009-03-01,103.9
2009-04-01,104.1
2009-05-01,104.2
2009-06-01,104.3
