"Date","WPSFD49511"
2014-04-01,100
2014-05-01,100
2014-06-01,100.2
2014-07-01,100.2
2014-08-01,100.6
2014-09-01,100.6
2014-10-01,100.6
2014-11-01,100.8
2014-12-01,100.9
2015-01-01,100.9
2015-02-01,100.9
2015-03-01,101
2015-04-01,101.3
2015-05-01,101.3
2015-06-01,101.6
2015-07-01,101.7
2015-08-01,101.7
2015-09-01,101.7
2015-10-01,101.6
2015-11-01,101.7
2015-12-01,101.8
2016-01-01,102.4
2016-02-01,102.5
2016-03-01,102.6
2016-04-01,102.7
2016-05-01,102.7
2016-06-01,102.9
2016-07-01,103.2
2016-08-01,103.4
2016-09-01,103.5
2016-10-01,103.6
2016-11-01,103.8
2016-12-01,103.9
2017-01-01,104.1
2017-02-01,104.2
2017-03-01,104.2
2017-04-01,104.8
2017-05-01,104.9
2017-06-01,105.1
2017-07-01,105.2
2017-08-01,105.3
2017-09-01,105.5
2017-10-01,105.8
2017-11-01,106.2
2017-12-01,106.2
2018-01-01,106.7
2018-02-01,106.9
2018-03-01,107.3
2018-04-01,107.5
2018-05-01,107.6
2018-06-01,107.9
2018-07-01,108.3
2018-08-01,108.4
2018-09-01,108.7
2018-10-01,109
2018-11-01,109.2
2018-12-01,109.3
2019-01-01,109.4
2019-02-01,109.6
2019-03-01,109.8
2019-04-01,110.2
2019-05-01,110.4
2019-06-01,110.5
2019-07-01,110.7
2019-08-01,110.9
2019-09-01,110.8
2019-10-01,110.9
2019-11-01,111.1
2019-12-01,111.2
2020-01-01,111.6
2020-02-01,111.4
2020-03-01,111.3
2020-04-01,110.3
2020-05-01,110.6
2020-06-01,110.9
2020-07-01,111.3
2020-08-01,111.6
2020-09-01,112
2020-10-01,112.1
2020-11-01,112.3
2020-12-01,112.6
2021-01-01,113.6
2021-02-01,113.9
2021-03-01,114.4
2021-04-01,115
2021-05-01,115.3
2021-06-01,115.8
2021-07-01,116.607
2021-08-01,116.941
2021-09-01,117.19
2021-10-01,117.208
2021-11-01,118.184
2021-12-01,118.705
2022-01-01,119.338
2022-02-01,119.361
2022-03-01,120.268
2022-04-01,120.358
2022-05-01,120.734
2022-06-01,121.09
2022-07-01,121.286
2022-08-01,121.572
2022-09-01,122.004
2022-10-01,122.285
2022-11-01,122.842
2022-12-01,123.103
2023-01-01,123.589
2023-02-01,123.976
2023-03-01,124.27
2023-04-01,124.551
2023-05-01,124.436
2023-06-01,124.935
2023-07-01,125.4
2023-08-01,125.651
2023-09-01,126.09
2023-10-01,126.224
2023-11-01,126.449
