"Date","DSERRG3M086SBEA"
1959-01-01,10.152
1959-02-01,10.167
1959-03-01,10.185
1959-04-01,10.221
1959-05-01,10.238
1959-06-01,10.275
1959-07-01,10.312
1959-08-01,10.342
1959-09-01,10.373
1959-10-01,10.408
1959-11-01,10.435
1959-12-01,10.457
1960-01-01,10.466
1960-02-01,10.484
1960-03-01,10.49
1960-04-01,10.512
1960-05-01,10.54
1960-06-01,10.56
1960-07-01,10.586
1960-08-01,10.604
1960-09-01,10.626
1960-10-01,10.639
1960-11-01,10.664
1960-12-01,10.677
1961-01-01,10.676
1961-02-01,10.692
1961-03-01,10.696
1961-04-01,10.718
1961-05-01,10.731
1961-06-01,10.753
1961-07-01,10.771
1961-08-01,10.78
1961-09-01,10.805
1961-10-01,10.815
1961-11-01,10.83
1961-12-01,10.843
1962-01-01,10.873
1962-02-01,10.892
1962-03-01,10.912
1962-04-01,10.922
1962-05-01,10.948
1962-06-01,10.968
1962-07-01,10.979
1962-08-01,10.989
1962-09-01,10.997
1962-10-01,11.01
1962-11-01,11.027
1962-12-01,11.039
1963-01-01,11.069
1963-02-01,11.079
1963-03-01,11.085
1963-04-01,11.094
1963-05-01,11.118
1963-06-01,11.126
1963-07-01,11.139
1963-08-01,11.15
1963-09-01,11.164
1963-10-01,11.193
1963-11-01,11.211
1963-12-01,11.222
1964-01-01,11.238
1964-02-01,11.263
1964-03-01,11.283
1964-04-01,11.298
1964-05-01,11.318
1964-06-01,11.333
1964-07-01,11.347
1964-08-01,11.377
1964-09-01,11.388
1964-10-01,11.405
1964-11-01,11.418
1964-12-01,11.435
1965-01-01,11.453
1965-02-01,11.471
1965-03-01,11.483
1965-04-01,11.499
1965-05-01,11.521
1965-06-01,11.532
1965-07-01,11.552
1965-08-01,11.576
1965-09-01,11.602
1965-10-01,11.623
1965-11-01,11.651
1965-12-01,11.675
1966-01-01,11.699
1966-02-01,11.724
1966-03-01,11.743
1966-04-01,11.788
1966-05-01,11.827
1966-06-01,11.873
1966-07-01,11.904
1966-08-01,11.931
1966-09-01,11.976
1966-10-01,12.024
1966-11-01,12.055
1966-12-01,12.083
1967-01-01,12.11
1967-02-01,12.14
1967-03-01,12.159
1967-04-01,12.194
1967-05-01,12.22
1967-06-01,12.261
1967-07-01,12.286
1967-08-01,12.316
1967-09-01,12.36
1967-10-01,12.399
1967-11-01,12.437
1967-12-01,12.479
1968-01-01,12.531
1968-02-01,12.591
1968-03-01,12.646
1968-04-01,12.689
1968-05-01,12.739
1968-06-01,12.794
1968-07-01,12.836
1968-08-01,12.888
1968-09-01,12.939
1968-10-01,12.995
1968-11-01,13.042
1968-12-01,13.096
1969-01-01,13.156
1969-02-01,13.2
1969-03-01,13.266
1969-04-01,13.323
1969-05-01,13.393
1969-06-01,13.44
1969-07-01,13.509
1969-08-01,13.557
1969-09-01,13.622
1969-10-01,13.69
1969-11-01,13.747
1969-12-01,13.814
1970-01-01,13.874
1970-02-01,13.935
1970-03-01,14
1970-04-01,14.07
1970-05-01,14.132
1970-06-01,14.191
1970-07-01,14.248
1970-08-01,14.302
1970-09-01,14.368
1970-10-01,14.441
1970-11-01,14.516
1970-12-01,14.595
1971-01-01,14.651
1971-02-01,14.714
1971-03-01,14.776
1971-04-01,14.834
1971-05-01,14.908
1971-06-01,14.981
1971-07-01,15.053
1971-08-01,15.124
1971-09-01,15.174
1971-10-01,15.209
1971-11-01,15.256
1971-12-01,15.311
1972-01-01,15.375
1972-02-01,15.43
1972-03-01,15.471
1972-04-01,15.508
1972-05-01,15.552
1972-06-01,15.597
1972-07-01,15.654
1972-08-01,15.706
1972-09-01,15.756
1972-10-01,15.796
1972-11-01,15.852
1972-12-01,15.906
1973-01-01,15.924
1973-02-01,15.98
1973-03-01,16.049
1973-04-01,16.153
1973-05-01,16.228
1973-06-01,16.317
1973-07-01,16.406
1973-08-01,16.511
1973-09-01,16.628
1973-10-01,16.719
1973-11-01,16.815
1973-12-01,16.941
1974-01-01,17.042
1974-02-01,17.165
1974-03-01,17.307
1974-04-01,17.428
1974-05-01,17.578
1974-06-01,17.724
1974-07-01,17.837
1974-08-01,17.983
1974-09-01,18.132
1974-10-01,18.244
1974-11-01,18.374
1974-12-01,18.518
1975-01-01,18.677
1975-02-01,18.813
1975-03-01,18.898
1975-04-01,18.989
1975-05-01,19.102
1975-06-01,19.229
1975-07-01,19.366
1975-08-01,19.436
1975-09-01,19.579
1975-10-01,19.69
1975-11-01,19.858
1975-12-01,19.984
1976-01-01,20.083
1976-02-01,20.174
1976-03-01,20.262
1976-04-01,20.333
1976-05-01,20.432
1976-06-01,20.539
1976-07-01,20.657
1976-08-01,20.808
1976-09-01,20.929
1976-10-01,21.026
1976-11-01,21.144
1976-12-01,21.301
1977-01-01,21.429
1977-02-01,21.582
1977-03-01,21.734
1977-04-01,21.883
1977-05-01,21.999
1977-06-01,22.144
1977-07-01,22.295
1977-08-01,22.433
1977-09-01,22.565
1977-10-01,22.672
1977-11-01,22.798
1977-12-01,22.899
1978-01-01,23.067
1978-02-01,23.224
1978-03-01,23.365
1978-04-01,23.535
1978-05-01,23.686
1978-06-01,23.826
1978-07-01,23.976
1978-08-01,24.118
1978-09-01,24.276
1978-10-01,24.488
1978-11-01,24.624
1978-12-01,24.732
1979-01-01,24.874
1979-02-01,24.93
1979-03-01,25.088
1979-04-01,25.359
1979-05-01,25.642
1979-06-01,25.841
1979-07-01,26.002
1979-08-01,26.225
1979-09-01,26.447
1979-10-01,26.677
1979-11-01,26.838
1979-12-01,27.056
1980-01-01,27.245
1980-02-01,27.538
1980-03-01,27.805
1980-04-01,27.955
1980-05-01,28.231
1980-06-01,28.442
1980-07-01,28.695
1980-08-01,28.914
1980-09-01,29.213
1980-10-01,29.511
1980-11-01,29.781
1980-12-01,29.995
1981-01-01,30.321
1981-02-01,30.579
1981-03-01,30.793
1981-04-01,30.987
1981-05-01,31.2
1981-06-01,31.375
1981-07-01,31.619
1981-08-01,31.878
1981-09-01,32.119
1981-10-01,32.322
1981-11-01,32.583
1981-12-01,32.714
1982-01-01,32.989
1982-02-01,33.113
1982-03-01,33.301
1982-04-01,33.441
1982-05-01,33.653
1982-06-01,33.85
1982-07-01,34.108
1982-08-01,34.347
1982-09-01,34.516
1982-10-01,34.791
1982-11-01,34.979
1982-12-01,35.111
1983-01-01,35.357
1983-02-01,35.497
1983-03-01,35.54
1983-04-01,35.668
1983-05-01,35.729
1983-06-01,35.912
1983-07-01,36.18
1983-08-01,36.416
1983-09-01,36.626
1983-10-01,36.72
1983-11-01,36.803
1983-12-01,36.827
1984-01-01,36.967
1984-02-01,37.304
1984-03-01,37.497
1984-04-01,37.701
1984-05-01,37.827
1984-06-01,37.935
1984-07-01,38.155
1984-08-01,38.299
1984-09-01,38.353
1984-10-01,38.466
1984-11-01,38.562
1984-12-01,38.75
1985-01-01,39.026
1985-02-01,39.204
1985-03-01,39.375
1985-04-01,39.429
1985-05-01,39.634
1985-06-01,39.771
1985-07-01,39.94
1985-08-01,40.17
1985-09-01,40.272
1985-10-01,40.313
1985-11-01,40.417
1985-12-01,40.568
1986-01-01,40.836
1986-02-01,41.025
1986-03-01,41.204
1986-04-01,41.279
