"Date","WPUFD413111"
1974-01-01,52.2
1974-02-01,52.5
1974-03-01,53
1974-04-01,53.8
1974-05-01,54.8
1974-06-01,55.6
1974-07-01,56.4
1974-08-01,57.4
1974-09-01,57.8
1974-10-01,58.5
1974-11-01,59.2
1974-12-01,59.5
1975-01-01,60.1
1975-02-01,60.2
1975-03-01,60.3
1975-04-01,60.5
1975-05-01,60.5
1975-06-01,60.6
1975-07-01,60.7
1975-08-01,60.8
1975-09-01,60.9
1975-10-01,61.3
1975-11-01,61.6
1975-12-01,62.2
1976-01-01,62.8
1976-02-01,62.9
1976-03-01,63.2
1976-04-01,63.4
1976-05-01,63.6
1976-06-01,64
1976-07-01,64.2
1976-08-01,64.6
1976-09-01,64.9
1976-10-01,65.1
1976-11-01,65.6
1976-12-01,65.8
1977-01-01,66.6
1977-02-01,66.9
1977-03-01,67
1977-04-01,67.4
1977-05-01,67.6
1977-06-01,67.7
1977-07-01,67.8
1977-08-01,68
1977-09-01,68.6
1977-10-01,68.8
1977-11-01,69
1977-12-01,69.1
1978-01-01,69.5
1978-02-01,69.8
1978-03-01,70.2
1978-04-01,70.4
1978-05-01,70.8
1978-06-01,71.3
1978-07-01,71.8
1978-08-01,72
1978-09-01,72.3
1978-10-01,72.8
1978-11-01,73.4
1978-12-01,73.7
1979-01-01,74.7
1979-02-01,75.2
1979-03-01,75.7
1979-04-01,76.3
1979-05-01,76.7
1979-06-01,77.1
1979-07-01,77.5
1979-08-01,78.4
1979-09-01,78.8
1979-10-01,79.4
1979-11-01,79.7
1979-12-01,80.1
1980-01-01,81.6
1980-02-01,82.6
1980-03-01,83.2
1980-04-01,84.2
1980-05-01,84.7
1980-06-01,85.4
1980-07-01,86.2
1980-08-01,86.6
1980-09-01,86.9
1980-10-01,87.4
1980-11-01,88
1980-12-01,88.3
1981-01-01,90.2
1981-02-01,90.9
1981-03-01,91.5
1981-04-01,92.6
1981-05-01,92.8
1981-06-01,93.1
1981-07-01,93.6
