"Date","DGDSRA3M086SBEA"
1959-01-01,14.292
1959-02-01,14.472
1959-03-01,14.694
1959-04-01,14.557
1959-05-01,14.788
1959-06-01,14.801
1959-07-01,14.691
1959-08-01,14.803
1959-09-01,15
1959-10-01,14.785
1959-11-01,14.727
1959-12-01,14.621
1960-01-01,14.678
1960-02-01,14.779
1960-03-01,15.119
1960-04-01,15.465
1960-05-01,14.862
1960-06-01,14.872
1960-07-01,14.944
1960-08-01,14.932
1960-09-01,15.034
1960-10-01,15.103
1960-11-01,14.944
1960-12-01,14.593
1961-01-01,14.592
1961-02-01,14.693
1961-03-01,14.932
1961-04-01,14.878
1961-05-01,14.973
1961-06-01,15.034
1961-07-01,14.973
1961-08-01,15.058
1961-09-01,15.147
1961-10-01,15.219
1961-11-01,15.412
1961-12-01,15.552
1962-01-01,15.545
1962-02-01,15.496
1962-03-01,15.683
1962-04-01,15.683
1962-05-01,15.833
1962-06-01,15.668
1962-07-01,15.734
1962-08-01,15.775
1962-09-01,16.036
1962-10-01,15.835
1962-11-01,16.148
1962-12-01,16.305
1963-01-01,16.313
1963-02-01,16.165
1963-03-01,16.262
1963-04-01,16.302
1963-05-01,16.323
1963-06-01,16.518
1963-07-01,16.579
1963-08-01,16.585
1963-09-01,16.472
1963-10-01,16.387
1963-11-01,16.57
1963-12-01,16.848
1964-01-01,16.867
1964-02-01,17.039
1964-03-01,17.051
1964-04-01,17.058
1964-05-01,17.444
1964-06-01,17.528
1964-07-01,17.724
1964-08-01,17.882
1964-09-01,17.637
1964-10-01,17.802
1964-11-01,17.399
1964-12-01,17.653
1965-01-01,17.837
1965-02-01,18.34
1965-03-01,18.398
1965-04-01,18.526
1965-05-01,18.408
1965-06-01,18.036
1965-07-01,18.392
1965-08-01,18.59
1965-09-01,19.113
1965-10-01,19.501
1965-11-01,19.379
1965-12-01,19.377
1966-01-01,19.589
1966-02-01,19.785
1966-03-01,19.979
1966-04-01,19.939
1966-05-01,19.528
1966-06-01,19.588
1966-07-01,19.832
1966-08-01,19.894
1966-09-01,20.18
1966-10-01,19.972
1966-11-01,19.931
1966-12-01,19.878
1967-01-01,20.011
1967-02-01,19.904
1967-03-01,20.021
1967-04-01,20.325
1967-05-01,20.259
1967-06-01,20.397
1967-07-01,20.152
1967-08-01,20.176
1967-09-01,20.471
1967-10-01,20.066
1967-11-01,20.274
1967-12-01,20.7
1968-01-01,20.8
1968-02-01,20.836
1968-03-01,21.347
1968-04-01,21.095
1968-05-01,21.331
1968-06-01,21.499
1968-07-01,21.846
1968-08-01,21.896
1968-09-01,21.749
1968-10-01,21.753
1968-11-01,21.896
1968-12-01,21.735
1969-01-01,22.038
1969-02-01,22.196
1969-03-01,22.026
1969-04-01,22.083
1969-05-01,22.225
1969-06-01,22
1969-07-01,21.954
1969-08-01,22.253
1969-09-01,22.219
1969-10-01,22.323
1969-11-01,22.176
1969-12-01,22.167
1970-01-01,22.29
1970-02-01,22.298
1970-03-01,22.185
1970-04-01,22.154
1970-05-01,22.368
1970-06-01,22.441
1970-07-01,22.368
1970-08-01,22.461
1970-09-01,22.544
1970-10-01,22.311
1970-11-01,22.001
1970-12-01,22.334
1971-01-01,22.961
1971-02-01,22.923
1971-03-01,22.902
1971-04-01,23.1
1971-05-01,22.962
1971-06-01,23.29
1971-07-01,23.031
1971-08-01,23.167
1971-09-01,23.6
1971-10-01,23.558
1971-11-01,23.726
1971-12-01,23.742
1972-01-01,23.699
1972-02-01,23.739
1972-03-01,24.251
1972-04-01,24.333
1972-05-01,24.619
1972-06-01,24.633
1972-07-01,24.843
1972-08-01,24.994
1972-09-01,25.029
1972-10-01,25.643
1972-11-01,25.678
1972-12-01,25.739
1973-01-01,26.159
1973-02-01,26.379
1973-03-01,26.364
1973-04-01,26.137
1973-05-01,26.136
1973-06-01,25.868
1973-07-01,26.312
1973-08-01,25.631
1973-09-01,26.223
1973-10-01,25.862
1973-11-01,25.922
1973-12-01,25.607
1974-01-01,25.558
1974-02-01,25.282
1974-03-01,25.288
1974-04-01,25.311
1974-05-01,25.385
1974-06-01,25.193
1974-07-01,25.359
1974-08-01,25.684
1974-09-01,25.091
1974-10-01,24.778
1974-11-01,24.285
1974-12-01,23.98
1975-01-01,24.385
1975-02-01,24.665
1975-03-01,24.524
1975-04-01,24.431
1975-05-01,25.362
1975-06-01,25.351
1975-07-01,25.562
1975-08-01,25.649
1975-09-01,25.788
1975-10-01,25.482
1975-11-01,25.876
1975-12-01,26.166
1976-01-01,26.533
1976-02-01,26.574
1976-03-01,26.686
1976-04-01,27.029
1976-05-01,26.588
1976-06-01,27.138
1976-07-01,27.129
1976-08-01,27.133
1976-09-01,27.205
1976-10-01,27.248
1976-11-01,27.314
1976-12-01,27.894
1977-01-01,27.59
1977-02-01,27.807
1977-03-01,27.982
1977-04-01,28.034
1977-05-01,28.008
1977-06-01,27.953
1977-07-01,28.182
1977-08-01,28.176
1977-09-01,28.315
1977-10-01,28.602
1977-11-01,28.957
1977-12-01,28.919
1978-01-01,28.143
1978-02-01,28.734
1978-03-01,29.115
1978-04-01,29.326
1978-05-01,29.555
1978-06-01,29.579
1978-07-01,29.356
1978-08-01,29.684
1978-09-01,29.492
1978-10-01,29.6
1978-11-01,29.842
1978-12-01,30.09
1979-01-01,29.738
1979-02-01,29.847
1979-03-01,29.878
1979-04-01,29.414
1979-05-01,29.63
1979-06-01,29.664
1979-07-01,29.648
1979-08-01,30.181
1979-09-01,30.353
1979-10-01,29.933
1979-11-01,30.005
1979-12-01,29.863
1980-01-01,30.218
1980-02-01,29.864
1980-03-01,29.264
1980-04-01,28.692
1980-05-01,28.446
1980-06-01,28.527
1980-07-01,28.926
1980-08-01,28.889
1980-09-01,28.73
1980-10-01,29.254
1980-11-01,29.092
1980-12-01,29.183
1981-01-01,29.541
1981-02-01,29.6
1981-03-01,29.647
1981-04-01,29.389
1981-05-01,29.246
1981-06-01,29.443
1981-07-01,29.458
1981-08-01,29.967
1981-09-01,29.542
1981-10-01,29.12
1981-11-01,29.061
1981-12-01,29.196
1982-01-01,29.178
1982-02-01,29.596
1982-03-01,29.478
1982-04-01,29.418
1982-05-01,29.693
1982-06-01,29.12
1982-07-01,29.478
1982-08-01,29.382
1982-09-01,29.841
1982-10-01,29.8
1982-11-01,30.214
1982-12-01,30.476
1983-01-01,30.223
