"Date","RSALES"
1947-01-01,44572
1947-02-01,45611
1947-03-01,44405
1947-04-01,45214
1947-05-01,45732
1947-06-01,45910
1947-07-01,45838
1947-08-01,45272
1947-09-01,45886
1947-10-01,46328
1947-11-01,46719
1947-12-01,46333
1948-01-01,45920
1948-02-01,45848
1948-03-01,46898
1948-04-01,47101
1948-05-01,45442
1948-06-01,46169
1948-07-01,46135
1948-08-01,46439
1948-09-01,46025
1948-10-01,46255
1948-11-01,46112
1948-12-01,47320
1949-01-01,45621
1949-02-01,46439
1949-03-01,46824
1949-04-01,47238
1949-05-01,46958
1949-06-01,46933
1949-07-01,46384
1949-08-01,46861
1949-09-01,47324
1949-10-01,47089
1949-11-01,47346
1949-12-01,46831
1950-01-01,48251
1950-02-01,49106
1950-03-01,49466
1950-04-01,49435
1950-05-01,50067
1950-06-01,51653
1950-07-01,55187
1950-08-01,55161
1950-09-01,52239
1950-10-01,50441
1950-11-01,49061
1950-12-01,51836
1951-01-01,54665
1951-02-01,53163
1951-03-01,50274
1951-04-01,49170
1951-05-01,49385
1951-06-01,49390
1951-07-01,48846
1951-08-01,49946
1951-09-01,49442
1951-10-01,49977
1951-11-01,49806
1951-12-01,48770
1952-01-01,49170
1952-02-01,50280
1952-03-01,48826
1952-04-01,49842
1952-05-01,51728
1952-06-01,52396
1952-07-01,50607
1952-08-01,49483
1952-09-01,50489
1952-10-01,52610
1952-11-01,52026
1952-12-01,53431
1953-01-01,53955
1953-02-01,53853
1953-03-01,54203
1953-04-01,53251
1953-05-01,53060
1953-06-01,52784
1953-07-01,52575
1953-08-01,52108
1953-09-01,52071
1953-10-01,52074
1953-11-01,51506
1953-12-01,51000
1954-01-01,50974
1954-02-01,52056
1954-03-01,52119
1954-04-01,52011
1954-05-01,51885
1954-06-01,53056
1954-07-01,52011
1954-08-01,52030
1954-09-01,52511
1954-10-01,52738
1954-11-01,53754
1954-12-01,54743
1955-01-01,55093
1955-02-01,55582
1955-03-01,55989
1955-04-01,56922
1955-05-01,56940
1955-06-01,56652
1955-07-01,57478
1955-08-01,57745
1955-09-01,58279
1955-10-01,58638
1955-11-01,58186
1955-12-01,57736
1956-01-01,57817
1956-02-01,57138
1956-03-01,58227
1956-04-01,57680
1956-05-01,58411
1956-06-01,58077
1956-07-01,57670
1956-08-01,57971
1956-09-01,58051
1956-10-01,57938
1956-11-01,58567
1956-12-01,58670
1957-01-01,58949
1957-02-01,59838
1957-03-01,58971
1957-04-01,59115
1957-05-01,59050
1957-06-01,59858
1957-07-01,59571
1957-08-01,59954
1957-09-01,59509
1957-10-01,59300
1957-11-01,58799
1957-12-01,58411
1958-01-01,58248
1958-02-01,57052
1958-03-01,56467
1958-04-01,57215
1958-05-01,57152
1958-06-01,57010
1958-07-01,57945
1958-08-01,58315
1958-09-01,57941
1958-10-01,57654
1958-11-01,58786
1958-12-01,60707
1959-01-01,60631
1959-02-01,61076
1959-03-01,61586
1959-04-01,61624
1959-05-01,62107
1959-06-01,62457
1959-07-01,62223
1959-08-01,62620
1959-09-01,61590
1959-10-01,61830
1959-11-01,60201
1959-12-01,59922
1960-01-01,61537
1960-02-01,61765
1960-03-01,61697
1960-04-01,63102
1960-05-01,61949
1960-06-01,61865
1960-07-01,61243
1960-08-01,61453
1960-09-01,61395
1960-10-01,61520
1960-11-01,60641
1960-12-01,60198
1961-01-01,60245
1961-02-01,60030
1961-03-01,60664
1961-04-01,59591
1961-05-01,60487
1961-06-01,60936
