"Date","WPSFD49506"
2010-04-01,99.8
2010-05-01,99.9
2010-06-01,99.9
2010-07-01,100.1
2010-08-01,100.4
2010-09-01,100.5
2010-10-01,101.1
2010-11-01,101.4
2010-12-01,101.7
2011-01-01,102.4
2011-02-01,102.9
2011-03-01,103.4
2011-04-01,104.1
2011-05-01,104.3
2011-06-01,104.3
2011-07-01,104.7
2011-08-01,104.7
2011-09-01,105.1
2011-10-01,105
2011-11-01,105.3
2011-12-01,105.2
2012-01-01,105.5
2012-02-01,105.7
2012-03-01,105.7
2012-04-01,106
2012-05-01,105.6
2012-06-01,105.5
2012-07-01,105.5
2012-08-01,106.2
2012-09-01,106.8
2012-10-01,106.9
2012-11-01,106.8
2012-12-01,106.7
2013-01-01,107.2
2013-02-01,107.6
2013-03-01,107.5
2013-04-01,107.2
2013-05-01,107.4
2013-06-01,107.6
2013-07-01,107.7
2013-08-01,108
2013-09-01,108
2013-10-01,108.3
2013-11-01,108.5
2013-12-01,108.9
2014-01-01,109.2
2014-02-01,109.4
2014-03-01,109.7
2014-04-01,110.1
2014-05-01,109.9
2014-06-01,110.1
2014-07-01,110.1
2014-08-01,110.4
2014-09-01,110.2
2014-10-01,110
2014-11-01,110
2014-12-01,109.4
2015-01-01,108.4
2015-02-01,108.4
2015-03-01,108.6
2015-04-01,108.5
2015-05-01,109
2015-06-01,109.4
2015-07-01,109.4
2015-08-01,109.3
2015-09-01,108.6
2015-10-01,108.4
2015-11-01,108.6
2015-12-01,108.3
2016-01-01,108.6
2016-02-01,108.3
2016-03-01,108.5
2016-04-01,108.7
2016-05-01,108.8
2016-06-01,109.3
2016-07-01,109.5
2016-08-01,109.5
2016-09-01,109.7
2016-10-01,110.1
2016-11-01,110.1
2016-12-01,110.6
2017-01-01,111.1
2017-02-01,111.3
2017-03-01,111.2
2017-04-01,111.8
2017-05-01,111.5
2017-06-01,111.6
2017-07-01,111.7
2017-08-01,112
2017-09-01,112.6
2017-10-01,112.9
2017-11-01,113.6
2017-12-01,113.7
2018-01-01,114.2
2018-02-01,114.5
2018-03-01,114.7
2018-04-01,114.8
2018-05-01,115.1
2018-06-01,115.4
2018-07-01,115.7
2018-08-01,115.8
2018-09-01,116.2
2018-10-01,116.7
2018-11-01,116.5
2018-12-01,116.3
2019-01-01,115.8
2019-02-01,116.2
2019-03-01,116.7
2019-04-01,117.4
2019-05-01,117.5
2019-06-01,117.3
2019-07-01,117.5
2019-08-01,117.6
2019-09-01,117.5
2019-10-01,117.9
2019-11-01,118.1
2019-12-01,118.5
2020-01-01,118.8
2020-02-01,118.1
2020-03-01,116.9
2020-04-01,114.6
2020-05-01,115.8
2020-06-01,116.3
2020-07-01,116.8
2020-08-01,117.1
2020-09-01,117.6
2020-10-01,118
2020-11-01,118.2
2020-12-01,118.9
2021-01-01,120.3
2021-02-01,121.1
2021-03-01,121.9
2021-04-01,122.5
2021-05-01,123
2021-06-01,123.9
2021-07-01,124.811
2021-08-01,125.579
2021-09-01,126.471
2021-10-01,126.971
2021-11-01,128.209
2021-12-01,128.747
2022-01-01,129.81
2022-02-01,130.658
2022-03-01,132.247
2022-04-01,132.57
2022-05-01,133.549
2022-06-01,135.16
2022-07-01,134.168
2022-08-01,133.757
2022-09-01,134.405
2022-10-01,135.047
2022-11-01,135.646
2022-12-01,135.115
2023-01-01,136.047
2023-02-01,136.069
2023-03-01,135.522
2023-04-01,136.007
2023-05-01,134.93
2023-06-01,135.529
2023-07-01,136.055
2023-08-01,137.334
2023-09-01,138.178
2023-10-01,137.268
2023-11-01,137.373
